"CurrentStreakwithouta3Putt_RANKTHISWEEK_2015","CurrentStreakwithouta3Putt_RANKLASTWEEK_2015","CurrentStreakwithouta3Putt_PLAYERNAME_2015","CurrentStreakwithouta3Putt_EVENTS_2015","CurrentStreakwithouta3Putt_VALUE_2015","stat_name","year"
1,1,"JB Holmes",25,215,"CurrentStreakwithouta3Putt",2015
2,2,"Kevin Streelman",27,191,"CurrentStreakwithouta3Putt",2015
3,3,"Billy Hurley III",28,158,"CurrentStreakwithouta3Putt",2015
4,4,"Steven Bowditch",32,136,"CurrentStreakwithouta3Putt",2015
5,5,"Justin Leonard",22,123,"CurrentStreakwithouta3Putt",2015
6,6,"Derek Fathauer",27,122,"CurrentStreakwithouta3Putt",2015
7,7,"Robert Garrigus",25,121,"CurrentStreakwithouta3Putt",2015
8,8,"Eric Axley",21,110,"CurrentStreakwithouta3Putt",2015
9,9,"Bubba Watson",19,103,"CurrentStreakwithouta3Putt",2015
10,10,"Paul Casey",24,102,"CurrentStreakwithouta3Putt",2015
11,11,"David Toms",21,99,"CurrentStreakwithouta3Putt",2015
12,12,"Pat Perez",26,94,"CurrentStreakwithouta3Putt",2015
13,13,"Will Wilcox",17,93,"CurrentStreakwithouta3Putt",2015
14,14,"Danny Lee",36,92,"CurrentStreakwithouta3Putt",2015
15,15,"Tyrone Van Aswegen",20,84,"CurrentStreakwithouta3Putt",2015
16,16,"Jason Day",20,81,"CurrentStreakwithouta3Putt",2015
17,17,"Andres Romero",24,80,"CurrentStreakwithouta3Putt",2015
17,17,"Brendan Steele",24,80,"CurrentStreakwithouta3Putt",2015
19,19,"Tony Finau",31,79,"CurrentStreakwithouta3Putt",2015
20,20,"Davis Love III",18,78,"CurrentStreakwithouta3Putt",2015
21,21,"Kevin Chappell",26,77,"CurrentStreakwithouta3Putt",2015
22,22,"Nick Taylor",28,76,"CurrentStreakwithouta3Putt",2015
23,23,"Harris English",29,74,"CurrentStreakwithouta3Putt",2015
23,23,"Brooks Koepka",23,74,"CurrentStreakwithouta3Putt",2015
25,25,"Jonathan Byrd",22,72,"CurrentStreakwithouta3Putt",2015
25,25,"Ryan Moore",24,72,"CurrentStreakwithouta3Putt",2015
27,27,"Robert Streb",30,71,"CurrentStreakwithouta3Putt",2015
28,28,"Rickie Fowler",21,67,"CurrentStreakwithouta3Putt",2015
29,29,"Chris Kirk",21,64,"CurrentStreakwithouta3Putt",2015
29,29,"Russell Knox",28,64,"CurrentStreakwithouta3Putt",2015
31,31,"Lucas Glover",26,62,"CurrentStreakwithouta3Putt",2015
31,31,"Tim Wilkinson",28,62,"CurrentStreakwithouta3Putt",2015
33,33,"Charles Howell III",30,61,"CurrentStreakwithouta3Putt",2015
34,34,"Justin Rose",20,60,"CurrentStreakwithouta3Putt",2015
35,35,"David Hearn",30,58,"CurrentStreakwithouta3Putt",2015
35,35,"Johnson Wagner",23,58,"CurrentStreakwithouta3Putt",2015
37,37,"Chad Collins",24,57,"CurrentStreakwithouta3Putt",2015
38,38,"Sangmoon Bae",30,55,"CurrentStreakwithouta3Putt",2015
38,38,"Carlos Ortiz",30,55,"CurrentStreakwithouta3Putt",2015
40,40,"Alex Cejka",30,52,"CurrentStreakwithouta3Putt",2015
41,41,"Daniel Summerhays",29,50,"CurrentStreakwithouta3Putt",2015
42,42,"Brendon de Jonge",31,49,"CurrentStreakwithouta3Putt",2015
43,43,"Jerry Kelly",24,41,"CurrentStreakwithouta3Putt",2015
43,43,"Matt Kuchar",25,41,"CurrentStreakwithouta3Putt",2015
45,45,"Jason Gore",26,39,"CurrentStreakwithouta3Putt",2015
46,46,"Jonas Blixt",26,38,"CurrentStreakwithouta3Putt",2015
47,47,"Dustin Johnson",21,37,"CurrentStreakwithouta3Putt",2015
47,47,"Gary Woodland",24,37,"CurrentStreakwithouta3Putt",2015
49,49,"Brice Garnett",29,35,"CurrentStreakwithouta3Putt",2015
49,49,"Bryce Molder",26,35,"CurrentStreakwithouta3Putt",2015
49,49,"Michael Putnam",28,35,"CurrentStreakwithouta3Putt",2015
52,52,"Ben Martin",27,33,"CurrentStreakwithouta3Putt",2015
52,52,"Phil Mickelson",19,33,"CurrentStreakwithouta3Putt",2015
52,52,"Shawn Stefani",26,33,"CurrentStreakwithouta3Putt",2015
55,55,"Zach Johnson",25,32,"CurrentStreakwithouta3Putt",2015
55,55,"Camilo Villegas",27,32,"CurrentStreakwithouta3Putt",2015
57,57,"Jason Bohn",27,31,"CurrentStreakwithouta3Putt",2015
57,57,"Graham DeLaet",22,31,"CurrentStreakwithouta3Putt",2015
59,59,"Patrick Rodgers",17,30,"CurrentStreakwithouta3Putt",2015
60,60,"Chad Campbell",30,29,"CurrentStreakwithouta3Putt",2015
60,60,"Sergio Garcia",15,29,"CurrentStreakwithouta3Putt",2015
60,60,"Luke Guthrie",27,29,"CurrentStreakwithouta3Putt",2015
60,60,"Roger Sloan",20,29,"CurrentStreakwithouta3Putt",2015
60,60,"Nick Watney",28,29,"CurrentStreakwithouta3Putt",2015
65,65,"Jon Curran",28,28,"CurrentStreakwithouta3Putt",2015
65,65,"Kevin Na",27,28,"CurrentStreakwithouta3Putt",2015
67,67,"Ian Poulter",19,27,"CurrentStreakwithouta3Putt",2015
