"GIRPercentagefromFairway_RANKTHISWEEK_2012","GIRPercentagefromFairway_RANKLASTWEEK_2012","GIRPercentagefromFairway_PLAYERNAME_2012","GIRPercentagefromFairway_ROUNDS_2012","GIRPercentagefromFairway_Pct_2012","GIRPercentagefromFairway_GREENSHIT_2012","GIRPercentagefromFairway_OFHOLES_2012","stat_name","year"
1,1,"Robert Garrigus",89,82.31,577,701,"GIRPercentagefromFairway",2012
2,2,"Chad Campbell",84,81.59,576,706,"GIRPercentagefromFairway",2012
3,3,"Michael Bradley",63,81.54,349,428,"GIRPercentagefromFairway",2012
4,4,"Lee Westwood",60,81.49,383,470,"GIRPercentagefromFairway",2012
5,5,"Boo Weekley",74,81.33,488,600,"GIRPercentagefromFairway",2012
6,6,"Sean OHair",84,80.17,566,706,"GIRPercentagefromFairway",2012
7,7,"John Merrick",83,79.89,568,711,"GIRPercentagefromFairway",2012
8,8,"Brendon de Jonge",115,79.86,785,983,"GIRPercentagefromFairway",2012
9,9,"Justin Rose",69,79.81,498,624,"GIRPercentagefromFairway",2012
10,10,"Nick Watney",97,79.72,617,774,"GIRPercentagefromFairway",2012
11,11,"Scott Stallings",78,79.69,506,635,"GIRPercentagefromFairway",2012
12,12,"Robert Allenby",76,79.65,501,629,"GIRPercentagefromFairway",2012
13,13,"JJ Henry",93,79.55,595,748,"GIRPercentagefromFairway",2012
14,14,"Bubba Watson",68,79.49,434,546,"GIRPercentagefromFairway",2012
15,15,"Adam Scott",59,79.34,384,484,"GIRPercentagefromFairway",2012
15,15,"Roland Thatcher",55,79.34,338,426,"GIRPercentagefromFairway",2012
17,17,"Jason Dufner",83,79.32,606,764,"GIRPercentagefromFairway",2012
18,18,"Rory McIlroy",60,79.21,339,428,"GIRPercentagefromFairway",2012
19,19,"Matt Jones",53,79.16,300,379,"GIRPercentagefromFairway",2012
20,20,"Ben Curtis",62,79.15,448,566,"GIRPercentagefromFairway",2012
21,21,"Camilo Villegas",79,79.13,527,666,"GIRPercentagefromFairway",2012
22,22,"Greg Owen",90,79.07,597,755,"GIRPercentagefromFairway",2012
23,23,"Louis Oosthuizen",65,79.01,433,548,"GIRPercentagefromFairway",2012
24,24,"Kyle Reifers",86,78.84,555,704,"GIRPercentagefromFairway",2012
25,25,"Bill Haas",79,78.74,548,696,"GIRPercentagefromFairway",2012
25,25,"Josh Teater",97,78.74,626,795,"GIRPercentagefromFairway",2012
27,27,"Jhonattan Vegas",77,78.67,439,558,"GIRPercentagefromFairway",2012
28,28,"Will Claxton",99,78.41,679,866,"GIRPercentagefromFairway",2012
29,29,"Bud Cauley",99,78.37,652,832,"GIRPercentagefromFairway",2012
29,29,"Jason Kokrak",79,78.37,442,564,"GIRPercentagefromFairway",2012
31,31,"Kyle Stanley",86,78.25,547,699,"GIRPercentagefromFairway",2012
32,32,"John Senden",81,78.21,560,716,"GIRPercentagefromFairway",2012
33,33,"Billy Horschel",63,78.13,400,512,"GIRPercentagefromFairway",2012
34,34,"Ernie Els",80,78.12,482,617,"GIRPercentagefromFairway",2012
