"StrokeDifferentialFieldAverage_RANKTHISWEEK_2007","StrokeDifferentialFieldAverage_RANKLASTWEEK_2007","StrokeDifferentialFieldAverage_PLAYERNAME_2007","StrokeDifferentialFieldAverage_ROUNDS_2007","StrokeDifferentialFieldAverage_STROKEDIFFERENTIAL_2007","StrokeDifferentialFieldAverage_PLAYERSSCORE_2007","StrokeDifferentialFieldAverage_FIELDAVERAGESCORE_2007","stat_name","year"
1,1,"Tiger Woods",63,3.21,69.1,72.31,"StrokeDifferentialFieldAverage",2007
2,2,"Ernie Els",59,1.67,70.5,72.17,"StrokeDifferentialFieldAverage",2007
3,3,"Jim Furyk",84,1.62,70.21,71.83,"StrokeDifferentialFieldAverage",2007
4,4,"Phil Mickelson",73,1.59,70.39,71.98,"StrokeDifferentialFieldAverage",2007
5,5,"Steve Stricker",81,1.53,70.19,71.72,"StrokeDifferentialFieldAverage",2007
6,6,"Justin Rose",63,1.51,70.24,71.75,"StrokeDifferentialFieldAverage",2007
7,7,"Vijay Singh",102,1.49,70.39,71.88,"StrokeDifferentialFieldAverage",2007
8,8,"KJ Choi",87,1.44,70.4,71.84,"StrokeDifferentialFieldAverage",2007
9,9,"Sergio Garcia",68,1.43,70.45,71.88,"StrokeDifferentialFieldAverage",2007
10,10,"Rory Sabbatini",81,1.33,70.49,71.82,"StrokeDifferentialFieldAverage",2007
11,11,"Padraig Harrington",64,1.18,71.05,72.23,"StrokeDifferentialFieldAverage",2007
11,11,"Scott Verplank",82,1.18,70.56,71.74,"StrokeDifferentialFieldAverage",2007
13,13,"Adam Scott",69,1.16,70.96,72.12,"StrokeDifferentialFieldAverage",2007
14,14,"Zach Johnson",76,1.14,70.95,72.09,"StrokeDifferentialFieldAverage",2007
15,15,"David Toms",80,1.12,70.88,72,"StrokeDifferentialFieldAverage",2007
16,16,"Tim Clark",66,1.06,70.55,71.61,"StrokeDifferentialFieldAverage",2007
16,16,"Arron Oberholser",69,1.06,71.04,72.1,"StrokeDifferentialFieldAverage",2007
18,18,"Aaron Baddeley",83,0.99,70.96,71.95,"StrokeDifferentialFieldAverage",2007
18,18,"Ian Poulter",63,0.99,71.35,72.34,"StrokeDifferentialFieldAverage",2007
20,20,"Freddie Jacobson",70,0.97,70.3,71.27,"StrokeDifferentialFieldAverage",2007
21,21,"Sean OHair",98,0.96,70.64,71.6,"StrokeDifferentialFieldAverage",2007
21,21,"Heath Slocum",101,0.96,70.13,71.09,"StrokeDifferentialFieldAverage",2007
23,23,"Stephen Ames",81,0.92,71.04,71.96,"StrokeDifferentialFieldAverage",2007
23,23,"Luke Donald",69,0.92,71.36,72.28,"StrokeDifferentialFieldAverage",2007
23,23,"Lucas Glover",98,0.92,70.85,71.77,"StrokeDifferentialFieldAverage",2007
23,23,"Bo Van Pelt",104,0.92,70.27,71.19,"StrokeDifferentialFieldAverage",2007
27,27,"Jeff Overton",60,0.91,70.1,71.01,"StrokeDifferentialFieldAverage",2007
28,28,"Hunter Mahan",91,0.89,70.78,71.67,"StrokeDifferentialFieldAverage",2007
28,28,"Geoff Ogilvy",84,0.89,71.17,72.06,"StrokeDifferentialFieldAverage",2007
30,30,"Stewart Cink",91,0.88,70.8,71.68,"StrokeDifferentialFieldAverage",2007
31,31,"Mike Weir",82,0.87,71.16,72.03,"StrokeDifferentialFieldAverage",2007
32,32,"Brandt Snedeker",105,0.83,70.5,71.33,"StrokeDifferentialFieldAverage",2007
33,33,"Anthony Kim",93,0.77,70.69,71.46,"StrokeDifferentialFieldAverage",2007
34,34,"Alex Cejka",80,0.75,70.29,71.04,"StrokeDifferentialFieldAverage",2007
35,35,"Camilo Villegas",82,0.74,70.93,71.67,"StrokeDifferentialFieldAverage",2007
36,36,"Carl Pettersson",111,0.73,70.97,71.7,"StrokeDifferentialFieldAverage",2007
37,37,"Rod Pampling",92,0.68,71.08,71.76,"StrokeDifferentialFieldAverage",2007
38,38,"Pat Perez",84,0.67,70.76,71.43,"StrokeDifferentialFieldAverage",2007
39,39,"Retief Goosen",50,0.66,72.08,72.74,"StrokeDifferentialFieldAverage",2007
39,39,"Boo Weekley",101,0.66,70.95,71.61,"StrokeDifferentialFieldAverage",2007
41,41,"Jerry Kelly",101,0.65,71.08,71.73,"StrokeDifferentialFieldAverage",2007
42,42,"Jonathan Byrd",73,0.64,70.56,71.2,"StrokeDifferentialFieldAverage",2007
43,43,"John Rollins",102,0.63,70.97,71.6,"StrokeDifferentialFieldAverage",2007
43,43,"John Senden",97,0.63,70.93,71.56,"StrokeDifferentialFieldAverage",2007
45,45,"Ken Duke",112,0.61,70.93,71.54,"StrokeDifferentialFieldAverage",2007
46,46,"Stuart Appleby",74,0.59,71.71,72.3,"StrokeDifferentialFieldAverage",2007
47,47,"Bart Bryant",87,0.58,70.83,71.41,"StrokeDifferentialFieldAverage",2007
