"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2011","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2011","ProximitytoHolefromOtherLocations_PLAYERNAME_2011","ProximitytoHolefromOtherLocations_ROUNDS_2011","ProximitytoHolefromOtherLocations_AVGDTP_2011","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2011","ProximitytoHolefromOtherLocations_OFSHOTS_2011","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2011","stat_name","year"
75,75,"Heath Slocum",89,NA,12.633,158,149,"ProximitytoHolefromOtherLocations",2011
75,75,"Mark Wilson",89,NA,8.496,106,11,"ProximitytoHolefromOtherLocations",2011
87,87,"DJ Brigman",67,NA,10,124,166,"ProximitytoHolefromOtherLocations",2011
87,87,"Chris DiMarco",93,NA,12.704,156,39,"ProximitytoHolefromOtherLocations",2011
87,87,"Scott Gutschewski",67,NA,8.991,111,115,"ProximitytoHolefromOtherLocations",2011
87,87,"JJ Henry",96,NA,12.862,158,126,"ProximitytoHolefromOtherLocations",2011
87,87,"David Mathis",83,NA,11.702,144,30,"ProximitytoHolefromOtherLocations",2011
87,87,"Graeme McDowell",50,NA,5.733,71,160,"ProximitytoHolefromOtherLocations",2011
87,87,"Michael Putnam",67,NA,8.573,106,87,"ProximitytoHolefromOtherLocations",2011
87,87,"Charl Schwartzel",58,NA,5.572,69,50,"ProximitytoHolefromOtherLocations",2011
87,87,"Nate Smith",66,NA,10.104,124,90,"ProximitytoHolefromOtherLocations",2011
87,87,"Roland Thatcher",67,NA,8.351,103,92,"ProximitytoHolefromOtherLocations",2011
97,97,"Kris Blanks",92,NA,11.862,144,94,"ProximitytoHolefromOtherLocations",2011
97,97,"Steven Bowditch",86,NA,12.72,155,175,"ProximitytoHolefromOtherLocations",2011
97,97,"David Duval",67,NA,7.865,96,172,"ProximitytoHolefromOtherLocations",2011
97,97,"Lucas Glover",74,NA,7.417,90,162,"ProximitytoHolefromOtherLocations",2011
97,97,"Davis Love III",70,NA,7.11,87,161,"ProximitytoHolefromOtherLocations",2011
97,97,"Rocco Mediate",53,NA,7.918,97,178,"ProximitytoHolefromOtherLocations",2011
97,97,"John Merrick",71,NA,10.169,124,91,"ProximitytoHolefromOtherLocations",2011
97,97,"Cameron Tringale",110,NA,15.673,192,97,"ProximitytoHolefromOtherLocations",2011
97,97,"Charlie Wi",83,NA,12.579,153,64,"ProximitytoHolefromOtherLocations",2011
106,106,"Arjun Atwal",91,NA,13.878,167,131,"ProximitytoHolefromOtherLocations",2011
106,106,"Kevin Chappell",78,NA,8.246,99,72,"ProximitytoHolefromOtherLocations",2011
106,106,"Ben Crane",76,NA,11.662,140,23,"ProximitytoHolefromOtherLocations",2011
106,106,"Sergio Garcia",61,NA,6.131,74,44,"ProximitytoHolefromOtherLocations",2011
106,106,"Hunter Haas",96,NA,13.489,163,48,"ProximitytoHolefromOtherLocations",2011
106,106,"JB Holmes",57,NA,7.505,90,158,"ProximitytoHolefromOtherLocations",2011
106,106,"Trevor Immelman",84,NA,10.516,126,89,"ProximitytoHolefromOtherLocations",2011
106,106,"Zach Johnson",79,NA,8.423,101,4,"ProximitytoHolefromOtherLocations",2011
106,106,"Pat Perez",76,NA,10.381,125,78,"ProximitytoHolefromOtherLocations",2011
115,115,"Brian Davis",105,NA,13.38,159,62,"ProximitytoHolefromOtherLocations",2011
