"LeftRoughTendencyRTPScore_RANKTHISWEEK_2006","LeftRoughTendencyRTPScore_RANKLASTWEEK_2006","LeftRoughTendencyRTPScore_PLAYERNAME_2006","LeftRoughTendencyRTPScore_ROUNDS_2006","LeftRoughTendencyRTPScore_RTPSCORE_2006","stat_name","year"
1,1,"Tiger Woods",55,-0.188,"LeftRoughTendencyRTPScore",2006
2,2,"Fred Couples",52,-0.025,"LeftRoughTendencyRTPScore",2006
2,2,"Greg Owen",79,-0.025,"LeftRoughTendencyRTPScore",2006
4,4,"Jeff Overton",95,-0.006,"LeftRoughTendencyRTPScore",2006
4,4,"Camilo Villegas",95,-0.006,"LeftRoughTendencyRTPScore",2006
6,6,"Stuart Appleby",83,0,"LeftRoughTendencyRTPScore",2006
6,6,"Charles Howell III",96,0,"LeftRoughTendencyRTPScore",2006
8,8,"Dean Wilson",115,0.005,"LeftRoughTendencyRTPScore",2006
9,9,"Bubba Watson",83,0.006,"LeftRoughTendencyRTPScore",2006
10,10,"Vijay Singh",103,0.017,"LeftRoughTendencyRTPScore",2006
11,11,"Ernie Els",69,0.018,"LeftRoughTendencyRTPScore",2006
12,12,"Roger Tambellini",64,0.021,"LeftRoughTendencyRTPScore",2006
13,13,"Paul Azinger",87,0.023,"LeftRoughTendencyRTPScore",2006
13,13,"Steve Stricker",64,0.023,"LeftRoughTendencyRTPScore",2006
15,15,"Jesper Parnevik",84,0.026,"LeftRoughTendencyRTPScore",2006
16,16,"Briny Baird",81,0.029,"LeftRoughTendencyRTPScore",2006
17,17,"Bob May",65,0.03,"LeftRoughTendencyRTPScore",2006
17,17,"Heath Slocum",96,0.03,"LeftRoughTendencyRTPScore",2006
19,19,"Steve Elkington",52,0.031,"LeftRoughTendencyRTPScore",2006
20,20,"Paul Stankowski",70,0.033,"LeftRoughTendencyRTPScore",2006
21,21,"Alex Aragon",63,0.034,"LeftRoughTendencyRTPScore",2006
21,21,"Brett Quigley",109,0.034,"LeftRoughTendencyRTPScore",2006
23,23,"Brandt Jobe",91,0.035,"LeftRoughTendencyRTPScore",2006
24,24,"Tom Pernice Jr",108,0.036,"LeftRoughTendencyRTPScore",2006
25,25,"Nick Watney",97,0.037,"LeftRoughTendencyRTPScore",2006
26,26,"Brett Wetterich",82,0.038,"LeftRoughTendencyRTPScore",2006
27,27,"Billy Mayfair",94,0.04,"LeftRoughTendencyRTPScore",2006
28,28,"JB Holmes",81,0.044,"LeftRoughTendencyRTPScore",2006
29,29,"Daniel Chopra",110,0.045,"LeftRoughTendencyRTPScore",2006
30,30,"Bill Haas",99,0.046,"LeftRoughTendencyRTPScore",2006
31,31,"Troy Matteson",101,0.047,"LeftRoughTendencyRTPScore",2006
32,32,"Trevor Immelman",86,0.048,"LeftRoughTendencyRTPScore",2006
33,33,"David Toms",76,0.051,"LeftRoughTendencyRTPScore",2006
34,34,"Nathan Green",108,0.052,"LeftRoughTendencyRTPScore",2006
34,34,"Omar Uresti",61,0.052,"LeftRoughTendencyRTPScore",2006
36,36,"Frank Lickliter II",99,0.054,"LeftRoughTendencyRTPScore",2006
37,37,"Padraig Harrington",54,0.06,"LeftRoughTendencyRTPScore",2006
38,38,"Chris Riley",86,0.063,"LeftRoughTendencyRTPScore",2006
39,39,"Vance Veazey",59,0.064,"LeftRoughTendencyRTPScore",2006
40,40,"Justin Rose",98,0.065,"LeftRoughTendencyRTPScore",2006
41,41,"Charles Warren",93,0.066,"LeftRoughTendencyRTPScore",2006
42,42,"Ben Curtis",86,0.072,"LeftRoughTendencyRTPScore",2006
43,43,"Shigeki Maruyama",94,0.073,"LeftRoughTendencyRTPScore",2006
44,44,"Paul Goydos",72,0.074,"LeftRoughTendencyRTPScore",2006
45,45,"Pat Perez",50,0.075,"LeftRoughTendencyRTPScore",2006
46,46,"Robert Allenby",79,0.076,"LeftRoughTendencyRTPScore",2006
47,47,"David Branshaw",98,0.078,"LeftRoughTendencyRTPScore",2006
47,47,"Bubba Dickerson",98,0.078,"LeftRoughTendencyRTPScore",2006
47,47,"Bob Estes",85,0.078,"LeftRoughTendencyRTPScore",2006
50,50,"Harrison Frazar",95,0.079,"LeftRoughTendencyRTPScore",2006
51,51,"Marco Dawson",87,0.082,"LeftRoughTendencyRTPScore",2006
51,51,"Matt Hansen",68,0.082,"LeftRoughTendencyRTPScore",2006
53,53,"Woody Austin",107,0.083,"LeftRoughTendencyRTPScore",2006
54,54,"Jonathan Byrd",66,0.084,"LeftRoughTendencyRTPScore",2006
54,54,"Mark OMeara",52,0.084,"LeftRoughTendencyRTPScore",2006
54,54,"Carl Pettersson",95,0.084,"LeftRoughTendencyRTPScore",2006
57,57,"Brian Davis",92,0.085,"LeftRoughTendencyRTPScore",2006
57,57,"Mike Sposa",68,0.085,"LeftRoughTendencyRTPScore",2006
59,59,"Ryuji Imada",105,0.086,"LeftRoughTendencyRTPScore",2006
60,60,"Michael Allen",84,0.088,"LeftRoughTendencyRTPScore",2006
