"RightRoughTendencyRTPScore_RANKTHISWEEK_2011","RightRoughTendencyRTPScore_RANKLASTWEEK_2011","RightRoughTendencyRTPScore_PLAYERNAME_2011","RightRoughTendencyRTPScore_ROUNDS_2011","RightRoughTendencyRTPScore_RTPSCORE_2011","stat_name","year"
1,1,"Graeme McDowell",50,-0.086,"RightRoughTendencyRTPScore",2011
2,2,"Padraig Harrington",60,-0.06,"RightRoughTendencyRTPScore",2011
3,3,"Rory Sabbatini",85,-0.056,"RightRoughTendencyRTPScore",2011
4,4,"Luke Donald",73,-0.049,"RightRoughTendencyRTPScore",2011
5,5,"Alex Cejka",59,-0.037,"RightRoughTendencyRTPScore",2011
6,6,"Charley Hoffman",93,-0.032,"RightRoughTendencyRTPScore",2011
7,7,"Harrison Frazar",58,-0.031,"RightRoughTendencyRTPScore",2011
7,7,"Ian Poulter",52,-0.031,"RightRoughTendencyRTPScore",2011
9,9,"Steve Stricker",70,-0.03,"RightRoughTendencyRTPScore",2011
9,9,"Nick Watney",80,-0.03,"RightRoughTendencyRTPScore",2011
11,11,"Phil Mickelson",79,-0.025,"RightRoughTendencyRTPScore",2011
12,12,"Chris Couch",73,-0.023,"RightRoughTendencyRTPScore",2011
13,13,"Brandt Snedeker",85,-0.017,"RightRoughTendencyRTPScore",2011
14,14,"Dustin Johnson",72,-0.015,"RightRoughTendencyRTPScore",2011
14,14,"Bubba Watson",85,-0.015,"RightRoughTendencyRTPScore",2011
16,16,"Robert Karlsson",61,-0.01,"RightRoughTendencyRTPScore",2011
16,16,"Kyle Stanley",98,-0.01,"RightRoughTendencyRTPScore",2011
18,18,"David Toms",78,-0.009,"RightRoughTendencyRTPScore",2011
19,19,"Stewart Cink",72,0,"RightRoughTendencyRTPScore",2011
20,20,"Geoff Ogilvy",69,0.009,"RightRoughTendencyRTPScore",2011
20,20,"Kevin Stadler",88,0.009,"RightRoughTendencyRTPScore",2011
22,22,"Bill Haas",93,0.025,"RightRoughTendencyRTPScore",2011
22,22,"Gary Woodland",93,0.025,"RightRoughTendencyRTPScore",2011
24,24,"DA Points",89,0.03,"RightRoughTendencyRTPScore",2011
25,25,"Brendon de Jonge",105,0.035,"RightRoughTendencyRTPScore",2011
26,26,"Davis Love III",70,0.036,"RightRoughTendencyRTPScore",2011
27,27,"Brandt Jobe",100,0.042,"RightRoughTendencyRTPScore",2011
28,28,"Vaughn Taylor",89,0.043,"RightRoughTendencyRTPScore",2011
29,29,"David Mathis",83,0.044,"RightRoughTendencyRTPScore",2011
29,29,"Joe Ogilvie",75,0.044,"RightRoughTendencyRTPScore",2011
29,29,"Charlie Wi",83,0.044,"RightRoughTendencyRTPScore",2011
32,32,"Stephen Ames",69,0.045,"RightRoughTendencyRTPScore",2011
33,33,"Woody Austin",59,0.046,"RightRoughTendencyRTPScore",2011
34,34,"Trevor Immelman",84,0.05,"RightRoughTendencyRTPScore",2011
34,34,"Scott Stallings",84,0.05,"RightRoughTendencyRTPScore",2011
36,36,"Adam Scott",60,0.053,"RightRoughTendencyRTPScore",2011
37,37,"Robert Garrigus",83,0.054,"RightRoughTendencyRTPScore",2011
38,38,"Michael Bradley",74,0.056,"RightRoughTendencyRTPScore",2011
38,38,"JB Holmes",57,0.056,"RightRoughTendencyRTPScore",2011
40,40,"Tim Herron",85,0.06,"RightRoughTendencyRTPScore",2011
41,41,"Mark Wilson",89,0.062,"RightRoughTendencyRTPScore",2011
42,42,"Steve Flesch",88,0.063,"RightRoughTendencyRTPScore",2011
43,43,"Spencer Levin",113,0.064,"RightRoughTendencyRTPScore",2011
44,44,"Kevin Streelman",90,0.066,"RightRoughTendencyRTPScore",2011
45,45,"Hunter Haas",96,0.067,"RightRoughTendencyRTPScore",2011
45,45,"Anthony Kim",72,0.067,"RightRoughTendencyRTPScore",2011
47,47,"Freddie Jacobson",92,0.068,"RightRoughTendencyRTPScore",2011
47,47,"Steve Marino",76,0.068,"RightRoughTendencyRTPScore",2011
49,49,"Stuart Appleby",65,0.07,"RightRoughTendencyRTPScore",2011
49,49,"Chris Stroud",88,0.07,"RightRoughTendencyRTPScore",2011
51,51,"Kevin Chappell",78,0.071,"RightRoughTendencyRTPScore",2011
52,52,"Kevin Na",84,0.072,"RightRoughTendencyRTPScore",2011
53,53,"Aaron Baddeley",77,0.073,"RightRoughTendencyRTPScore",2011
53,53,"Ben Crane",76,0.073,"RightRoughTendencyRTPScore",2011
55,55,"Ben Curtis",66,0.075,"RightRoughTendencyRTPScore",2011
56,56,"Billy Mayfair",94,0.076,"RightRoughTendencyRTPScore",2011
57,57,"Chad Campbell",99,0.078,"RightRoughTendencyRTPScore",2011
57,57,"Troy Matteson",91,0.078,"RightRoughTendencyRTPScore",2011
57,57,"Webb Simpson",98,0.078,"RightRoughTendencyRTPScore",2011
60,60,"Matt Bettencourt",84,0.079,"RightRoughTendencyRTPScore",2011
61,61,"Martin Laird",77,0.08,"RightRoughTendencyRTPScore",2011
62,62,"Bryce Molder",82,0.081,"RightRoughTendencyRTPScore",2011
62,62,"Carl Pettersson",95,0.081,"RightRoughTendencyRTPScore",2011
62,62,"Jim Renner",65,0.081,"RightRoughTendencyRTPScore",2011
65,65,"Bobby Gates",82,0.082,"RightRoughTendencyRTPScore",2011
