"FirstTeeLatePar3ScoringAverage_RANKTHISWEEK_2006","FirstTeeLatePar3ScoringAverage_RANKLASTWEEK_2006","FirstTeeLatePar3ScoringAverage_PLAYERNAME_2006","FirstTeeLatePar3ScoringAverage_ROUNDS_2006","FirstTeeLatePar3ScoringAverage_AVG_2006","FirstTeeLatePar3ScoringAverage_TOTALSTROKES_2006","FirstTeeLatePar3ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Corey Pavin",74,2.93,255,87,"FirstTeeLatePar3ScoringAverage",2006
1,1,"Omar Uresti",61,2.93,132,45,"FirstTeeLatePar3ScoringAverage",2006
3,3,"Tommy Armour III",65,2.94,194,66,"FirstTeeLatePar3ScoringAverage",2006
4,4,"Chris DiMarco",83,2.95,357,121,"FirstTeeLatePar3ScoringAverage",2006
4,4,"Jeff Gove",91,2.95,322,109,"FirstTeeLatePar3ScoringAverage",2006
4,4,"Jerry Smith",94,2.95,286,97,"FirstTeeLatePar3ScoringAverage",2006
7,7,"Kenny Perry",73,2.96,308,104,"FirstTeeLatePar3ScoringAverage",2006
8,8,"Jonathan Byrd",66,2.97,273,92,"FirstTeeLatePar3ScoringAverage",2006
8,8,"Luke Donald",66,2.97,416,140,"FirstTeeLatePar3ScoringAverage",2006
8,8,"David Howell",52,2.97,202,68,"FirstTeeLatePar3ScoringAverage",2006
8,8,"Ryuji Imada",105,2.97,351,118,"FirstTeeLatePar3ScoringAverage",2006
8,8,"Lee Janzen",79,2.97,267,90,"FirstTeeLatePar3ScoringAverage",2006
13,13,"Robert Garrigus",85,2.98,253,85,"FirstTeeLatePar3ScoringAverage",2006
13,13,"Adam Scott",70,2.98,468,157,"FirstTeeLatePar3ScoringAverage",2006
13,13,"Tiger Woods",55,2.98,429,144,"FirstTeeLatePar3ScoringAverage",2006
16,16,"Michael Allen",84,2.99,254,85,"FirstTeeLatePar3ScoringAverage",2006
16,16,"Tim Clark",80,2.99,410,137,"FirstTeeLatePar3ScoringAverage",2006
16,16,"Ben Crane",85,2.99,353,118,"FirstTeeLatePar3ScoringAverage",2006
16,16,"Dudley Hart",83,2.99,341,114,"FirstTeeLatePar3ScoringAverage",2006
16,16,"Stephen Leaney",84,2.99,323,108,"FirstTeeLatePar3ScoringAverage",2006
21,21,"Woody Austin",107,3,369,123,"FirstTeeLatePar3ScoringAverage",2006
21,21,"Jim Furyk",89,3,611,204,"FirstTeeLatePar3ScoringAverage",2006
21,21,"Bob May",65,3,219,73,"FirstTeeLatePar3ScoringAverage",2006
21,21,"Jose Maria Olazabal",62,3,252,84,"FirstTeeLatePar3ScoringAverage",2006
21,21,"Scott Verplank",88,3,414,138,"FirstTeeLatePar3ScoringAverage",2006
26,26,"Trevor Immelman",86,3.01,493,164,"FirstTeeLatePar3ScoringAverage",2006
26,26,"Ted Purdy",103,3.01,424,141,"FirstTeeLatePar3ScoringAverage",2006
26,26,"Brett Quigley",109,3.01,518,172,"FirstTeeLatePar3ScoringAverage",2006
26,26,"Heath Slocum",96,3.01,304,101,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Brian Gay",107,3.02,435,144,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Shaun Micheel",96,3.02,447,148,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Tom Pernice Jr",108,3.02,489,162,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Justin Rose",98,3.02,486,161,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Rory Sabbatini",84,3.02,341,113,"FirstTeeLatePar3ScoringAverage",2006
30,30,"Kirk Triplett",58,3.02,181,60,"FirstTeeLatePar3ScoringAverage",2006
36,36,"Chad Campbell",91,3.03,424,140,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Stewart Cink",93,3.04,432,142,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Bob Estes",85,3.04,331,109,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Nathan Green",108,3.04,419,138,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Rod Pampling",89,3.04,344,113,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Jeff Sluman",101,3.04,414,136,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Duffy Waldorf",96,3.04,295,97,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Jimmy Walker",60,3.04,161,53,"FirstTeeLatePar3ScoringAverage",2006
37,37,"Mark Wilson",79,3.04,258,85,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Briny Baird",81,3.05,332,109,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Steve Elkington",52,3.05,171,56,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Robert Gamez",94,3.05,299,98,"FirstTeeLatePar3ScoringAverage",2006
45,45,"JJ Henry",96,3.05,445,146,"FirstTeeLatePar3ScoringAverage",2006
45,45,"John Huston",74,3.05,287,94,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Richard Johnson",94,3.05,458,150,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Sean OHair",100,3.05,342,112,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Jesper Parnevik",84,3.05,323,106,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Vijay Singh",103,3.05,668,219,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Steve Stricker",64,3.05,357,117,"FirstTeeLatePar3ScoringAverage",2006
45,45,"Kevin Sutherland",100,3.05,317,104,"FirstTeeLatePar3ScoringAverage",2006
56,56,"Robert Allenby",79,3.06,367,120,"FirstTeeLatePar3ScoringAverage",2006
56,56,"Jerry Kelly",100,3.06,471,154,"FirstTeeLatePar3ScoringAverage",2006
56,56,"Wes Short Jr",96,3.06,260,85,"FirstTeeLatePar3ScoringAverage",2006
56,56,"Brett Wetterich",82,3.06,352,115,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Jason Bohn",104,3.07,402,131,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Olin Browne",108,3.07,298,97,"FirstTeeLatePar3ScoringAverage",2006
60,60,"John Cook",67,3.07,252,82,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Retief Goosen",68,3.07,384,125,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Padraig Harrington",54,3.07,270,88,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Frank Lickliter II",99,3.07,448,146,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Steve Lowery",99,3.07,319,104,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Phil Mickelson",74,3.07,417,136,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Ryan Moore",68,3.07,307,100,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Chris Riley",86,3.07,264,86,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Charles Warren",93,3.07,313,102,"FirstTeeLatePar3ScoringAverage",2006
60,60,"Dean Wilson",115,3.07,384,125,"FirstTeeLatePar3ScoringAverage",2006
72,72,"KJ Choi",93,3.08,366,119,"FirstTeeLatePar3ScoringAverage",2006
72,72,"Marco Dawson",87,3.08,314,102,"FirstTeeLatePar3ScoringAverage",2006
72,72,"Ernie Els",69,3.08,465,151,"FirstTeeLatePar3ScoringAverage",2006
72,72,"Bill Haas",99,3.08,311,101,"FirstTeeLatePar3ScoringAverage",2006
72,72,"Charles Howell III",96,3.08,299,97,"FirstTeeLatePar3ScoringAverage",2006
72,72,"Freddie Jacobson",56,3.08,237,77,"FirstTeeLatePar3ScoringAverage",2006
