"GIRPercentageLess100yards_RANKTHISWEEK_2009","GIRPercentageLess100yards_RANKLASTWEEK_2009","GIRPercentageLess100yards_PLAYERNAME_2009","GIRPercentageLess100yards_ROUNDS_2009","GIRPercentageLess100yards_Pct_2009","GIRPercentageLess100yards_GREENSHIT_2009","GIRPercentageLess100yards_TOTALHOLES_2009","GIRPercentageLess100yards_RELATIVETOPAR_2009","stat_name","year"
1,NA,"Bob Estes",78,92.93,171,184,-0.57,"GIRPercentageLess100yards",2009
2,NA,"Chris Riley",77,91.62,175,191,-0.56,"GIRPercentageLess100yards",2009
3,NA,"Briny Baird",89,91.44,203,222,-0.5,"GIRPercentageLess100yards",2009
4,NA,"Sean OHair",80,91.24,198,217,-0.58,"GIRPercentageLess100yards",2009
5,NA,"Will Ma Kenzie",69,90.67,204,225,-0.45,"GIRPercentageLess100yards",2009
6,NA,"Steve Stricker",81,90.61,193,213,-0.61,"GIRPercentageLess100yards",2009
7,NA,"Kevin Sutherland",96,90.24,222,246,-0.56,"GIRPercentageLess100yards",2009
8,NA,"Scott Sterling",51,90.1,91,101,-0.38,"GIRPercentageLess100yards",2009
9,NA,"Kevin Na",91,90,207,230,-0.61,"GIRPercentageLess100yards",2009
10,NA,"Nick OHern",90,89.87,204,227,-0.51,"GIRPercentageLess100yards",2009
10,NA,"Johnson Wagner",81,89.87,204,227,-0.5,"GIRPercentageLess100yards",2009
12,NA,"Kenny Perry",92,89.67,243,271,-0.5,"GIRPercentageLess100yards",2009
13,NA,"Jonathan Byrd",89,89.64,277,309,-0.54,"GIRPercentageLess100yards",2009
14,NA,"Greg Chalmers",85,89.47,204,228,-0.56,"GIRPercentageLess100yards",2009
15,NA,"David Toms",98,89.41,228,255,-0.5,"GIRPercentageLess100yards",2009
16,NA,"Boo Weekley",79,89.16,222,249,-0.5,"GIRPercentageLess100yards",2009
17,NA,"Woody Austin",84,89.03,211,237,-0.48,"GIRPercentageLess100yards",2009
18,NA,"Mark Wilson",99,88.81,238,268,-0.51,"GIRPercentageLess100yards",2009
19,NA,"Bill Haas",91,88.59,264,298,-0.58,"GIRPercentageLess100yards",2009
20,NA,"Retief Goosen",74,88.3,151,171,-0.66,"GIRPercentageLess100yards",2009
21,NA,"Zach Johnson",94,88.21,217,246,-0.59,"GIRPercentageLess100yards",2009
22,NA,"Brian Bateman",55,88.19,127,144,-0.42,"GIRPercentageLess100yards",2009
23,NA,"John Senden",100,88.18,261,296,-0.62,"GIRPercentageLess100yards",2009
24,NA,"Michael Allen",73,88.11,163,185,-0.48,"GIRPercentageLess100yards",2009
25,NA,"Tom Lehman",55,88.1,74,84,-0.31,"GIRPercentageLess100yards",2009
26,NA,"Freddie Jacobson",83,88.03,206,234,-0.55,"GIRPercentageLess100yards",2009
27,NA,"Stephen Ames",77,88.02,169,192,-0.66,"GIRPercentageLess100yards",2009
28,NA,"Robert Garrigus",83,87.95,219,249,-0.5,"GIRPercentageLess100yards",2009
29,NA,"Charles Howell III",99,87.86,246,280,-0.54,"GIRPercentageLess100yards",2009
29,NA,"Spencer Levin",75,87.86,181,206,-0.44,"GIRPercentageLess100yards",2009
31,NA,"Jay Williamson",69,87.85,159,181,-0.44,"GIRPercentageLess100yards",2009
32,NA,"Hunter Mahan",94,87.74,229,261,-0.54,"GIRPercentageLess100yards",2009
32,NA,"Chris Stroud",88,87.74,229,261,-0.58,"GIRPercentageLess100yards",2009
34,NA,"Tim Clark",81,87.7,164,187,-0.53,"GIRPercentageLess100yards",2009
35,NA,"JB Holmes",74,87.69,228,260,-0.51,"GIRPercentageLess100yards",2009
36,NA,"Bryce Molder",69,87.67,128,146,-0.58,"GIRPercentageLess100yards",2009
37,NA,"Carl Pettersson",86,87.66,206,235,-0.54,"GIRPercentageLess100yards",2009
38,NA,"Rory Sabbatini",81,87.64,227,259,-0.53,"GIRPercentageLess100yards",2009
39,NA,"Jason Day",61,87.63,163,186,-0.56,"GIRPercentageLess100yards",2009
40,NA,"Vaughn Taylor",88,87.6,219,250,-0.52,"GIRPercentageLess100yards",2009
41,NA,"Bob Heintz",59,87.58,134,153,-0.49,"GIRPercentageLess100yards",2009
42,NA,"Justin Rose",71,87.57,162,185,-0.53,"GIRPercentageLess100yards",2009
43,NA,"Luke Donald",79,87.5,147,168,-0.55,"GIRPercentageLess100yards",2009
43,NA,"Jarrod Lyle",65,87.5,140,160,-0.4,"GIRPercentageLess100yards",2009
45,NA,"Heath Slocum",95,87.46,244,279,-0.46,"GIRPercentageLess100yards",2009
45,NA,"DJ Trahan",96,87.46,258,295,-0.57,"GIRPercentageLess100yards",2009
47,NA,"Chez Reavie",81,87.39,194,222,-0.46,"GIRPercentageLess100yards",2009
48,NA,"Davis Love III",89,87.36,242,277,-0.52,"GIRPercentageLess100yards",2009
49,NA,"Brad Adamonis",70,87.29,158,181,-0.54,"GIRPercentageLess100yards",2009
50,NA,"Alex Cejka",82,87.28,199,228,-0.56,"GIRPercentageLess100yards",2009
