"AveragePuttingDistanceGIR1Putts_RANKTHISWEEK_2005","AveragePuttingDistanceGIR1Putts_RANKLASTWEEK_2005","AveragePuttingDistanceGIR1Putts_PLAYERNAME_2005","AveragePuttingDistanceGIR1Putts_ROUNDS_2005","AveragePuttingDistanceGIR1Putts_AVG_2005","AveragePuttingDistanceGIR1Putts_DISTANCEFEET_2005","AveragePuttingDistanceGIR1Putts_TOTALPUTTS_2005","stat_name","year"
1,1,"Dan Forsman",52,NA,1965.667,152,"AveragePuttingDistanceGIR1Putts",2005
2,2,"Matt Gogel",78,NA,2332.25,183,"AveragePuttingDistanceGIR1Putts",2005
3,3,"Chris Anderson",66,NA,2133.25,170,"AveragePuttingDistanceGIR1Putts",2005
4,4,"Bob Tway",87,NA,2626.25,212,"AveragePuttingDistanceGIR1Putts",2005
5,5,"Kent Jones",99,NA,3541.75,288,"AveragePuttingDistanceGIR1Putts",2005
5,5,"Matt Kuchar",60,NA,1895.667,154,"AveragePuttingDistanceGIR1Putts",2005
7,7,"Steve Elkington",67,NA,1957.75,160,"AveragePuttingDistanceGIR1Putts",2005
7,7,"Charles Howell III",95,NA,2694.25,220,"AveragePuttingDistanceGIR1Putts",2005
7,7,"Shaun Micheel",81,NA,2251.583,184,"AveragePuttingDistanceGIR1Putts",2005
10,10,"Thomas Levet",54,NA,1092,90,"AveragePuttingDistanceGIR1Putts",2005
11,11,"Gavin Coles",70,NA,2206.25,182,"AveragePuttingDistanceGIR1Putts",2005
11,11,"Brenden Pappas",51,NA,2013.833,167,"AveragePuttingDistanceGIR1Putts",2005
13,13,"Brian Gay",101,NA,3239,274,"AveragePuttingDistanceGIR1Putts",2005
13,13,"Freddie Jacobson",72,NA,1984.917,168,"AveragePuttingDistanceGIR1Putts",2005
13,13,"Mark OMeara",66,NA,1639.583,139,"AveragePuttingDistanceGIR1Putts",2005
16,16,"Brent Geiberger",61,NA,1641.417,140,"AveragePuttingDistanceGIR1Putts",2005
16,16,"Tom Gillis",77,NA,2257.333,192,"AveragePuttingDistanceGIR1Putts",2005
16,16,"Len Mattiace",86,NA,2337.417,199,"AveragePuttingDistanceGIR1Putts",2005
16,16,"Joey Snyder III",102,NA,3061.25,261,"AveragePuttingDistanceGIR1Putts",2005
20,20,"Dudley Hart",84,NA,2661.333,228,"AveragePuttingDistanceGIR1Putts",2005
20,20,"Tim Herron",100,NA,3176.667,273,"AveragePuttingDistanceGIR1Putts",2005
20,20,"Scott McCarron",78,NA,2037.583,175,"AveragePuttingDistanceGIR1Putts",2005
23,23,"Paul Claxton",79,NA,2137,184,"AveragePuttingDistanceGIR1Putts",2005
23,23,"John Cook",72,NA,2059.083,178,"AveragePuttingDistanceGIR1Putts",2005
23,23,"Richard Johnson",50,NA,1787.583,154,"AveragePuttingDistanceGIR1Putts",2005
23,23,"Bernhard Langer",67,NA,1610.75,139,"AveragePuttingDistanceGIR1Putts",2005
23,23,"Tom Pernice Jr",111,NA,2930.083,253,"AveragePuttingDistanceGIR1Putts",2005
28,28,"Briny Baird",98,NA,3163.25,276,"AveragePuttingDistanceGIR1Putts",2005
28,28,"Brian Bateman",98,NA,2752.917,240,"AveragePuttingDistanceGIR1Putts",2005
28,28,"Lee Westwood",50,NA,1095.667,95,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Danny Briggs",70,NA,1952.25,171,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Bob Estes",92,NA,2884.083,253,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Hunter Haas",83,NA,2651.5,232,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Michael Long",72,NA,1958.417,171,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Hunter Mahan",103,NA,3447.5,303,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Sean OHair",103,NA,3020.667,264,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Jesper Parnevik",84,NA,2098.083,184,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Dennis Paulson",63,NA,1645.083,144,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Rob Rashell",65,NA,1643.917,144,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Nick Watney",91,NA,2617.417,230,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Jay Williamson",53,NA,1506.833,132,"AveragePuttingDistanceGIR1Putts",2005
31,31,"Dean Wilson",86,NA,2809.917,247,"AveragePuttingDistanceGIR1Putts",2005
