"Front9LowestRound_RANKTHISWEEK_2012","Front9LowestRound_RANKLASTWEEK_2012","Front9LowestRound_PLAYERNAME_2012","Front9LowestRound__2012","Front9LowestRound_LOWRND_2012","stat_name","year"
1,1,"Jason Day",NA,28,"Front9LowestRound",2012
1,1,"Toshinori Muto",NA,28,"Front9LowestRound",2012
1,1,"Charlie Wi",NA,28,"Front9LowestRound",2012
4,4,"Roberto Castro",NA,29,"Front9LowestRound",2012
4,4,"Brian Davis",NA,29,"Front9LowestRound",2012
4,4,"Brendon de Jonge",NA,29,"Front9LowestRound",2012
4,4,"Jim Furyk",NA,29,"Front9LowestRound",2012
4,4,"Brian Harman",NA,29,"Front9LowestRound",2012
4,4,"David Hearn",NA,29,"Front9LowestRound",2012
4,4,"JB Holmes",NA,29,"Front9LowestRound",2012
4,4,"Troy Kelly",NA,29,"Front9LowestRound",2012
4,4,"JJ Killeen",NA,29,"Front9LowestRound",2012
4,4,"Chris Kirk",NA,29,"Front9LowestRound",2012
4,4,"Kelly Kraft",NA,29,"Front9LowestRound",2012
4,4,"Phil Mickelson",NA,29,"Front9LowestRound",2012
4,4,"Louis Oosthuizen",NA,29,"Front9LowestRound",2012
4,4,"Greg Owen",NA,29,"Front9LowestRound",2012
4,4,"Scott Piercy",NA,29,"Front9LowestRound",2012
4,4,"Brendon Todd",NA,29,"Front9LowestRound",2012
4,4,"Jimmy Walker",NA,29,"Front9LowestRound",2012
4,4,"Mark Wilson",NA,29,"Front9LowestRound",2012
22,22,"Robert Allenby",NA,30,"Front9LowestRound",2012
22,22,"Charlie Beljan",NA,30,"Front9LowestRound",2012
22,22,"Miguel Angel Carballo",NA,30,"Front9LowestRound",2012
22,22,"Bud Cauley",NA,30,"Front9LowestRound",2012
22,22,"Greg Chalmers",NA,30,"Front9LowestRound",2012
22,22,"Will Claxton",NA,30,"Front9LowestRound",2012
22,22,"Ben Crane",NA,30,"Front9LowestRound",2012
22,22,"John Daly",NA,30,"Front9LowestRound",2012
22,22,"Joe Durant",NA,30,"Front9LowestRound",2012
22,22,"Harris English",NA,30,"Front9LowestRound",2012
22,22,"Matt Every",NA,30,"Front9LowestRound",2012
22,22,"Martin Flores",NA,30,"Front9LowestRound",2012
22,22,"Tommy Gainey",NA,30,"Front9LowestRound",2012
22,22,"Brian Gay",NA,30,"Front9LowestRound",2012
22,22,"Andres Gonzales",NA,30,"Front9LowestRound",2012
22,22,"Branden Grace",NA,30,"Front9LowestRound",2012
22,22,"Padraig Harrington",NA,30,"Front9LowestRound",2012
22,22,"Billy Horschel",NA,30,"Front9LowestRound",2012
22,22,"Charles Howell III",NA,30,"Front9LowestRound",2012
22,22,"Zach Johnson",NA,30,"Front9LowestRound",2012
22,22,"Dustin Johnson",NA,30,"Front9LowestRound",2012
22,22,"Anthony Kim",NA,30,"Front9LowestRound",2012
22,22,"Danny Lee",NA,30,"Front9LowestRound",2012
22,22,"Marc Leishman",NA,30,"Front9LowestRound",2012
22,22,"Spencer Levin",NA,30,"Front9LowestRound",2012
22,22,"Edward Loar",NA,30,"Front9LowestRound",2012
22,22,"Davis Love III",NA,30,"Front9LowestRound",2012
22,22,"Jeff Maggert",NA,30,"Front9LowestRound",2012
22,22,"Troy Matteson",NA,30,"Front9LowestRound",2012
22,22,"Rory McIlroy",NA,30,"Front9LowestRound",2012
22,22,"Rocco Mediate",NA,30,"Front9LowestRound",2012
22,22,"Ryan Moore",NA,30,"Front9LowestRound",2012
22,22,"Garth Mulroy",NA,30,"Front9LowestRound",2012
22,22,"Nick OHern",NA,30,"Front9LowestRound",2012
22,22,"Pat Perez",NA,30,"Front9LowestRound",2012
22,22,"Tim Petrovic",NA,30,"Front9LowestRound",2012
22,22,"Ted Potter Jr",NA,30,"Front9LowestRound",2012
22,22,"Vijay Singh",NA,30,"Front9LowestRound",2012
22,22,"Brandt Snedeker",NA,30,"Front9LowestRound",2012
22,22,"Scott Stallings",NA,30,"Front9LowestRound",2012
22,22,"Josh Teater",NA,30,"Front9LowestRound",2012
22,22,"Camilo Villegas",NA,30,"Front9LowestRound",2012
22,22,"Lee Westwood",NA,30,"Front9LowestRound",2012
22,22,"Steve Wheatcroft",NA,30,"Front9LowestRound",2012
22,22,"Tiger Woods",NA,30,"Front9LowestRound",2012
67,67,"Blake Adams",NA,31,"Front9LowestRound",2012
67,67,"Thomas Aiken",NA,31,"Front9LowestRound",2012
67,67,"Stuart Appleby",NA,31,"Front9LowestRound",2012
67,67,"Arjun Atwal",NA,31,"Front9LowestRound",2012
67,67,"Aaron Baddeley",NA,31,"Front9LowestRound",2012
67,67,"Sangmoon Bae",NA,31,"Front9LowestRound",2012
67,67,"Shane Bertsch",NA,31,"Front9LowestRound",2012
67,67,"Tommy Biershenk",NA,31,"Front9LowestRound",2012
67,67,"Jonas Blixt",NA,31,"Front9LowestRound",2012
67,67,"Jason Bohn",NA,31,"Front9LowestRound",2012
67,67,"Steven Bowditch",NA,31,"Front9LowestRound",2012
67,67,"Keegan Bradley",NA,31,"Front9LowestRound",2012
67,67,"Scott Brown",NA,31,"Front9LowestRound",2012
67,67,"Jonathan Byrd",NA,31,"Front9LowestRound",2012
67,67,"Angel Cabrera",NA,31,"Front9LowestRound",2012
67,67,"Mark Calcavecchia",NA,31,"Front9LowestRound",2012
67,67,"Chad Campbell",NA,31,"Front9LowestRound",2012
67,67,"Paul Casey",NA,31,"Front9LowestRound",2012
67,67,"Kevin Chappell",NA,31,"Front9LowestRound",2012
67,67,"Gary Christian",NA,31,"Front9LowestRound",2012
67,67,"Stewart Cink",NA,31,"Front9LowestRound",2012
67,67,"Tim Clark",NA,31,"Front9LowestRound",2012
67,67,"Gavin Coles",NA,31,"Front9LowestRound",2012
