"SubParRounds_RANKTHISWEEK_2015","SubParRounds_RANKLASTWEEK_2015","SubParRounds_PLAYERNAME_2015","SubParRounds_EVENTS_2015","stat_name","year"
1,1,"Robert Streb",30,"SubParRounds",2015
2,2,"Justin Thomas",30,"SubParRounds",2015
3,3,"Danny Lee",36,"SubParRounds",2015
4,4,"Tony Finau",31,"SubParRounds",2015
5,5,"Jordan Spieth",25,"SubParRounds",2015
6,6,"Kevin Kisner",30,"SubParRounds",2015
7,7,"Zac Blair",34,"SubParRounds",2015
7,7,"Patrick Reed",27,"SubParRounds",2015
9,9,"Steven Bowditch",32,"SubParRounds",2015
9,9,"Charles Howell III",30,"SubParRounds",2015
11,11,"Brendon de Jonge",31,"SubParRounds",2015
11,11,"Hideki Matsuyama",25,"SubParRounds",2015
11,11,"Pat Perez",26,"SubParRounds",2015
14,14,"William McGirt",30,"SubParRounds",2015
15,15,"Jason Bohn",27,"SubParRounds",2015
15,15,"Hudson Swafford",30,"SubParRounds",2015
17,17,"Daniel Berger",31,"SubParRounds",2015
17,17,"Jason Day",20,"SubParRounds",2015
17,17,"Harris English",29,"SubParRounds",2015
17,17,"Russell Knox",28,"SubParRounds",2015
17,17,"Matt Kuchar",25,"SubParRounds",2015
22,22,"Shawn Stefani",26,"SubParRounds",2015
23,23,"David Hearn",30,"SubParRounds",2015
23,23,"Kevin Na",27,"SubParRounds",2015
23,23,"Kyle Reifers",31,"SubParRounds",2015
26,26,"George McNeill",27,"SubParRounds",2015
26,26,"Daniel Summerhays",29,"SubParRounds",2015
28,28,"Zach Johnson",25,"SubParRounds",2015
28,28,"Bubba Watson",19,"SubParRounds",2015
30,30,"Jason Kokrak",28,"SubParRounds",2015
30,30,"Carl Pettersson",32,"SubParRounds",2015
30,30,"Brandt Snedeker",27,"SubParRounds",2015
30,30,"Brendan Steele",24,"SubParRounds",2015
34,34,"Scott Brown",30,"SubParRounds",2015
34,34,"Paul Casey",24,"SubParRounds",2015
34,34,"Alex Cejka",30,"SubParRounds",2015
34,34,"Brendon Todd",27,"SubParRounds",2015
38,38,"Chad Campbell",30,"SubParRounds",2015
38,38,"Jim Herman",27,"SubParRounds",2015
38,38,"Charley Hoffman",28,"SubParRounds",2015
38,38,"Billy Horschel",28,"SubParRounds",2015
38,38,"Colt Knost",29,"SubParRounds",2015
38,38,"Ben Martin",27,"SubParRounds",2015
38,38,"Bryce Molder",26,"SubParRounds",2015
38,38,"Mark Wilson",28,"SubParRounds",2015
46,46,"Adam Hadwin",30,"SubParRounds",2015
46,46,"James Hahn",28,"SubParRounds",2015
46,46,"JB Holmes",25,"SubParRounds",2015
46,46,"John Huh",31,"SubParRounds",2015
