"EaglesHolesper_RANKTHISWEEK_2014","EaglesHolesper_RANKLASTWEEK_2014","EaglesHolesper_PLAYERNAME_2014","EaglesHolesper_ROUNDS_2014","EaglesHolesper_FREQUENCY_2014","EaglesHolesper_OFHOLES_2014","EaglesHolesper_OFEAGLES_2014","stat_name","year"
1,1,"Matt Jones",83,93.4,1494,16,"EaglesHolesper",2014
2,2,"Justin Rose",70,102,1224,12,"EaglesHolesper",2014
3,3,"Steven Bowditch",93,104.6,1674,16,"EaglesHolesper",2014
4,4,"Will Ma Kenzie",82,105.4,1476,14,"EaglesHolesper",2014
5,5,"Dustin Johnson",58,114,1026,9,"EaglesHolesper",2014
6,6,"Billy Horschel",92,115.7,1620,14,"EaglesHolesper",2014
6,6,"Patrick Reed",92,115.7,1620,14,"EaglesHolesper",2014
8,8,"Ryan Palmer",85,117.7,1530,13,"EaglesHolesper",2014
9,9,"Bubba Watson",76,119.5,1314,11,"EaglesHolesper",2014
10,10,"Marc Leishman",81,120,1440,12,"EaglesHolesper",2014
11,11,"Martin Laird",66,124,1116,9,"EaglesHolesper",2014
12,12,"Stewart Cink",91,126,1638,13,"EaglesHolesper",2014
13,13,"Rory McIlroy",66,128,1152,9,"EaglesHolesper",2014
14,14,"Charlie Beljan",76,129.6,1296,10,"EaglesHolesper",2014
15,15,"Nicholas Thompson",85,132.5,1458,11,"EaglesHolesper",2014
16,16,"Shawn Stefani",60,135,1080,8,"EaglesHolesper",2014
17,17,"Charles Howell III",106,136.3,1908,14,"EaglesHolesper",2014
18,18,"Andres Romero",81,138.6,1386,10,"EaglesHolesper",2014
19,19,"Brian Harman",111,142.7,1998,14,"EaglesHolesper",2014
20,20,"Paul Casey",56,144,1008,7,"EaglesHolesper",2014
20,20,"Robert Garrigus",80,144,1440,10,"EaglesHolesper",2014
20,20,"Brooks Koepka",56,144,1008,7,"EaglesHolesper",2014
23,23,"Kevin Stadler",90,145.6,1602,11,"EaglesHolesper",2014
24,24,"Jason Kokrak",65,146.3,1170,8,"EaglesHolesper",2014
24,24,"Johnson Wagner",69,146.3,1170,8,"EaglesHolesper",2014
26,26,"Daniel Summerhays",98,147,1764,12,"EaglesHolesper",2014
27,27,"Adam Scott",68,153,1224,8,"EaglesHolesper",2014
27,27,"Brendan Steele",89,153,1530,10,"EaglesHolesper",2014
29,29,"James Hahn",82,160,1440,9,"EaglesHolesper",2014
30,30,"Jason Dufner",57,162,972,6,"EaglesHolesper",2014
31,31,"Harris English",95,165.6,1656,10,"EaglesHolesper",2014
32,32,"John Merrick",87,166,1494,9,"EaglesHolesper",2014
32,32,"Bo Van Pelt",83,166,1494,9,"EaglesHolesper",2014
34,34,"Ryan Moore",86,168,1512,9,"EaglesHolesper",2014
35,35,"Kevin Na",94,169.2,1692,10,"EaglesHolesper",2014
36,36,"Jeff Overton",80,171,1368,8,"EaglesHolesper",2014
36,36,"Scott Stallings",77,171,1368,8,"EaglesHolesper",2014
38,38,"Jim Herman",62,174,1044,6,"EaglesHolesper",2014
39,39,"Rory Sabbatini",82,175.5,1404,8,"EaglesHolesper",2014
40,40,"Erik Compton",88,176,1584,9,"EaglesHolesper",2014
41,41,"Will Wilcox",51,176.4,882,5,"EaglesHolesper",2014
42,42,"Ernie Els",85,177.8,1422,8,"EaglesHolesper",2014
42,42,"George McNeill",79,177.8,1422,8,"EaglesHolesper",2014
44,44,"Trevor Immelman",84,180,1440,8,"EaglesHolesper",2014
44,44,"Ben Martin",80,180,1440,8,"EaglesHolesper",2014
44,44,"Hideki Matsuyama",82,180,1440,8,"EaglesHolesper",2014
44,44,"Geoff Ogilvy",84,180,1440,8,"EaglesHolesper",2014
44,44,"Charlie Wi",72,180,1260,7,"EaglesHolesper",2014
49,49,"James Driscoll",71,182.6,1278,7,"EaglesHolesper",2014
50,50,"Russell Knox",92,184,1656,9,"EaglesHolesper",2014
51,51,"Brian Davis",93,186,1674,9,"EaglesHolesper",2014
