"RoughProximity_RANKTHISWEEK_2007","RoughProximity_RANKLASTWEEK_2007","RoughProximity_PLAYERNAME_2007","RoughProximity_ROUNDS_2007","RoughProximity_AVG_2007","RoughProximity_TOTALDISTANCEINCHES_2007","RoughProximity_ATTEMPTS_2007","RoughProximity_TOTALDISTANCEFEET_2007","RoughProximity_RELATIVETOPAR_2007","stat_name","year"
1,1,"Craig Bowden",78,NA,92659,195,7721.583,19,"RoughProximity",2007
2,2,"Bob Heintz",85,NA,113360,238,9446.667,33,"RoughProximity",2007
3,3,"Brett Wetterich",88,NA,133205,279,11100.417,22,"RoughProximity",2007
4,4,"Joey Sindelar",75,NA,94247,197,7853.917,28,"RoughProximity",2007
5,5,"Mark Brooks",53,NA,48048,100,4004,25,"RoughProximity",2007
5,5,"Vijay Singh",102,NA,152521,318,12710.083,26,"RoughProximity",2007
7,7,"Ken Duke",112,NA,146942,305,12245.167,1,"RoughProximity",2007
8,8,"Luke Donald",69,NA,68492,141,5707.667,26,"RoughProximity",2007
8,8,"Steve Flesch",100,NA,139865,288,11655.417,41,"RoughProximity",2007
10,10,"Tim Clark",66,NA,70655,145,5887.917,23,"RoughProximity",2007
10,10,"Ernie Els",59,NA,87245,179,7270.417,9,"RoughProximity",2007
12,12,"Kyle Reifers",71,NA,106980,219,8915,45,"RoughProximity",2007
13,13,"Daniel Chopra",106,NA,196643,401,16386.917,27,"RoughProximity",2007
14,14,"Tommy Armour III",81,NA,84956,173,7079.667,15,"RoughProximity",2007
14,14,"Tiger Woods",63,NA,81032,165,6752.667,-11,"RoughProximity",2007
16,16,"JB Holmes",71,NA,123504,251,10292,23,"RoughProximity",2007
16,16,"Pat Perez",84,NA,118526,241,9877.167,36,"RoughProximity",2007
16,16,"Jason Schultz",63,NA,92015,187,7667.917,29,"RoughProximity",2007
16,16,"DJ Trahan",99,NA,142236,289,11853,46,"RoughProximity",2007
20,20,"Jeff Brehaut",59,NA,74789,151,6232.417,30,"RoughProximity",2007
20,20,"Heath Slocum",101,NA,121682,246,10140.167,19,"RoughProximity",2007
22,22,"Greg Owen",81,NA,117555,237,9796.25,52,"RoughProximity",2007
22,22,"Jaco Van Zyl",51,NA,72382,146,6031.833,32,"RoughProximity",2007
24,24,"Sergio Garcia",68,NA,117319,236,9776.583,14,"RoughProximity",2007
25,25,"Ted Purdy",102,NA,135373,272,11281.083,32,"RoughProximity",2007
26,26,"Jeff Sluman",60,NA,70858,142,5904.833,36,"RoughProximity",2007
27,27,"Craig Barlow",52,NA,80528,161,6710.667,29,"RoughProximity",2007
28,28,"Michael Boyd",61,NA,73677,147,6139.75,20,"RoughProximity",2007
