"SandSavePercentage_RANKTHISWEEK_2010","SandSavePercentage_RANKLASTWEEK_2010","SandSavePercentage_PLAYERNAME_2010","SandSavePercentage_ROUNDS_2010","SandSavePercentage_Pct_2010","SandSavePercentage_SAVES_2010","SandSavePercentage_BUNKERS_2010","SandSavePercentage_TOTALOUPAR_2010","stat_name","year"
1,1,"Luke Donald",71,66.39,79,119,24,"SandSavePercentage",2010
2,2,"Carl Pettersson",99,62.94,107,170,43,"SandSavePercentage",2010
3,3,"Pat Perez",90,61.97,88,142,21,"SandSavePercentage",2010
4,4,"Tim Clark",88,61.59,93,151,30,"SandSavePercentage",2010
5,5,"Chad Collins",87,60.43,84,139,40,"SandSavePercentage",2010
6,6,"Briny Baird",87,60,81,135,24,"SandSavePercentage",2010
7,7,"Trevor Immelman",55,59.77,52,87,26,"SandSavePercentage",2010
8,8,"Mike Weir",59,59.48,69,116,37,"SandSavePercentage",2010
9,9,"Brian Gay",101,59.26,96,162,54,"SandSavePercentage",2010
10,10,"Brandt Snedeker",89,59.18,87,147,44,"SandSavePercentage",2010
11,11,"KJ Choi",82,59.06,75,127,43,"SandSavePercentage",2010
12,12,"Rory Sabbatini",79,58.94,89,151,48,"SandSavePercentage",2010
13,13,"Justin Rose",78,58.78,87,148,29,"SandSavePercentage",2010
14,14,"Matt Jones",89,58.68,98,167,40,"SandSavePercentage",2010
15,15,"Charlie Wi",95,58.27,81,139,38,"SandSavePercentage",2010
16,16,"Ryuji Imada",90,57.94,73,126,41,"SandSavePercentage",2010
16,16,"Mark Wilson",87,57.94,62,107,25,"SandSavePercentage",2010
18,18,"Aron Price",70,57.61,53,92,26,"SandSavePercentage",2010
19,19,"Greg Chalmers",93,57.53,84,146,43,"SandSavePercentage",2010
20,20,"Geoff Ogilvy",62,57.28,59,103,38,"SandSavePercentage",2010
21,21,"Stephen Ames",75,57.26,67,117,33,"SandSavePercentage",2010
22,22,"Nathan Green",86,57.23,95,166,50,"SandSavePercentage",2010
23,23,"Chris Riley",73,56.86,58,102,28,"SandSavePercentage",2010
24,24,"Zach Johnson",93,56.29,85,151,43,"SandSavePercentage",2010
25,25,"Kenny Perry",69,56.25,54,96,17,"SandSavePercentage",2010
26,26,"Matt Kuchar",97,56.2,77,137,34,"SandSavePercentage",2010
27,27,"Kevin Sutherland",86,55.77,58,104,32,"SandSavePercentage",2010
28,28,"Robert Allenby",76,55.56,80,144,44,"SandSavePercentage",2010
29,29,"Mathias Gronberg",61,55.17,48,87,34,"SandSavePercentage",2010
30,30,"Webb Simpson",98,55.06,87,158,53,"SandSavePercentage",2010
31,31,"Jay Williamson",76,55,55,100,41,"SandSavePercentage",2010
32,32,"Ben Curtis",78,54.87,62,113,38,"SandSavePercentage",2010
33,33,"Steve Stricker",73,54.84,68,124,37,"SandSavePercentage",2010
