"GIRPercentage75100yards_RANKTHISWEEK_2006","GIRPercentage75100yards_RANKLASTWEEK_2006","GIRPercentage75100yards_PLAYERNAME_2006","GIRPercentage75100yards_ROUNDS_2006","GIRPercentage75100yards_Pct_2006","GIRPercentage75100yards_GREENSHIT_2006","GIRPercentage75100yards_TOTALHOLES_2006","GIRPercentage75100yards_RELATIVETOPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,96.97,32,33,-0.31,"GIRPercentage75100yards",2006
2,2,"David Howell",52,93.1,27,29,-0.26,"GIRPercentage75100yards",2006
3,3,"Luke Donald",66,90,45,50,-0.38,"GIRPercentage75100yards",2006
4,4,"Geoff Ogilvy",76,89.19,66,74,-0.3,"GIRPercentage75100yards",2006
5,5,"Paul Goydos",72,88.54,85,96,-0.4,"GIRPercentage75100yards",2006
6,6,"JP Hayes",55,87.84,65,74,-0.4,"GIRPercentage75100yards",2006
7,7,"Zach Johnson",98,87.76,86,98,-0.38,"GIRPercentage75100yards",2006
8,8,"Peter Lonard",77,87.67,64,73,-0.2,"GIRPercentage75100yards",2006
9,9,"Skip Kendall",72,87.21,75,86,-0.31,"GIRPercentage75100yards",2006
10,10,"Stephen Leaney",84,86.9,73,84,-0.38,"GIRPercentage75100yards",2006
11,11,"Stewart Cink",93,86.87,86,99,-0.43,"GIRPercentage75100yards",2006
12,12,"Rod Pampling",89,86.76,59,68,-0.39,"GIRPercentage75100yards",2006
13,13,"Chris DiMarco",83,86.42,70,81,-0.3,"GIRPercentage75100yards",2006
14,14,"Jerry Smith",94,85.96,98,114,-0.35,"GIRPercentage75100yards",2006
15,15,"Jim Furyk",89,85.88,73,85,-0.34,"GIRPercentage75100yards",2006
16,16,"Daniel Chopra",110,85.58,89,104,-0.29,"GIRPercentage75100yards",2006
17,17,"Adam Scott",70,85.19,46,54,-0.5,"GIRPercentage75100yards",2006
18,18,"Omar Uresti",61,85.14,63,74,-0.3,"GIRPercentage75100yards",2006
19,19,"Eric Axley",91,84.85,84,99,-0.43,"GIRPercentage75100yards",2006
20,20,"Retief Goosen",68,84.62,44,52,-0.16,"GIRPercentage75100yards",2006
21,21,"Vijay Singh",103,84.55,93,110,-0.24,"GIRPercentage75100yards",2006
22,22,"Arron Oberholser",82,84.15,69,82,-0.33,"GIRPercentage75100yards",2006
