"RightRoughTendency_RANKTHISWEEK_2016","RightRoughTendency_RANKLASTWEEK_2016","RightRoughTendency_PLAYERNAME_2016","RightRoughTendency_ROUNDS_2016","RightRoughTendency_Pct_2016","RightRoughTendency_TOTALRIGHTROUGH_2016","RightRoughTendency_POSSIBLEFWYS_2016","RightRoughTendency_RELATIVETOPAR_2016","stat_name","year"
1,1,"Matthew Fitzpatrick",23,5.95,10,168,-0.2,"RightRoughTendency",2016
2,2,"Billy Hurley III",22,6.38,15,235,0.07,"RightRoughTendency",2016
3,3,"Justin Leonard",28,8.55,26,304,0.27,"RightRoughTendency",2016
4,4,"Jordan Spieth",34,8.57,24,280,-0.13,"RightRoughTendency",2016
5,5,"DA Points",32,9.39,26,277,0.19,"RightRoughTendency",2016
6,6,"Andy Sullivan",25,9.5,21,221,0,"RightRoughTendency",2016
7,9,"Jon Curran",55,9.86,55,558,0.11,"RightRoughTendency",2016
8,8,"Zac Blair",56,10.1,59,584,0.19,"RightRoughTendency",2016
9,7,"Danny Lee",53,10.16,51,502,0.08,"RightRoughTendency",2016
10,11,"Colt Knost",56,10.41,61,586,0.05,"RightRoughTendency",2016
11,13,"Keegan Bradley",40,10.43,39,374,0.13,"RightRoughTendency",2016
12,14,"Henrik Stenson",30,10.48,26,248,-0.04,"RightRoughTendency",2016
13,21,"Chad Campbell",54,10.52,63,599,0.08,"RightRoughTendency",2016
14,17,"Zach Johnson",42,10.56,49,464,0.02,"RightRoughTendency",2016
15,19,"Davis Love III",40,10.61,49,462,0.06,"RightRoughTendency",2016
16,20,"Jerry Kelly",44,10.62,41,386,-0.05,"RightRoughTendency",2016
17,22,"Andrew Landry",24,10.71,18,168,-0.17,"RightRoughTendency",2016
17,22,"Brian Stuard",24,10.71,27,252,-0.04,"RightRoughTendency",2016
19,18,"Jason Bohn",37,10.84,44,406,-0.09,"RightRoughTendency",2016
20,15,"Chesson Hadley",51,11.09,58,523,0.16,"RightRoughTendency",2016
21,24,"Spencer Levin",62,11.34,76,670,0.21,"RightRoughTendency",2016
22,16,"Kevin Kisner",49,11.4,53,465,0.11,"RightRoughTendency",2016
23,26,"Ben Crane",48,11.67,60,514,-0.02,"RightRoughTendency",2016
24,34,"Justin Hicks",26,11.75,39,332,0.44,"RightRoughTendency",2016
25,27,"David Lingmerth",54,11.83,60,507,0.17,"RightRoughTendency",2016
25,12,"Webb Simpson",34,11.83,46,389,0.07,"RightRoughTendency",2016
27,32,"Chez Reavie",56,11.89,76,639,0.03,"RightRoughTendency",2016
28,28,"Matt Every",34,12.09,48,397,0.08,"RightRoughTendency",2016
29,36,"Sergio Garcia",28,12.22,22,180,0.27,"RightRoughTendency",2016
30,31,"Blayne Barber",44,12.31,65,528,0.12,"RightRoughTendency",2016
31,37,"Ken Duke",26,12.32,34,276,0.24,"RightRoughTendency",2016
32,38,"Brice Garnett",29,12.5,26,208,-0.04,"RightRoughTendency",2016
32,38,"Darron Stiles",28,12.5,28,224,0.25,"RightRoughTendency",2016
34,29,"Kevin Streelman",46,12.56,54,430,0.06,"RightRoughTendency",2016
35,40,"Brooks Koepka",39,12.63,49,388,-0.14,"RightRoughTendency",2016
36,35,"Rickie Fowler",42,12.69,57,449,-0.12,"RightRoughTendency",2016
37,10,"Vaughn Taylor",30,12.72,44,346,0.09,"RightRoughTendency",2016
38,48,"Russell Knox",48,12.84,52,405,0.06,"RightRoughTendency",2016
38,49,"Adam Scott",39,12.84,43,335,0.02,"RightRoughTendency",2016
40,47,"Emiliano Grillo",47,12.98,64,493,0.11,"RightRoughTendency",2016
41,25,"Jason Gore",51,13.08,65,497,0.02,"RightRoughTendency",2016
