"PercentageofYardagecoveredbyTeeShotsPar4s_RANKTHISWEEK_2008","PercentageofYardagecoveredbyTeeShotsPar4s_RANKLASTWEEK_2008","PercentageofYardagecoveredbyTeeShotsPar4s_PLAYERNAME_2008","PercentageofYardagecoveredbyTeeShotsPar4s_ROUNDS_2008","PercentageofYardagecoveredbyTeeShotsPar4s_AVGPct_2008","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALSHOTDISTANCE_2008","PercentageofYardagecoveredbyTeeShotsPar4s_TOTALDISTANCE_2008","stat_name","year"
1,NA,"JB Holmes",86,69.75,225562.6,323378,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
2,NA,"Dustin Johnson",92,69.15,256540.4,370989,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
3,NA,"Robert Garrigus",90,68.51,269168.4,392870,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
4,NA,"Nick Watney",96,68.34,261996.2,383379,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
5,NA,"Steve Allan",58,67.97,150237.5,221019,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
6,NA,"Bubba Watson",97,67.95,255216.2,375573,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
7,NA,"Vijay Singh",82,67.91,207038.7,304894,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
8,NA,"Harrison Frazar",73,67.87,192166.5,283147,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
9,NA,"Fred Couples",60,67.62,156116.6,230886,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
10,NA,"Tommy Gainey",60,67.59,144440.6,213688,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
11,NA,"Charley Hoffman",94,67.56,272496.4,403326,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
12,NA,"Daniel Chopra",84,67.54,212396.2,314497,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
13,NA,"Angel Cabrera",55,67.52,124756.3,184775,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
14,NA,"Tag Ridings",88,67.34,251289.1,373139,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
14,NA,"Charles Warren",79,67.34,226552.4,336454,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
16,NA,"Andres Romero",69,67.33,157417.9,233812,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
17,NA,"Anthony Kim",81,67.29,211241.3,313948,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
18,NA,"Richard Johnson",77,67.26,212051.3,315258,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
18,NA,"Adam Scott",51,67.26,111172.9,165284,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
20,NA,"John Huston",56,67.22,147389.5,219257,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
21,NA,"Jason Day",81,67.18,237347.3,353295,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
22,NA,"Jeff Overton",103,67.14,280362.2,417549,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
23,NA,"Jason Allred",63,67.1,155713.2,232071,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
24,NA,"Phil Mickelson",80,67.07,186527.3,278124,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
25,NA,"Travis Perkins",53,66.96,123404.3,184301,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
26,NA,"Kevin Stadler",90,66.87,222752.1,333125,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
27,NA,"Charles Howell III",101,66.86,263272.7,393742,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
28,NA,"Kevin Streelman",114,66.85,302929.1,453157,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
29,NA,"Mark Hensby",71,66.77,194242.3,290917,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
30,NA,"Bill Haas",99,66.73,278347.1,417143,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
31,NA,"Martin Laird",98,66.71,263760.6,395358,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
32,NA,"Davis Love III",78,66.68,201008,301430,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
32,NA,"Joe Ogilvie",100,66.68,266892.6,400265,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
32,NA,"Nicholas Thompson",113,66.68,296022.2,443929,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
35,NA,"Rory Sabbatini",77,66.6,198507.1,298043,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
36,NA,"Boo Weekley",86,66.55,200188.2,300800,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
37,NA,"Lucas Glover",91,66.45,260266.2,391675,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
37,NA,"Kenny Perry",97,66.45,288010.7,433410,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
39,NA,"Mathias Gronberg",87,66.44,240117.2,361381,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
39,NA,"Brenden Pappas",66,66.44,171840.2,258634,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
41,NA,"Stewart Cink",87,66.43,194084.4,292152,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
41,NA,"Sean OHair",81,66.43,215933.8,325072,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
43,NA,"Steve Marino",119,66.36,323606.4,487622,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
43,NA,"John Riegger",73,66.36,195309.1,294310,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
45,NA,"Ted Purdy",68,66.33,179617.3,270813,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
46,NA,"Troy Matteson",94,66.32,269398.6,406187,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
47,NA,"DJ Trahan",94,66.28,241165.2,363837,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
48,NA,"Ryan Palmer",69,66.22,184127.5,278064,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
49,NA,"Pat Perez",93,66.2,243198.9,367393,"PercentageofYardagecoveredbyTeeShotsPar4s",2008
