"DistancefromCenterofFairway_RANKTHISWEEK_2011","DistancefromCenterofFairway_RANKLASTWEEK_2011","DistancefromCenterofFairway_PLAYERNAME_2011","DistancefromCenterofFairway_EVENTS_2011","DistancefromCenterofFairway_AVG_2011","DistancefromCenterofFairway_TOTALDISTANCEFEET_2011","DistancefromCenterofFairway_TOTALSTROKES_2011","stat_name","year"
1,1,"Bo Van Pelt",27,NA,14041.917,619,"DistancefromCenterofFairway",2011
2,2,"Adam Scott",18,NA,9666.75,415,"DistancefromCenterofFairway",2011
3,3,"YE Yang",18,NA,8465.583,361,"DistancefromCenterofFairway",2011
4,4,"Phil Mickelson",21,NA,10071.667,428,"DistancefromCenterofFairway",2011
5,5,"Steve Marino",23,NA,12149.083,516,"DistancefromCenterofFairway",2011
6,6,"Lucas Glover",23,NA,12316.083,521,"DistancefromCenterofFairway",2011
6,6,"Nick Watney",22,NA,11678.333,494,"DistancefromCenterofFairway",2011
8,8,"Freddie Jacobson",25,NA,14153.417,596,"DistancefromCenterofFairway",2011
8,8,"Will Strickler",19,NA,8101.167,341,"DistancefromCenterofFairway",2011
10,10,"Charles Howell III",30,NA,17051.917,716,"DistancefromCenterofFairway",2011
11,11,"Kevin Chappell",26,NA,11563.917,484,"DistancefromCenterofFairway",2011
11,11,"Luke Donald",19,NA,11347.083,475,"DistancefromCenterofFairway",2011
11,11,"David Toms",23,NA,13643.417,570,"DistancefromCenterofFairway",2011
14,14,"Vijay Singh",25,NA,14089.333,588,"DistancefromCenterofFairway",2011
15,15,"Joe Durant",25,NA,15876.167,660,"DistancefromCenterofFairway",2011
15,15,"Joe Ogilvie",24,NA,11315.833,470,"DistancefromCenterofFairway",2011
17,17,"Jerry Kelly",26,NA,16551,686,"DistancefromCenterofFairway",2011
17,17,"Andres Romero",22,NA,12937.917,536,"DistancefromCenterofFairway",2011
17,17,"Camilo Villegas",25,NA,10986.25,455,"DistancefromCenterofFairway",2011
17,17,"Mark Wilson",26,NA,15641.917,647,"DistancefromCenterofFairway",2011
21,21,"Sergio Garcia",16,NA,8827.75,364,"DistancefromCenterofFairway",2011
22,22,"Alex Cejka",21,NA,10330.083,424,"DistancefromCenterofFairway",2011
23,23,"Billy Horschel",25,NA,13909.333,570,"DistancefromCenterofFairway",2011
23,23,"Jim Renner",22,NA,10387,426,"DistancefromCenterofFairway",2011
23,23,"Brandt Snedeker",26,NA,14333.5,588,"DistancefromCenterofFairway",2011
26,26,"Tom Gillis",19,NA,10676.833,436,"DistancefromCenterofFairway",2011
26,26,"Kevin Stadler",27,NA,15384.25,628,"DistancefromCenterofFairway",2011
28,28,"Brian Davis",30,NA,22176.75,903,"DistancefromCenterofFairway",2011
28,28,"Harrison Frazar",19,NA,7431.583,302,"DistancefromCenterofFairway",2011
28,28,"Kevin Kisner",24,NA,11761.417,479,"DistancefromCenterofFairway",2011
28,28,"Alex Prugh",29,NA,13550.75,552,"DistancefromCenterofFairway",2011
32,32,"Tim Herron",28,NA,14916.917,605,"DistancefromCenterofFairway",2011
32,32,"Kent Jones",25,NA,15141.333,614,"DistancefromCenterofFairway",2011
32,32,"Chez Reavie",27,NA,18597.833,755,"DistancefromCenterofFairway",2011
35,35,"Tommy Gainey",34,NA,18215.333,735,"DistancefromCenterofFairway",2011
35,35,"Justin Hicks",23,NA,10505.333,425,"DistancefromCenterofFairway",2011
35,35,"William McGirt",32,NA,19119.833,772,"DistancefromCenterofFairway",2011
35,35,"Rory Sabbatini",24,NA,11819.333,478,"DistancefromCenterofFairway",2011
39,39,"Sung Kang",21,NA,10830.5,436,"DistancefromCenterofFairway",2011
39,39,"Boo Weekley",23,NA,12996.167,523,"DistancefromCenterofFairway",2011
41,41,"David Mathis",25,NA,16228.75,651,"DistancefromCenterofFairway",2011
42,42,"Ben Curtis",23,NA,15502.75,621,"DistancefromCenterofFairway",2011
42,42,"Dustin Johnson",21,NA,10508.25,420,"DistancefromCenterofFairway",2011
42,42,"Ben Martin",25,NA,14204.833,569,"DistancefromCenterofFairway",2011
42,42,"Jeff Overton",26,NA,14816.5,592,"DistancefromCenterofFairway",2011
42,42,"Brendan Steele",27,NA,16835.917,674,"DistancefromCenterofFairway",2011
42,42,"Garrett Willis",24,NA,14830.417,593,"DistancefromCenterofFairway",2011
48,48,"Bill Haas",26,NA,15896.583,634,"DistancefromCenterofFairway",2011
