"YTDConsecutiveCuts_RANKTHISWEEK_2005","YTDConsecutiveCuts_RANKLASTWEEK_2005","YTDConsecutiveCuts_PLAYERNAME_2005","YTDConsecutiveCuts__2005","YTDConsecutiveCuts_NUMBEROFCUTS_2005","stat_name","year"
1,1,"Luke Donald",NA,15,"YTDConsecutiveCuts",2005
2,2,"Adam Scott",NA,14,"YTDConsecutiveCuts",2005
3,3,"Ben Crane",NA,11,"YTDConsecutiveCuts",2005
3,3,"Ernie Els",NA,11,"YTDConsecutiveCuts",2005
5,5,"Kenny Perry",NA,10,"YTDConsecutiveCuts",2005
5,5,"Ted Purdy",NA,10,"YTDConsecutiveCuts",2005
7,7,"Chad Campbell",NA,9,"YTDConsecutiveCuts",2005
7,7,"Marco Dawson",NA,9,"YTDConsecutiveCuts",2005
7,7,"Retief Goosen",NA,9,"YTDConsecutiveCuts",2005
10,10,"Bart Bryant",NA,8,"YTDConsecutiveCuts",2005
10,10,"Mark Hensby",NA,8,"YTDConsecutiveCuts",2005
10,10,"Tim Herron",NA,8,"YTDConsecutiveCuts",2005
10,10,"Steve Lowery",NA,8,"YTDConsecutiveCuts",2005
10,10,"Tom Pernice Jr",NA,8,"YTDConsecutiveCuts",2005
10,10,"Carl Pettersson",NA,8,"YTDConsecutiveCuts",2005
16,16,"Jonathan Byrd",NA,7,"YTDConsecutiveCuts",2005
16,16,"Peter Lonard",NA,7,"YTDConsecutiveCuts",2005
16,16,"Shigeki Maruyama",NA,7,"YTDConsecutiveCuts",2005
19,19,"Stuart Appleby",NA,6,"YTDConsecutiveCuts",2005
19,19,"Gavin Coles",NA,6,"YTDConsecutiveCuts",2005
19,19,"Harrison Frazar",NA,6,"YTDConsecutiveCuts",2005
19,19,"Charles Howell III",NA,6,"YTDConsecutiveCuts",2005
19,19,"Tom Lehman",NA,6,"YTDConsecutiveCuts",2005
19,19,"Justin Leonard",NA,6,"YTDConsecutiveCuts",2005
19,19,"Paul McGinley",NA,6,"YTDConsecutiveCuts",2005
19,19,"John Senden",NA,6,"YTDConsecutiveCuts",2005
19,19,"Heath Slocum",NA,6,"YTDConsecutiveCuts",2005
19,19,"Hidemichi Tanaka",NA,6,"YTDConsecutiveCuts",2005
29,29,"Michael Campbell",NA,5,"YTDConsecutiveCuts",2005
29,29,"Fred Funk",NA,5,"YTDConsecutiveCuts",2005
29,29,"Robert Gamez",NA,5,"YTDConsecutiveCuts",2005
