"BirdieorBetterPercentageRough_RANKTHISWEEK_2013","BirdieorBetterPercentageRough_RANKLASTWEEK_2013","BirdieorBetterPercentageRough_PLAYERNAME_2013","BirdieorBetterPercentageRough_ROUNDS_2013","BirdieorBetterPercentageRough_Pct_2013","BirdieorBetterPercentageRough_TOTALBIRDIES_2013","BirdieorBetterPercentageRough_TOTALHOLES_2013","stat_name","year"
1,1,"Steve Stricker",51,22.45,22,98,"BirdieorBetterPercentageRough",2013
2,2,"Dustin Johnson",71,22.08,53,240,"BirdieorBetterPercentageRough",2013
3,3,"Rory McIlroy",56,22.07,32,145,"BirdieorBetterPercentageRough",2013
4,4,"Freddie Jacobson",63,20.97,39,186,"BirdieorBetterPercentageRough",2013
5,5,"Sergio Garcia",65,20.35,35,172,"BirdieorBetterPercentageRough",2013
6,6,"Luke List",65,19.85,53,267,"BirdieorBetterPercentageRough",2013
7,7,"Ernie Els",63,19.5,31,159,"BirdieorBetterPercentageRough",2013
8,8,"Adam Scott",61,19.33,29,150,"BirdieorBetterPercentageRough",2013
9,9,"Kevin Stadler",83,19.01,46,242,"BirdieorBetterPercentageRough",2013
10,10,"Phil Mickelson",78,18.83,45,239,"BirdieorBetterPercentageRough",2013
11,11,"Andres Romero",63,18.59,37,199,"BirdieorBetterPercentageRough",2013
12,12,"Robert Garrigus",69,18.48,39,211,"BirdieorBetterPercentageRough",2013
13,13,"Rory Sabbatini",86,18.4,53,288,"BirdieorBetterPercentageRough",2013
14,14,"Scott Piercy",78,18.29,45,246,"BirdieorBetterPercentageRough",2013
15,15,"Sangmoon Bae",83,18.24,54,296,"BirdieorBetterPercentageRough",2013
16,16,"Webb Simpson",92,18.22,43,236,"BirdieorBetterPercentageRough",2013
17,17,"Jordan Spieth",82,18.14,37,204,"BirdieorBetterPercentageRough",2013
18,18,"Aaron Baddeley",68,17.86,45,252,"BirdieorBetterPercentageRough",2013
19,19,"Graham DeLaet",94,17.84,43,241,"BirdieorBetterPercentageRough",2013
20,20,"Tiger Woods",61,17.83,23,129,"BirdieorBetterPercentageRough",2013
21,21,"Camilo Villegas",79,17.7,43,243,"BirdieorBetterPercentageRough",2013
21,21,"Bubba Watson",76,17.7,40,226,"BirdieorBetterPercentageRough",2013
23,23,"David Lingmerth",68,17.65,36,204,"BirdieorBetterPercentageRough",2013
24,24,"Luke Guthrie",82,17.6,44,250,"BirdieorBetterPercentageRough",2013
25,25,"Patrick Reed",83,17.57,55,313,"BirdieorBetterPercentageRough",2013
26,26,"KJ Choi",85,17.51,31,177,"BirdieorBetterPercentageRough",2013
27,27,"Jimmy Walker",84,17.43,53,304,"BirdieorBetterPercentageRough",2013
28,28,"Russell Henley",80,17.37,37,213,"BirdieorBetterPercentageRough",2013
29,29,"Jason Kokrak",78,17.35,51,294,"BirdieorBetterPercentageRough",2013
29,29,"Pat Perez",69,17.35,38,219,"BirdieorBetterPercentageRough",2013
31,31,"Zach Johnson",84,17.17,34,198,"BirdieorBetterPercentageRough",2013
32,32,"James Hahn",78,17.13,43,251,"BirdieorBetterPercentageRough",2013
33,33,"Angel Cabrera",73,17.08,41,240,"BirdieorBetterPercentageRough",2013
34,34,"Matt Every",89,17.05,52,305,"BirdieorBetterPercentageRough",2013
34,34,"Josh Teater",86,17.05,37,217,"BirdieorBetterPercentageRough",2013
36,36,"Ryan Palmer",79,16.98,45,265,"BirdieorBetterPercentageRough",2013
37,37,"DA Points",87,16.89,37,219,"BirdieorBetterPercentageRough",2013
38,38,"Peter Hanson",45,16.88,26,154,"BirdieorBetterPercentageRough",2013
39,39,"Charles Howell III",87,16.72,54,323,"BirdieorBetterPercentageRough",2013
40,40,"Harris English",95,16.67,48,288,"BirdieorBetterPercentageRough",2013
40,40,"Charley Hoffman",84,16.67,40,240,"BirdieorBetterPercentageRough",2013
40,40,"Justin Rose",62,16.67,25,150,"BirdieorBetterPercentageRough",2013
43,43,"Marc Leishman",77,16.6,42,253,"BirdieorBetterPercentageRough",2013
44,44,"Matt Jones",83,16.45,38,231,"BirdieorBetterPercentageRough",2013
45,45,"Jason Bohn",70,16.43,34,207,"BirdieorBetterPercentageRough",2013
46,46,"Hunter Mahan",91,16.36,36,220,"BirdieorBetterPercentageRough",2013
47,47,"Kevin Streelman",86,16.28,35,215,"BirdieorBetterPercentageRough",2013
48,48,"Chris Stroud",88,16.27,41,252,"BirdieorBetterPercentageRough",2013
49,49,"Charl Schwartzel",69,16.13,30,186,"BirdieorBetterPercentageRough",2013
50,50,"Greg Chalmers",77,16.1,38,236,"BirdieorBetterPercentageRough",2013
51,51,"Chris Kirk",89,15.99,43,269,"BirdieorBetterPercentageRough",2013
51,51,"Cameron Tringale",80,15.99,43,269,"BirdieorBetterPercentageRough",2013
53,53,"Billy Horschel",96,15.97,42,263,"BirdieorBetterPercentageRough",2013
53,53,"Matt Kuchar",93,15.97,42,263,"BirdieorBetterPercentageRough",2013
55,55,"Shawn Stefani",63,15.94,33,207,"BirdieorBetterPercentageRough",2013
56,56,"Scott Gardiner",61,15.91,35,220,"BirdieorBetterPercentageRough",2013
57,57,"Henrik Norlander",70,15.88,37,233,"BirdieorBetterPercentageRough",2013
58,58,"Stephen Ames",49,15.85,26,164,"BirdieorBetterPercentageRough",2013
59,59,"Troy Matteson",68,15.81,34,215,"BirdieorBetterPercentageRough",2013
60,60,"Graeme McDowell",53,15.79,15,95,"BirdieorBetterPercentageRough",2013
61,61,"James Driscoll",76,15.73,39,248,"BirdieorBetterPercentageRough",2013
62,62,"Cameron Percy",68,15.67,34,217,"BirdieorBetterPercentageRough",2013
63,63,"Luke Donald",60,15.65,23,147,"BirdieorBetterPercentageRough",2013
64,64,"Jim Herman",59,15.61,27,173,"BirdieorBetterPercentageRough",2013
65,65,"Jason Day",86,15.58,36,231,"BirdieorBetterPercentageRough",2013
66,66,"Daniel Summerhays",83,15.44,44,285,"BirdieorBetterPercentageRough",2013
66,66,"Bo Van Pelt",72,15.44,23,149,"BirdieorBetterPercentageRough",2013
68,68,"Charlie Beljan",62,15.35,31,202,"BirdieorBetterPercentageRough",2013
69,69,"Chez Reavie",72,15.18,29,191,"BirdieorBetterPercentageRough",2013
70,70,"Nicholas Thompson",99,15.15,45,297,"BirdieorBetterPercentageRough",2013
71,71,"Jason Dufner",78,15.14,33,218,"BirdieorBetterPercentageRough",2013
72,72,"John Rollins",77,14.96,38,254,"BirdieorBetterPercentageRough",2013
73,73,"Richard Lee",81,14.95,32,214,"BirdieorBetterPercentageRough",2013
74,74,"John Merrick",79,14.88,36,242,"BirdieorBetterPercentageRough",2013
75,75,"Gary Woodland",94,14.87,47,316,"BirdieorBetterPercentageRough",2013
76,76,"Bud Cauley",67,14.85,30,202,"BirdieorBetterPercentageRough",2013
77,77,"Keegan Bradley",88,14.8,37,250,"BirdieorBetterPercentageRough",2013
78,78,"Henrik Stenson",65,14.75,18,122,"BirdieorBetterPercentageRough",2013
79,79,"Lee Westwood",70,14.74,23,156,"BirdieorBetterPercentageRough",2013
80,80,"Lucas Glover",65,14.67,27,184,"BirdieorBetterPercentageRough",2013
81,81,"John Senden",79,14.64,35,239,"BirdieorBetterPercentageRough",2013
82,82,"DJ Trahan",48,14.58,21,144,"BirdieorBetterPercentageRough",2013
83,83,"Brian Davis",91,14.41,34,236,"BirdieorBetterPercentageRough",2013
