"SandSavesfrom30yards_RANKTHISWEEK_2009","SandSavesfrom30yards_RANKLASTWEEK_2009","SandSavesfrom30yards_PLAYERNAME_2009","SandSavesfrom30yards_ROUNDS_2009","SandSavesfrom30yards_Pct_2009","SandSavesfrom30yards_OFSAVES_2009","SandSavesfrom30yards_OFBUNKERS_2009","stat_name","year"
1,1,"Angel Cabrera",55,100,4,4,"SandSavesfrom30yards",2009
2,2,"Tim Clark",81,71.43,5,7,"SandSavesfrom30yards",2009
2,2,"Cliff Kresge",78,71.43,5,7,"SandSavesfrom30yards",2009
4,4,"Todd Hamilton",83,66.67,4,6,"SandSavesfrom30yards",2009
4,4,"Adam Scott",53,66.67,4,6,"SandSavesfrom30yards",2009
6,6,"Jeff Quinney",78,64.29,9,14,"SandSavesfrom30yards",2009
7,7,"Retief Goosen",74,62.5,5,8,"SandSavesfrom30yards",2009
8,8,"Ben Curtis",63,60,6,10,"SandSavesfrom30yards",2009
8,8,"Matt Jones",56,60,3,5,"SandSavesfrom30yards",2009
8,8,"Chez Reavie",81,60,6,10,"SandSavesfrom30yards",2009
11,11,"Rod Pampling",72,58.33,7,12,"SandSavesfrom30yards",2009
12,12,"Corey Pavin",73,55.56,5,9,"SandSavesfrom30yards",2009
12,12,"Ian Poulter",59,55.56,5,9,"SandSavesfrom30yards",2009
12,12,"Charlie Wi",92,55.56,10,18,"SandSavesfrom30yards",2009
15,15,"Brad Adamonis",70,53.33,8,15,"SandSavesfrom30yards",2009
15,15,"Hunter Mahan",94,53.33,8,15,"SandSavesfrom30yards",2009
17,17,"Nathan Green",104,52.94,9,17,"SandSavesfrom30yards",2009
17,17,"JB Holmes",74,52.94,9,17,"SandSavesfrom30yards",2009
19,19,"Webb Simpson",94,52.63,10,19,"SandSavesfrom30yards",2009
20,20,"Brian Davis",103,52.38,11,21,"SandSavesfrom30yards",2009
21,21,"Robert Allenby",71,50,5,10,"SandSavesfrom30yards",2009
21,21,"David Duval",56,50,2,4,"SandSavesfrom30yards",2009
21,21,"Derek Fathauer",63,50,5,10,"SandSavesfrom30yards",2009
21,21,"Paul Goydos",79,50,6,12,"SandSavesfrom30yards",2009
21,21,"Tim Herron",87,50,11,22,"SandSavesfrom30yards",2009
21,21,"James Nitties",86,50,5,10,"SandSavesfrom30yards",2009
21,21,"Steve Stricker",81,50,5,10,"SandSavesfrom30yards",2009
21,21,"Brendon Todd",53,50,7,14,"SandSavesfrom30yards",2009
21,21,"Dean Wilson",81,50,6,12,"SandSavesfrom30yards",2009
30,30,"Harrison Frazar",93,47.06,8,17,"SandSavesfrom30yards",2009
30,30,"Scott Piercy",85,47.06,8,17,"SandSavesfrom30yards",2009
32,32,"Rich Beem",77,46.67,7,15,"SandSavesfrom30yards",2009
32,32,"Freddie Jacobson",83,46.67,7,15,"SandSavesfrom30yards",2009
34,34,"Nick OHern",90,46.15,6,13,"SandSavesfrom30yards",2009
34,34,"Mark Wilson",99,46.15,6,13,"SandSavesfrom30yards",2009
36,36,"Mark Brooks",55,45.45,5,11,"SandSavesfrom30yards",2009
36,36,"Charley Hoffman",97,45.45,5,11,"SandSavesfrom30yards",2009
36,36,"Brandt Snedeker",81,45.45,5,11,"SandSavesfrom30yards",2009
36,36,"Charles Warren",63,45.45,5,11,"SandSavesfrom30yards",2009
40,40,"Troy Matteson",95,44.44,4,9,"SandSavesfrom30yards",2009
40,40,"Bryce Molder",69,44.44,4,9,"SandSavesfrom30yards",2009
40,40,"Carl Pettersson",86,44.44,4,9,"SandSavesfrom30yards",2009
40,40,"Vaughn Taylor",88,44.44,4,9,"SandSavesfrom30yards",2009
40,40,"Mike Weir",85,44.44,8,18,"SandSavesfrom30yards",2009
45,45,"Stuart Appleby",79,42.86,6,14,"SandSavesfrom30yards",2009
45,45,"Jason Day",61,42.86,3,7,"SandSavesfrom30yards",2009
45,45,"Ken Duke",87,42.86,6,14,"SandSavesfrom30yards",2009
45,45,"Matt Kuchar",82,42.86,3,7,"SandSavesfrom30yards",2009
45,45,"Chris Stroud",88,42.86,6,14,"SandSavesfrom30yards",2009
50,50,"Lucas Glover",93,41.67,5,12,"SandSavesfrom30yards",2009
50,50,"Kevin Streelman",97,41.67,5,12,"SandSavesfrom30yards",2009
52,52,"Stewart Cink",79,40,2,5,"SandSavesfrom30yards",2009
52,52,"Mathew Goggin",76,40,6,15,"SandSavesfrom30yards",2009
52,52,"Dustin Johnson",85,40,6,15,"SandSavesfrom30yards",2009
52,52,"Jerry Kelly",90,40,8,20,"SandSavesfrom30yards",2009
52,52,"Sean OHair",80,40,4,10,"SandSavesfrom30yards",2009
52,52,"Brian Vranesh",51,40,2,5,"SandSavesfrom30yards",2009
58,58,"Ryuji Imada",85,38.89,7,18,"SandSavesfrom30yards",2009
58,58,"Michael Letzig",96,38.89,7,18,"SandSavesfrom30yards",2009
58,58,"Scott Verplank",88,38.89,7,18,"SandSavesfrom30yards",2009
61,61,"Cameron Beckman",87,38.46,5,13,"SandSavesfrom30yards",2009
61,61,"Bill Haas",91,38.46,5,13,"SandSavesfrom30yards",2009
61,61,"Marc Leishman",91,38.46,5,13,"SandSavesfrom30yards",2009
64,64,"Bob Heintz",59,37.5,3,8,"SandSavesfrom30yards",2009
64,64,"JJ Henry",97,37.5,6,16,"SandSavesfrom30yards",2009
64,64,"Charles Howell III",99,37.5,6,16,"SandSavesfrom30yards",2009
