"ofPotentialPtswonFedExCupPlayoffs_RANKTHISWEEK_2012","ofPotentialPtswonFedExCupPlayoffs_RANKLASTWEEK_2012","ofPotentialPtswonFedExCupPlayoffs_PLAYERNAME_2012","ofPotentialPtswonFedExCupPlayoffs_EVENTS_2012","ofPotentialPtswonFedExCupPlayoffs_Pct_2012","ofPotentialPtswonFedExCupPlayoffs_PLAYOFFPOINTSWON_2012","ofPotentialPtswonFedExCupPlayoffs_POTENTIALPTS_2012","ofPotentialPtswonFedExCupPlayoffs_OFWINS_2012","ofPotentialPtswonFedExCupPlayoffs_OFTOP10S_2012","stat_name","year"
1,1,"Rory McIlroy",16,55.35,5535,10000,2,3,"ofPotentialPtswonFedExCupPlayoffs",2012
2,2,"Brandt Snedeker",22,46.63,4663,10000,1,3,"ofPotentialPtswonFedExCupPlayoffs",2012
3,3,"Nick Watney",26,30.75,3075,10000,1,1,"ofPotentialPtswonFedExCupPlayoffs",2012
4,4,"Louis Oosthuizen",19,24.74,2474,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
5,5,"Dustin Johnson",19,23.27,2327,10000,NA,4,"ofPotentialPtswonFedExCupPlayoffs",2012
6,6,"Phil Mickelson",22,23.2,2320,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
7,7,"Lee Westwood",15,22.18,2218,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
8,8,"Tiger Woods",19,22.1,2210,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2012
9,9,"Justin Rose",19,18.65,1865,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
10,10,"Sergio Garcia",16,18.4,1380,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
11,11,"Ryan Moore",24,18.08,1808,10000,NA,3,"ofPotentialPtswonFedExCupPlayoffs",2012
12,12,"Luke Donald",17,15.85,1585,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
13,13,"Adam Scott",16,12.18,1218,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
14,14,"Jim Furyk",24,11.32,1132,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
15,15,"Bubba Watson",19,11.25,1125,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
16,16,"Robert Garrigus",26,11.17,1117,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
17,17,"Bo Van Pelt",24,11.02,1102,10000,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
18,18,"Greg Chalmers",25,10.83,813,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
19,19,"Kevin Stadler",25,10.44,783,7500,NA,2,"ofPotentialPtswonFedExCupPlayoffs",2012
20,20,"Tom Gillis",23,10.2,765,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
21,21,"Vijay Singh",27,9.83,738,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
22,22,"Jason Dufner",22,9.57,718,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
23,23,"Webb Simpson",22,8.83,883,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
24,24,"John Senden",22,8.7,870,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
25,25,"Graham DeLaet",23,8.58,644,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
26,26,"Brian Harman",30,8.38,628,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
27,27,"Zach Johnson",25,8.3,830,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
28,28,"Steve Stricker",19,8.17,817,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
29,29,"Bob Estes",23,8,600,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
30,30,"JB Holmes",25,7.8,585,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
31,31,"Ian Poulter",15,7.77,583,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
32,32,"Chris Kirk",27,7.7,578,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
33,33,"Padraig Harrington",18,7.57,568,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
34,34,"Seung Yul Noh",28,7.36,552,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
35,35,"Matt Kuchar",22,7.3,730,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
36,36,"John Huh",28,7.28,728,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
37,37,"Geoff Ogilvy",20,7.2,540,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
38,38,"David Hearn",28,7.14,535,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
39,39,"Jeff Overton",29,7.1,533,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
40,40,"Troy Matteson",32,7.03,528,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
40,40,"Bryce Molder",25,7.03,528,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
42,42,"Jonas Blixt",21,7,350,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
43,43,"William McGirt",30,6.97,523,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
43,43,"Charl Schwartzel",16,6.97,523,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
45,45,"Ernie Els",22,6.95,695,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
46,46,"Pat Perez",23,6.27,470,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
47,47,"Josh Teater",30,5.95,298,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
48,48,"Roberto Castro",27,5.9,295,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
48,48,"Jason Day",17,5.9,295,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
48,48,"Rickie Fowler",23,5.9,590,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
51,51,"Bud Cauley",28,5.87,440,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
52,52,"Hunter Mahan",23,5.73,573,10000,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
53,53,"Keegan Bradley",25,5.72,572,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
54,54,"Carl Pettersson",26,5.38,538,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
55,55,"John Merrick",26,4.85,243,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
56,56,"Tim Clark",20,4.77,358,7500,NA,1,"ofPotentialPtswonFedExCupPlayoffs",2012
57,57,"Scott Piercy",28,4.68,468,10000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
58,58,"Scott Stallings",27,4.55,228,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
59,59,"Ryan Palmer",24,4.33,325,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
60,60,"Gary Christian",28,4.3,108,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
60,60,"Billy Mayfair",28,4.3,108,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
60,60,"Rod Pampling",26,4.3,108,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
63,63,"Harris English",27,4.27,213,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
64,64,"Kyle Stanley",27,4.2,315,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
65,65,"DA Points",29,4.17,313,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
66,66,"Ricky Barnes",28,4.15,208,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
67,67,"Dicky Pride",19,3.97,298,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
68,68,"Bill Haas",23,3.87,290,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
69,69,"Charley Hoffman",27,3.83,288,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
70,70,"Jimmy Walker",28,3.6,270,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
71,71,"Matt Every",25,3.57,268,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
72,72,"Tommy Gainey",32,3.35,168,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
73,73,"Brendon de Jonge",31,3.33,250,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
74,74,"Ben Curtis",19,3.1,233,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
75,75,"Kevin Na",25,3.05,228,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
76,76,"Greg Owen",27,2.95,148,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
77,77,"Johnson Wagner",27,2.73,205,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
78,78,"Aaron Baddeley",22,2.7,135,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
78,78,"Brian Gay",28,2.7,68,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
78,78,"Troy Kelly",23,2.7,68,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
78,78,"Henrik Stenson",15,2.7,68,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
82,82,"George McNeill",25,2.5,125,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
83,83,"Graeme McDowell",16,2.46,185,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
84,84,"Marc Leishman",23,2.17,163,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
85,85,"Sean OHair",24,2,100,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
86,86,"Ben Crane",23,1.9,143,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
86,86,"Charlie Wi",25,1.9,143,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
88,88,"Blake Adams",32,1.5,75,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
88,88,"Kevin Streelman",26,1.5,38,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
90,90,"Charles Howell III",29,1.35,68,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
90,90,"John Rollins",26,1.35,68,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
92,92,"JJ Henry",28,0.95,48,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
93,93,"Mark Wilson",25,0.83,63,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
94,94,"Michael Thompson",25,0.75,38,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
95,95,"Martin Laird",22,0.63,47,7500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
96,96,"Trevor Immelman",24,0.5,13,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
96,96,"Freddie Jacobson",17,0.5,13,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
98,98,"Jeff Maggert",27,0.19,5,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
99,99,"James Driscoll",27,0.18,5,2500,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
100,100,"Martin Flores",30,0.12,6,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
100,100,"Ted Potter Jr",25,0.12,6,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
100,100,"Daniel Summerhays",26,0.12,6,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
103,103,"Jonathan Byrd",21,0.09,4,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
103,103,"KJ Choi",21,0.09,5,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
105,105,"Sangmoon Bae",25,0.08,4,5000,NA,NA,"ofPotentialPtswonFedExCupPlayoffs",2012
