"DistancetoApex_RANKTHISWEEK_2010","DistancetoApex_RANKLASTWEEK_2010","DistancetoApex_PLAYERNAME_2010","DistancetoApex_ROUNDS_2010","DistancetoApex_AVG_2010","DistancetoApex_TOTALAPEXRANGE_2010","DistancetoApex_TOTALATTEMPTS_2010","DistancetoApex_LONGESTDISTTOAPEX_2010","DistancetoApex_SHORTESTDISTTOAPEX_2010","stat_name","year"
1,1,"Dustin Johnson",83,201.9,11911.2,59,220.8,178.4,"DistancetoApex",2010
2,2,"JB Holmes",100,201.8,13520,67,217.7,172.8,"DistancetoApex",2010
3,3,"Graham DeLaet",88,198.6,9333.2,47,211.3,182.7,"DistancetoApex",2010
4,4,"Chris Couch",66,198.2,8124.3,41,214,178.6,"DistancetoApex",2010
5,5,"Aaron Baddeley",94,197.2,15183.8,77,211.1,173.3,"DistancetoApex",2010
6,6,"Bubba Watson",77,196.8,11809.1,60,219.3,165.6,"DistancetoApex",2010
7,7,"Charley Hoffman",85,195.3,14060.7,72,209.7,171.3,"DistancetoApex",2010
8,8,"James Driscoll",78,194.4,11860.6,61,211.4,157,"DistancetoApex",2010
9,9,"Adam Scott",70,194.3,11269.9,58,205.8,172.7,"DistancetoApex",2010
10,10,"John Daly",63,193.7,5424.6,28,204.7,168.9,"DistancetoApex",2010
11,11,"Robert Garrigus",71,193.4,7734.9,40,208.8,176,"DistancetoApex",2010
11,11,"Jimmy Walker",82,193.4,10637.7,55,211.9,154.8,"DistancetoApex",2010
13,13,"Paul Casey",64,193.3,6571.8,34,207,176.1,"DistancetoApex",2010
13,13,"Phil Mickelson",76,193.3,8507,44,208.9,149.6,"DistancetoApex",2010
15,15,"Angel Cabrera",64,192.6,10208.8,53,207.3,138.5,"DistancetoApex",2010
16,16,"Sergio Garcia",58,192.4,6541.3,34,205.9,177.3,"DistancetoApex",2010
17,17,"Davis Love III",79,192.1,11333.8,59,207.6,164.1,"DistancetoApex",2010
18,18,"Marc Leishman",87,191.9,13046.5,68,203.8,166.8,"DistancetoApex",2010
19,19,"Brett Wetterich",54,191.7,7093,37,205.9,171.4,"DistancetoApex",2010
20,20,"Bill Haas",87,191.6,13983.8,73,209.2,170.7,"DistancetoApex",2010
20,20,"Charles Warren",64,191.6,7663.9,40,202.7,172.2,"DistancetoApex",2010
