"ConsecutiveHolesBelowPar_RANKTHISWEEK_2015","ConsecutiveHolesBelowPar_RANKLASTWEEK_2015","ConsecutiveHolesBelowPar_PLAYERNAME_2015","ConsecutiveHolesBelowPar_EVENTS_2015","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2015","stat_name","year"
1,1,"Ryan Palmer",22,8,"ConsecutiveHolesBelowPar",2015
2,2,"Tony Finau",31,7,"ConsecutiveHolesBelowPar",2015
2,2,"Bill Haas",25,7,"ConsecutiveHolesBelowPar",2015
2,2,"James Hahn",28,7,"ConsecutiveHolesBelowPar",2015
2,2,"Danny Lee",36,7,"ConsecutiveHolesBelowPar",2015
2,2,"Phil Mickelson",19,7,"ConsecutiveHolesBelowPar",2015
2,2,"Scott Stallings",19,7,"ConsecutiveHolesBelowPar",2015
8,8,"Blake Adams",13,6,"ConsecutiveHolesBelowPar",2015
8,8,"Jason Bohn",27,6,"ConsecutiveHolesBelowPar",2015
8,8,"Scott Brown",30,6,"ConsecutiveHolesBelowPar",2015
8,8,"Alex Cejka",30,6,"ConsecutiveHolesBelowPar",2015
8,8,"Erik Compton",28,6,"ConsecutiveHolesBelowPar",2015
8,8,"Ryo Ishikawa",28,6,"ConsecutiveHolesBelowPar",2015
8,8,"Zach Johnson",25,6,"ConsecutiveHolesBelowPar",2015
8,8,"John Merrick",27,6,"ConsecutiveHolesBelowPar",2015
8,8,"Bryce Molder",26,6,"ConsecutiveHolesBelowPar",2015
8,8,"Michael Putnam",28,6,"ConsecutiveHolesBelowPar",2015
8,8,"Wes Roach",1,6,"ConsecutiveHolesBelowPar",2015
8,8,"Kevin Streelman",27,6,"ConsecutiveHolesBelowPar",2015
20,20,"Sangmoon Bae",30,5,"ConsecutiveHolesBelowPar",2015
20,20,"Blayne Barber",26,5,"ConsecutiveHolesBelowPar",2015
20,20,"Daniel Berger",31,5,"ConsecutiveHolesBelowPar",2015
20,20,"Paul Casey",24,5,"ConsecutiveHolesBelowPar",2015
20,20,"KJ Choi",19,5,"ConsecutiveHolesBelowPar",2015
20,20,"Ben Crane",22,5,"ConsecutiveHolesBelowPar",2015
20,20,"Jason Day",20,5,"ConsecutiveHolesBelowPar",2015
20,20,"Graham DeLaet",22,5,"ConsecutiveHolesBelowPar",2015
20,20,"Ken Duke",30,5,"ConsecutiveHolesBelowPar",2015
20,20,"Derek Ernst",26,5,"ConsecutiveHolesBelowPar",2015
20,20,"Matt Every",26,5,"ConsecutiveHolesBelowPar",2015
20,20,"Jim Furyk",19,5,"ConsecutiveHolesBelowPar",2015
20,20,"Brandon Hagy",8,5,"ConsecutiveHolesBelowPar",2015
20,20,"Brian Harman",29,5,"ConsecutiveHolesBelowPar",2015
20,20,"Russell Henley",24,5,"ConsecutiveHolesBelowPar",2015
20,20,"Charley Hoffman",28,5,"ConsecutiveHolesBelowPar",2015
20,20,"JB Holmes",25,5,"ConsecutiveHolesBelowPar",2015
20,20,"Max Homa",27,5,"ConsecutiveHolesBelowPar",2015
20,20,"Charles Howell III",30,5,"ConsecutiveHolesBelowPar",2015
20,20,"Mark Hubbard",25,5,"ConsecutiveHolesBelowPar",2015
20,20,"Matt Jones",25,5,"ConsecutiveHolesBelowPar",2015
