"PuttingAverage_RANKTHISWEEK_2013","PuttingAverage_RANKLASTWEEK_2013","PuttingAverage_PLAYERNAME_2013","PuttingAverage_ROUNDS_2013","PuttingAverage_AVG_2013","PuttingAverage_GIRPUTTS_2013","PuttingAverage_GREENSHIT_2013","PuttingAverage_BIRDIECONVERSION_2013","PuttingAverage_GIRRANK_2013","stat_name","year"
1,1,"Phil Mickelson",78,1.718,1608,936,34.97,43,"PuttingAverage",2013
2,2,"David Hearn",88,1.724,1767,1025,31.05,101,"PuttingAverage",2013
3,3,"Aaron Baddeley",68,1.727,1190,689,32.99,178,"PuttingAverage",2013
4,4,"Greg Chalmers",77,1.731,1402,810,31.3,167,"PuttingAverage",2013
4,4,"Bryce Molder",82,1.731,1587,917,31.26,128,"PuttingAverage",2013
4,4,"Steve Stricker",51,1.731,1042,602,31.77,2,"PuttingAverage",2013
7,7,"Chris Kirk",89,1.733,1830,1056,32.35,69,"PuttingAverage",2013
7,7,"Charlie Wi",75,1.733,1341,774,32.43,176,"PuttingAverage",2013
9,9,"Brandt Snedeker",79,1.734,1620,934,32.8,79,"PuttingAverage",2013
9,9,"Jordan Spieth",82,1.734,1713,988,32.01,37,"PuttingAverage",2013
11,11,"Justin Leonard",86,1.735,1695,977,30.15,140,"PuttingAverage",2013
12,12,"Ryan Palmer",79,1.737,1636,942,32.55,56,"PuttingAverage",2013
12,12,"Tiger Woods",61,1.737,1268,730,33.33,24,"PuttingAverage",2013
14,14,"Jason Bohn",70,1.738,1411,812,30.91,109,"PuttingAverage",2013
15,15,"Brian Davis",91,1.739,1770,1018,31.26,157,"PuttingAverage",2013
16,16,"Charley Hoffman",84,1.741,1724,990,32.59,85,"PuttingAverage",2013
17,17,"Sangmoon Bae",83,1.742,1658,952,32.84,127,"PuttingAverage",2013
17,17,"Brian Gay",79,1.742,1404,806,30.06,180,"PuttingAverage",2013
19,19,"Rory McIlroy",56,1.744,1130,648,33.13,86,"PuttingAverage",2013
20,20,"Billy Horschel",96,1.745,2035,1166,31.85,27,"PuttingAverage",2013
21,21,"James Driscoll",76,1.746,1444,827,30.75,124,"PuttingAverage",2013
21,21,"Morgan Hoffmann",64,1.746,1301,745,32.12,103,"PuttingAverage",2013
21,21,"Charl Schwartzel",69,1.746,1407,806,33.17,72,"PuttingAverage",2013
21,21,"Mike Weir",60,1.746,1037,594,30.98,179,"PuttingAverage",2013
25,25,"Luke Donald",60,1.747,1134,649,30.76,156,"PuttingAverage",2013
26,26,"Harris English",95,1.749,1975,1129,31.94,63,"PuttingAverage",2013
26,26,"James Hahn",78,1.749,1508,862,30.34,101,"PuttingAverage",2013
28,28,"Sergio Garcia",65,1.75,1339,765,29.62,29,"PuttingAverage",2013
28,28,"Matt Kuchar",93,1.75,1804,1031,30.65,73,"PuttingAverage",2013
30,30,"Doug LaBelle II",72,1.751,1420,811,29.33,111,"PuttingAverage",2013
31,31,"Rickie Fowler",75,1.752,1484,847,30.5,134,"PuttingAverage",2013
32,32,"Matt Every",89,1.754,1842,1050,32.06,83,"PuttingAverage",2013
33,33,"Jeff Overton",78,1.755,1599,911,30.19,98,"PuttingAverage",2013
34,34,"Charles Howell III",87,1.756,1793,1021,30.32,42,"PuttingAverage",2013
35,35,"Daniel Summerhays",83,1.757,1692,963,30.9,108,"PuttingAverage",2013
36,36,"Robert Garrigus",69,1.758,1361,774,31,58,"PuttingAverage",2013
36,36,"Jimmy Walker",84,1.758,1756,999,31.39,61,"PuttingAverage",2013
38,38,"Jason Day",86,1.759,1645,935,30.65,96,"PuttingAverage",2013
38,38,"Webb Simpson",92,1.759,1858,1056,30.58,43,"PuttingAverage",2013
40,40,"Freddie Jacobson",63,1.76,1172,666,29.58,165,"PuttingAverage",2013
40,40,"Patrick Reed",83,1.76,1677,953,31.05,125,"PuttingAverage",2013
40,40,"Andres Romero",63,1.76,1146,651,32.26,168,"PuttingAverage",2013
43,43,"Chris Stroud",88,1.761,1794,1019,29.5,113,"PuttingAverage",2013
44,44,"Russell Henley",80,1.762,1589,902,31.11,116,"PuttingAverage",2013
44,44,"Kevin Stadler",83,1.762,1727,980,30.49,8,"PuttingAverage",2013
46,46,"Gary Woodland",94,1.763,1913,1085,30.74,36,"PuttingAverage",2013
47,47,"Stephen Ames",49,1.764,951,539,29.74,170,"PuttingAverage",2013
47,47,"Camilo Villegas",79,1.764,1589,901,30.21,40,"PuttingAverage",2013
49,49,"Peter Hanson",45,1.766,837,474,30.23,169,"PuttingAverage",2013
49,49,"DH Lee",65,1.766,1363,772,28.74,67,"PuttingAverage",2013
49,49,"Carl Pettersson",82,1.766,1582,896,28.67,154,"PuttingAverage",2013
52,52,"Jim Furyk",80,1.767,1695,959,27.69,14,"PuttingAverage",2013
52,52,"Brian Harman",89,1.767,1693,958,28.14,146,"PuttingAverage",2013
54,54,"Bob Estes",66,1.768,1363,771,27.5,97,"PuttingAverage",2013
54,54,"Fabian Gomez",65,1.768,1326,750,29.81,118,"PuttingAverage",2013
54,54,"Rory Sabbatini",86,1.768,1768,1000,32.5,23,"PuttingAverage",2013
54,54,"Vaughn Taylor",50,1.768,930,526,32.13,135,"PuttingAverage",2013
58,58,"Ernie Els",63,1.769,1219,689,28.4,163,"PuttingAverage",2013
58,58,"Aaron Watkins",46,1.769,872,493,29.21,152,"PuttingAverage",2013
60,60,"Keegan Bradley",88,1.771,1845,1042,30.7,49,"PuttingAverage",2013
60,60,"Matt Jones",83,1.771,1746,986,30.08,64,"PuttingAverage",2013
62,62,"Scott Piercy",78,1.772,1490,841,31.03,150,"PuttingAverage",2013
62,62,"David Toms",49,1.772,893,504,28.14,130,"PuttingAverage",2013
64,64,"Brendon de Jonge",110,1.773,2416,1363,28.33,10,"PuttingAverage",2013
64,64,"Ken Duke",87,1.773,1752,988,27.72,141,"PuttingAverage",2013
64,64,"Jerry Kelly",75,1.773,1566,883,27.27,87,"PuttingAverage",2013
64,64,"Jason Kokrak",78,1.773,1635,922,30.02,80,"PuttingAverage",2013
64,64,"David Lingmerth",68,1.773,1372,774,30.92,138,"PuttingAverage",2013
64,64,"Pat Perez",69,1.773,1495,843,29.37,18,"PuttingAverage",2013
64,64,"John Rollins",77,1.773,1571,886,28.54,30,"PuttingAverage",2013
71,71,"Roberto Castro",97,1.774,2085,1175,29.28,33,"PuttingAverage",2013
72,72,"DA Points",87,1.775,1745,983,29.77,143,"PuttingAverage",2013
72,72,"Adam Scott",61,1.775,1319,743,29.21,11,"PuttingAverage",2013
72,72,"Scott Stallings",79,1.775,1631,919,29.88,104,"PuttingAverage",2013
75,75,"William McGirt",75,1.776,1566,882,28.15,88,"PuttingAverage",2013
75,75,"John Merrick",79,1.776,1680,946,27.28,50,"PuttingAverage",2013
77,77,"Bill Haas",85,1.777,1821,1025,27.65,21,"PuttingAverage",2013
77,77,"Colt Knost",69,1.777,1283,722,26.15,164,"PuttingAverage",2013
79,79,"Martin Flores",83,1.778,1741,979,29.35,84,"PuttingAverage",2013
79,79,"Dustin Johnson",71,1.778,1495,841,31.35,39,"PuttingAverage",2013
79,79,"David Lynn",70,1.778,1380,776,26.93,147,"PuttingAverage",2013
82,82,"Jonas Blixt",76,1.779,1482,833,27.4,173,"PuttingAverage",2013
82,82,"Chez Reavie",72,1.779,1539,865,27.2,40,"PuttingAverage",2013
82,82,"Tag Ridings",69,1.779,1370,770,27.83,74,"PuttingAverage",2013
82,82,"Josh Teater",86,1.779,1747,982,29.23,50,"PuttingAverage",2013
86,86,"Brad Fritsch",81,1.78,1643,923,30,46,"PuttingAverage",2013
86,86,"Tommy Gainey",84,1.78,1643,923,29.32,172,"PuttingAverage",2013
88,88,"Steven Bowditch",67,1.781,1291,725,31.86,161,"PuttingAverage",2013
88,88,"Jason Dufner",78,1.781,1667,936,28.62,26,"PuttingAverage",2013
88,88,"Justin Rose",62,1.781,1325,744,30.28,9,"PuttingAverage",2013
91,91,"Ted Potter Jr",65,1.782,1262,708,28.05,107,"PuttingAverage",2013
91,91,"Cameron Tringale",80,1.782,1720,965,27.73,35,"PuttingAverage",2013
93,93,"Justin Bolli",59,1.783,1079,605,27.98,170,"PuttingAverage",2013
93,93,"Luke Guthrie",82,1.783,1674,939,29.88,132,"PuttingAverage",2013
93,93,"Tim Herron",45,1.783,863,484,27.33,177,"PuttingAverage",2013
93,93,"Zach Johnson",84,1.783,1815,1018,27.76,15,"PuttingAverage",2013
93,93,"Richard Lee",81,1.783,1644,922,27.14,52,"PuttingAverage",2013
98,98,"Henrik Stenson",65,1.784,1479,829,29.35,1,"PuttingAverage",2013
99,99,"Hunter Mahan",91,1.785,1846,1034,29.07,25,"PuttingAverage",2013
99,99,"Ian Poulter",59,1.785,1082,606,26.57,136,"PuttingAverage",2013
99,99,"Bo Van Pelt",72,1.785,1476,827,28.24,81,"PuttingAverage",2013
102,102,"Bud Cauley",67,1.786,1291,723,28.19,126,"PuttingAverage",2013
103,103,"Scott Brown",65,1.787,1340,750,27.41,118,"PuttingAverage",2013
103,103,"Shawn Stefani",63,1.787,1290,722,28.33,129,"PuttingAverage",2013
105,105,"Stuart Appleby",88,1.788,1763,986,26.9,92,"PuttingAverage",2013
105,105,"Erik Compton",74,1.788,1550,867,28.09,93,"PuttingAverage",2013
105,105,"Ryan Moore",72,1.788,1470,822,29.23,114,"PuttingAverage",2013
105,105,"Dicky Pride",71,1.788,1389,777,26.58,110,"PuttingAverage",2013
109,109,"Tim Clark",64,1.789,1218,681,27.39,159,"PuttingAverage",2013
109,109,"Ben Crane",62,1.789,1195,668,27.03,121,"PuttingAverage",2013
109,109,"Marc Leishman",77,1.789,1614,902,27.25,94,"PuttingAverage",2013
109,109,"Cameron Percy",68,1.789,1397,781,27.44,76,"PuttingAverage",2013
109,109,"Kevin Streelman",86,1.789,1839,1028,28.36,54,"PuttingAverage",2013
114,114,"Robert Streb",75,1.79,1500,838,27.6,82,"PuttingAverage",2013
114,114,"YE Yang",56,1.79,1131,632,26.9,144,"PuttingAverage",2013
116,116,"KJ Choi",85,1.791,1784,996,26.53,71,"PuttingAverage",2013
116,116,"Scott Langley",79,1.791,1547,864,26.19,120,"PuttingAverage",2013
116,116,"Jeff Maggert",63,1.791,1352,755,27.32,47,"PuttingAverage",2013
116,116,"Darron Stiles",51,1.791,983,549,26.19,153,"PuttingAverage",2013
116,116,"Brian Stuard",78,1.791,1569,876,26.89,75,"PuttingAverage",2013
116,116,"Andrew Svoboda",46,1.791,935,522,26.15,70,"PuttingAverage",2013
122,122,"Seung Yul Noh",71,1.792,1389,775,28.77,115,"PuttingAverage",2013
123,123,"Justin Hicks",79,1.793,1660,926,27.57,12,"PuttingAverage",2013
123,123,"Henrik Norlander",70,1.793,1479,825,27.95,31,"PuttingAverage",2013
125,125,"Bubba Watson",76,1.795,1637,912,30.41,5,"PuttingAverage",2013
126,126,"Scott Gardiner",61,1.796,1223,681,27.35,117,"PuttingAverage",2013
127,127,"Rod Pampling",46,1.797,877,488,27.25,106,"PuttingAverage",2013
127,127,"Jin Park",52,1.797,1026,571,27.07,137,"PuttingAverage",2013
129,129,"Kevin Chappell",80,1.798,1712,952,28.84,60,"PuttingAverage",2013
129,129,"Brendan Steele",86,1.798,1751,974,28.29,66,"PuttingAverage",2013
129,129,"Nicholas Thompson",99,1.798,2174,1209,28.69,20,"PuttingAverage",2013
129,129,"Casey Wittenberg",72,1.798,1408,783,24.65,158,"PuttingAverage",2013
133,133,"Graham DeLaet",94,1.799,2146,1193,29.34,3,"PuttingAverage",2013
133,133,"DJ Trahan",48,1.799,1011,562,27.76,18,"PuttingAverage",2013
135,135,"Luke List",65,1.8,1233,685,29.52,149,"PuttingAverage",2013
135,135,"George McNeill",68,1.8,1438,799,27.6,89,"PuttingAverage",2013
137,137,"Brandt Jobe",62,1.801,1241,689,26.35,64,"PuttingAverage",2013
137,137,"Martin Laird",68,1.801,1403,779,27.16,130,"PuttingAverage",2013
137,137,"David Mathis",71,1.801,1381,767,27.15,133,"PuttingAverage",2013
137,137,"Troy Matteson",68,1.801,1387,770,24.41,100,"PuttingAverage",2013
137,137,"Graeme McDowell",53,1.801,996,553,26.27,144,"PuttingAverage",2013
137,137,"Alistair Presnell",59,1.801,1151,639,27.74,151,"PuttingAverage",2013
137,137,"Michael Thompson",66,1.801,1322,734,25.21,162,"PuttingAverage",2013
144,144,"Ben Kohles",75,1.802,1503,834,25.75,90,"PuttingAverage",2013
145,145,"Chad Campbell",78,1.803,1653,917,26.32,34,"PuttingAverage",2013
145,145,"Tom Gillis",69,1.803,1280,710,26.69,175,"PuttingAverage",2013
145,145,"Padraig Harrington",52,1.803,968,537,26.44,174,"PuttingAverage",2013
145,145,"Lee Williams",62,1.803,1201,666,25.49,165,"PuttingAverage",2013
149,149,"Robert Allenby",58,1.804,1135,629,26.04,148,"PuttingAverage",2013
150,150,"Boo Weekley",100,1.805,2254,1249,27.87,6,"PuttingAverage",2013
151,151,"Nick Watney",88,1.808,1917,1060,28.5,13,"PuttingAverage",2013
152,152,"Stewart Cink",71,1.809,1567,866,28.32,22,"PuttingAverage",2013
153,153,"Derek Ernst",58,1.811,1208,667,26.28,122,"PuttingAverage",2013
153,153,"John Huh",88,1.811,1911,1055,26.29,45,"PuttingAverage",2013
155,155,"John Senden",79,1.812,1678,926,26.89,68,"PuttingAverage",2013
156,156,"Ricky Barnes",74,1.813,1610,888,25.03,4,"PuttingAverage",2013
156,156,"Steve LeBrun",66,1.813,1365,753,27.13,28,"PuttingAverage",2013
158,158,"JJ Henry",83,1.814,1798,991,24.22,17,"PuttingAverage",2013
158,158,"Jim Herman",59,1.814,1221,673,28.02,16,"PuttingAverage",2013
160,160,"Angel Cabrera",73,1.816,1551,854,28.25,95,"PuttingAverage",2013
160,160,"Ryo Ishikawa",72,1.816,1511,832,25.78,62,"PuttingAverage",2013
160,160,"Lee Westwood",70,1.816,1471,810,28.22,91,"PuttingAverage",2013
163,163,"Ben Curtis",59,1.818,1191,655,24.92,123,"PuttingAverage",2013
163,163,"Mark Wilson",56,1.818,1127,620,24.23,56,"PuttingAverage",2013
165,165,"Robert Karlsson",56,1.819,1075,591,27.29,139,"PuttingAverage",2013
166,166,"Bobby Gates",49,1.823,928,509,23.43,142,"PuttingAverage",2013
166,166,"Greg Owen",73,1.823,1531,840,27.62,77,"PuttingAverage",2013
168,168,"Martin Kaymer",61,1.824,1235,677,27.41,99,"PuttingAverage",2013
168,168,"Sean OHair",56,1.824,1140,625,25.64,160,"PuttingAverage",2013
170,170,"Geoff Ogilvy",57,1.826,1165,638,27.32,155,"PuttingAverage",2013
171,171,"Charlie Beljan",62,1.827,1317,721,27.92,105,"PuttingAverage",2013
171,171,"Will Claxton",67,1.827,1361,745,25.4,78,"PuttingAverage",2013
173,173,"Michael Bradley",56,1.83,1133,619,24.6,59,"PuttingAverage",2013
174,174,"Lucas Glover",65,1.833,1424,777,27.26,54,"PuttingAverage",2013
175,175,"Johnson Wagner",64,1.837,1277,695,23.81,112,"PuttingAverage",2013
176,176,"Trevor Immelman",73,1.838,1518,826,22.67,53,"PuttingAverage",2013
177,177,"Kyle Stanley",71,1.841,1585,861,26.81,32,"PuttingAverage",2013
178,178,"Eric Meierdierks",48,1.844,1016,551,25.73,48,"PuttingAverage",2013
179,179,"Nicolas Colsaerts",50,1.855,1048,565,24.33,38,"PuttingAverage",2013
180,180,"Vijay Singh",61,1.888,1433,759,22.27,7,"PuttingAverage",2013
