"OnePuttPercentage_RANKTHISWEEK_2007","OnePuttPercentage_RANKLASTWEEK_2007","OnePuttPercentage_PLAYERNAME_2007","OnePuttPercentage_ROUNDS_2007","OnePuttPercentage_Pct_2007","OnePuttPercentage_OF1PUTTS_2007","OnePuttPercentage_OFHOLES_2007","stat_name","year"
1,1,"Tim Clark",66,44.1,508,1152,"OnePuttPercentage",2007
2,2,"Padraig Harrington",64,43.73,488,1116,"OnePuttPercentage",2007
3,3,"Kevin Na",84,43.58,659,1512,"OnePuttPercentage",2007
4,4,"Jose Maria Olazabal",52,42.78,385,900,"OnePuttPercentage",2007
5,5,"Jonathan Byrd",73,42.54,559,1314,"OnePuttPercentage",2007
6,6,"Aaron Baddeley",83,42.5,612,1440,"OnePuttPercentage",2007
7,7,"Rory Sabbatini",81,42.48,604,1422,"OnePuttPercentage",2007
8,8,"Tim Petrovic",106,42.03,802,1908,"OnePuttPercentage",2007
9,9,"Paul Goydos",60,41.81,444,1062,"OnePuttPercentage",2007
10,10,"Shigeki Maruyama",84,41.73,631,1512,"OnePuttPercentage",2007
11,11,"Ryuji Imada",104,41.24,772,1872,"OnePuttPercentage",2007
12,12,"Chris Riley",59,40.96,435,1062,"OnePuttPercentage",2007
13,13,"Freddie Jacobson",70,40.95,516,1260,"OnePuttPercentage",2007
14,14,"Nathan Green",103,40.83,757,1854,"OnePuttPercentage",2007
15,15,"Steve Stricker",81,40.76,587,1440,"OnePuttPercentage",2007
16,16,"Geoff Ogilvy",84,40.67,571,1404,"OnePuttPercentage",2007
17,17,"Tom Pernice Jr",104,40.65,761,1872,"OnePuttPercentage",2007
18,18,"Justin Rose",63,40.58,431,1062,"OnePuttPercentage",2007
19,19,"Bob Estes",88,40.53,642,1584,"OnePuttPercentage",2007
20,20,"Brian Gay",107,40.45,779,1926,"OnePuttPercentage",2007
20,20,"John Mallinger",96,40.45,699,1728,"OnePuttPercentage",2007
22,22,"Arron Oberholser",69,40.28,493,1224,"OnePuttPercentage",2007
23,23,"Woody Austin",95,40.18,687,1710,"OnePuttPercentage",2007
24,24,"Luke Donald",69,40.13,484,1206,"OnePuttPercentage",2007
25,25,"Sergio Garcia",68,40.07,476,1188,"OnePuttPercentage",2007
26,26,"Daniel Chopra",106,40.04,764,1908,"OnePuttPercentage",2007
27,27,"Ryan Moore",92,39.98,662,1656,"OnePuttPercentage",2007
28,28,"Phil Mickelson",73,39.91,510,1278,"OnePuttPercentage",2007
28,28,"Ian Poulter",63,39.91,431,1080,"OnePuttPercentage",2007
30,30,"Rich Barcelo",80,39.79,573,1440,"OnePuttPercentage",2007
31,31,"Zach Johnson",76,39.78,537,1350,"OnePuttPercentage",2007
32,32,"Michael Sim",52,39.74,372,936,"OnePuttPercentage",2007
33,33,"Mark Hensby",81,39.71,579,1458,"OnePuttPercentage",2007
34,34,"JP Hayes",89,39.7,636,1602,"OnePuttPercentage",2007
35,35,"Stuart Appleby",74,39.65,521,1314,"OnePuttPercentage",2007
36,36,"Corey Pavin",81,39.64,578,1458,"OnePuttPercentage",2007
37,37,"Bob Heintz",85,39.61,606,1530,"OnePuttPercentage",2007
37,37,"David Toms",80,39.61,549,1386,"OnePuttPercentage",2007
37,37,"Dean Wilson",92,39.61,656,1656,"OnePuttPercentage",2007
40,40,"Retief Goosen",50,39.58,342,864,"OnePuttPercentage",2007
41,41,"Ken Duke",112,39.53,797,2016,"OnePuttPercentage",2007
42,42,"Mike Weir",82,39.51,576,1458,"OnePuttPercentage",2007
43,43,"John Rollins",102,39.49,718,1818,"OnePuttPercentage",2007
43,43,"Heath Slocum",101,39.49,718,1818,"OnePuttPercentage",2007
45,45,"Jason Gore",86,39.47,611,1548,"OnePuttPercentage",2007
46,46,"Vijay Singh",102,39.44,710,1800,"OnePuttPercentage",2007
47,47,"Mathias Gronberg",95,39.42,674,1710,"OnePuttPercentage",2007
47,47,"Tag Ridings",52,39.42,369,936,"OnePuttPercentage",2007
49,49,"Ernie Els",59,39.37,411,1044,"OnePuttPercentage",2007
50,50,"Carl Pettersson",111,39.34,779,1980,"OnePuttPercentage",2007
51,51,"Craig Lile",77,39.32,545,1386,"OnePuttPercentage",2007
52,52,"Adam Scott",69,39.3,481,1224,"OnePuttPercentage",2007
52,52,"Scott Verplank",82,39.3,573,1458,"OnePuttPercentage",2007
54,54,"KJ Choi",87,39.22,600,1530,"OnePuttPercentage",2007
55,55,"Mark Calcavecchia",93,39.19,656,1674,"OnePuttPercentage",2007
56,56,"Justin Leonard",95,39.18,670,1710,"OnePuttPercentage",2007
57,57,"Bubba Watson",80,39.17,564,1440,"OnePuttPercentage",2007
58,58,"Jesper Parnevik",88,39.14,620,1584,"OnePuttPercentage",2007
59,59,"Chris DiMarco",79,39.11,542,1386,"OnePuttPercentage",2007
60,60,"Tiger Woods",63,39.07,422,1080,"OnePuttPercentage",2007
61,61,"Charley Hoffman",97,39.06,682,1746,"OnePuttPercentage",2007
62,62,"Marco Dawson",73,39.04,513,1314,"OnePuttPercentage",2007
63,63,"Joe Ogilvie",102,39,716,1836,"OnePuttPercentage",2007
64,64,"Craig Bowden",78,38.89,546,1404,"OnePuttPercentage",2007
64,64,"Parker McLachlin",83,38.89,581,1494,"OnePuttPercentage",2007
66,66,"Lucas Glover",98,38.83,678,1746,"OnePuttPercentage",2007
67,67,"Jay Williamson",50,38.78,349,900,"OnePuttPercentage",2007
68,68,"Ryan Palmer",91,38.77,635,1638,"OnePuttPercentage",2007
69,69,"Brandt Snedeker",105,38.73,732,1890,"OnePuttPercentage",2007
70,70,"Steve Flesch",100,38.67,696,1800,"OnePuttPercentage",2007
71,71,"Rich Beem",89,38.64,619,1602,"OnePuttPercentage",2007
72,72,"Sean OHair",98,38.61,681,1764,"OnePuttPercentage",2007
73,73,"Jeff Quinney",95,38.6,660,1710,"OnePuttPercentage",2007
74,74,"Rocco Mediate",72,38.58,500,1296,"OnePuttPercentage",2007
75,75,"Frank Lickliter II",95,38.54,659,1710,"OnePuttPercentage",2007
76,76,"Eric Axley",107,38.53,742,1926,"OnePuttPercentage",2007
77,77,"Camilo Villegas",82,38.48,568,1476,"OnePuttPercentage",2007
78,78,"Anthony Kim",93,38.47,644,1674,"OnePuttPercentage",2007
79,79,"Chris Couch",76,38.45,526,1368,"OnePuttPercentage",2007
80,80,"Gavin Coles",87,38.44,602,1566,"OnePuttPercentage",2007
