"Total3Putts25_RANKTHISWEEK_2009","Total3Putts25_RANKLASTWEEK_2009","Total3Putts25_PLAYERNAME_2009","Total3Putts25_ROUNDS_2009","Total3Putts25_TOTAL3PUTTS25_2009","Total3Putts25_TOTAL3PUTTS_2009","stat_name","year"
1,1,"Nicholas Thompson",96,57,77,"Total3Putts25",2009
2,2,"Matt Bettencourt",98,49,77,"Total3Putts25",2009
3,3,"Greg Owen",97,46,52,"Total3Putts25",2009
4,4,"Bill Haas",91,45,52,"Total3Putts25",2009
5,5,"Marc Leishman",91,44,53,"Total3Putts25",2009
5,5,"Jeff Maggert",79,44,56,"Total3Putts25",2009
5,5,"Ted Purdy",101,44,61,"Total3Putts25",2009
5,5,"Kevin Streelman",97,44,55,"Total3Putts25",2009
9,9,"Brendon de Jonge",90,43,52,"Total3Putts25",2009
9,9,"Peter Lonard",86,43,53,"Total3Putts25",2009
11,11,"Robert Garrigus",83,41,52,"Total3Putts25",2009
11,11,"JB Holmes",74,41,50,"Total3Putts25",2009
13,13,"Jason Gore",74,40,51,"Total3Putts25",2009
13,13,"DA Points",99,40,55,"Total3Putts25",2009
13,13,"DJ Trahan",96,40,50,"Total3Putts25",2009
16,16,"Robert Allenby",71,39,46,"Total3Putts25",2009
16,16,"Michael Letzig",96,39,49,"Total3Putts25",2009
18,18,"Jay Williamson",69,38,48,"Total3Putts25",2009
18,18,"YE Yang",83,38,45,"Total3Putts25",2009
20,20,"Jonathan Byrd",89,37,54,"Total3Putts25",2009
20,20,"Nathan Green",104,37,44,"Total3Putts25",2009
20,20,"JJ Henry",97,37,43,"Total3Putts25",2009
20,20,"Troy Matteson",95,37,42,"Total3Putts25",2009
20,20,"Rocco Mediate",79,37,46,"Total3Putts25",2009
20,20,"Bo Van Pelt",100,37,47,"Total3Putts25",2009
20,20,"Mark Wilson",99,37,45,"Total3Putts25",2009
27,27,"Mark Calcavecchia",72,36,52,"Total3Putts25",2009
27,27,"Brian Davis",103,36,54,"Total3Putts25",2009
27,27,"Steve Lowery",83,36,54,"Total3Putts25",2009
27,27,"Bill Lunde",83,36,49,"Total3Putts25",2009
27,27,"John Rollins",92,36,41,"Total3Putts25",2009
27,27,"Heath Slocum",95,36,52,"Total3Putts25",2009
27,27,"Marc Turnesa",77,36,48,"Total3Putts25",2009
34,34,"Glen Day",79,35,45,"Total3Putts25",2009
34,34,"Tim Herron",87,35,43,"Total3Putts25",2009
34,34,"Cliff Kresge",78,35,40,"Total3Putts25",2009
