"Scrambling_RANKTHISWEEK_2016","Scrambling_RANKLASTWEEK_2016","Scrambling_PLAYERNAME_2016","Scrambling_ROUNDS_2016","Scrambling_Pct_2016","Scrambling_PARORBETTER_2016","Scrambling_MISSEDGIR_2016","stat_name","year"
1,4,"Tim Wilkinson",40,69.32,174,251,"Scrambling",2016
2,3,"Jerry Kelly",44,68.9,195,283,"Scrambling",2016
3,5,"Patrick Reed",53,68.01,202,297,"Scrambling",2016
4,1,"Brian Stuard",24,67.74,105,155,"Scrambling",2016
5,8,"Chez Reavie",56,67.07,224,334,"Scrambling",2016
6,7,"Jamie Lovemark",57,66.76,233,349,"Scrambling",2016
7,9,"Aaron Baddeley",51,66.57,229,344,"Scrambling",2016
8,6,"Luke Donald",49,66.56,199,299,"Scrambling",2016
9,16,"Phil Mickelson",37,66.51,141,212,"Scrambling",2016
10,2,"David Toms",38,66.09,154,233,"Scrambling",2016
11,12,"Bryce Molder",50,65.65,216,329,"Scrambling",2016
12,14,"Alex Cejka",47,65.45,180,275,"Scrambling",2016
13,13,"Zac Blair",56,65.44,248,379,"Scrambling",2016
14,15,"Brandt Snedeker",47,65.41,174,266,"Scrambling",2016
15,16,"Freddie Jacobson",54,65.22,225,345,"Scrambling",2016
16,18,"KJ Choi",47,65.08,192,295,"Scrambling",2016
17,11,"Colt Knost",56,65.06,229,352,"Scrambling",2016
18,19,"Justin Leonard",28,65.02,132,203,"Scrambling",2016
19,20,"Rickie Fowler",42,64.85,131,202,"Scrambling",2016
20,21,"Russell Knox",48,64.6,146,226,"Scrambling",2016
21,10,"Charles Howell III",63,64.19,233,363,"Scrambling",2016
22,23,"Marc Leishman",41,64.1,150,234,"Scrambling",2016
23,32,"Jeff Overton",51,64.02,210,328,"Scrambling",2016
24,22,"Stuart Appleby",39,63.94,172,269,"Scrambling",2016
25,25,"Sean OHair",45,63.87,175,274,"Scrambling",2016
26,27,"Steve Stricker",25,63.84,113,177,"Scrambling",2016
