"PuttsperRoundRound4_RANKTHISWEEK_2012","PuttsperRoundRound4_RANKLASTWEEK_2012","PuttsperRoundRound4_PLAYERNAME_2012","PuttsperRoundRound4__2012","PuttsperRoundRound4_AVG_2012","PuttsperRoundRound4_TOTALPUTTS_2012","PuttsperRoundRound4_TOTALROUNDS_2012","stat_name","year"
1,1,"Aaron Baddeley",NA,26.8,402,15,"PuttsperRoundRound4",2012
2,2,"Jason Day",NA,27.42,329,12,"PuttsperRoundRound4",2012
3,3,"Hunter Haas",NA,27.44,247,9,"PuttsperRoundRound4",2012
4,4,"Jonas Blixt",NA,27.5,385,14,"PuttsperRoundRound4",2012
5,5,"Scott Piercy",NA,27.74,527,19,"PuttsperRoundRound4",2012
6,6,"Brandt Snedeker",NA,27.89,502,18,"PuttsperRoundRound4",2012
7,7,"Luke Donald",NA,27.93,419,15,"PuttsperRoundRound4",2012
8,8,"Matt Bettencourt",NA,28,224,8,"PuttsperRoundRound4",2012
8,8,"KJ Choi",NA,28,420,15,"PuttsperRoundRound4",2012
8,8,"Erik Compton",NA,28,364,13,"PuttsperRoundRound4",2012
8,8,"Nick OHern",NA,28,308,11,"PuttsperRoundRound4",2012
12,12,"Padraig Harrington",NA,28.07,393,14,"PuttsperRoundRound4",2012
13,13,"Carl Pettersson",NA,28.1,562,20,"PuttsperRoundRound4",2012
14,14,"Ryuji Imada",NA,28.11,253,9,"PuttsperRoundRound4",2012
15,15,"Kevin Stadler",NA,28.2,423,15,"PuttsperRoundRound4",2012
16,16,"Kevin Kisner",NA,28.25,226,8,"PuttsperRoundRound4",2012
16,16,"Charl Schwartzel",NA,28.25,339,12,"PuttsperRoundRound4",2012
18,18,"Robert Karlsson",NA,28.3,283,10,"PuttsperRoundRound4",2012
19,19,"Bob Estes",NA,28.31,453,16,"PuttsperRoundRound4",2012
19,19,"Sergio Garcia",NA,28.31,368,13,"PuttsperRoundRound4",2012
21,21,"Daniel Chopra",NA,28.33,170,6,"PuttsperRoundRound4",2012
21,21,"John Daly",NA,28.33,255,9,"PuttsperRoundRound4",2012
21,21,"Patrick Sheehan",NA,28.33,170,6,"PuttsperRoundRound4",2012
24,24,"Kevin Na",NA,28.35,482,17,"PuttsperRoundRound4",2012
25,25,"Dicky Pride",NA,28.4,284,10,"PuttsperRoundRound4",2012
25,25,"Michael Thompson",NA,28.4,426,15,"PuttsperRoundRound4",2012
27,27,"Jeff Overton",NA,28.43,597,21,"PuttsperRoundRound4",2012
28,28,"Ben Curtis",NA,28.45,313,11,"PuttsperRoundRound4",2012
29,29,"Martin Flores",NA,28.47,484,17,"PuttsperRoundRound4",2012
30,30,"Rory McIlroy",NA,28.5,342,12,"PuttsperRoundRound4",2012
30,30,"Tom Pernice Jr",NA,28.5,171,6,"PuttsperRoundRound4",2012
30,30,"Roland Thatcher",NA,28.5,171,6,"PuttsperRoundRound4",2012
30,30,"Charlie Wi",NA,28.5,513,18,"PuttsperRoundRound4",2012
34,34,"Brian Gay",NA,28.56,457,16,"PuttsperRoundRound4",2012
35,35,"Ben Crane",NA,28.57,400,14,"PuttsperRoundRound4",2012
36,36,"Robert Allenby",NA,28.6,286,10,"PuttsperRoundRound4",2012
36,36,"Matt Kuchar",NA,28.6,572,20,"PuttsperRoundRound4",2012
38,38,"Mark Anderson",NA,28.64,315,11,"PuttsperRoundRound4",2012
38,38,"Tim Clark",NA,28.64,315,11,"PuttsperRoundRound4",2012
38,38,"Chris DiMarco",NA,28.64,315,11,"PuttsperRoundRound4",2012
38,38,"Chris Stroud",NA,28.64,401,14,"PuttsperRoundRound4",2012
42,42,"Keegan Bradley",NA,28.65,573,20,"PuttsperRoundRound4",2012
43,43,"Scott Brown",NA,28.67,172,6,"PuttsperRoundRound4",2012
43,43,"Rory Sabbatini",NA,28.67,344,12,"PuttsperRoundRound4",2012
45,45,"Greg Chalmers",NA,28.68,545,19,"PuttsperRoundRound4",2012
46,46,"Marco Dawson",NA,28.71,201,7,"PuttsperRoundRound4",2012
47,47,"Sangmoon Bae",NA,28.73,431,15,"PuttsperRoundRound4",2012
48,48,"Bo Van Pelt",NA,28.74,546,19,"PuttsperRoundRound4",2012
49,49,"Tommy Biershenk",NA,28.75,230,8,"PuttsperRoundRound4",2012
50,50,"Geoff Ogilvy",NA,28.76,489,17,"PuttsperRoundRound4",2012
51,51,"Troy Kelly",NA,28.78,259,9,"PuttsperRoundRound4",2012
52,52,"Dustin Johnson",NA,28.81,461,16,"PuttsperRoundRound4",2012
53,53,"Nick Watney",NA,28.82,634,22,"PuttsperRoundRound4",2012
54,54,"John Mallinger",NA,28.83,346,12,"PuttsperRoundRound4",2012
54,54,"YE Yang",NA,28.83,346,12,"PuttsperRoundRound4",2012
56,56,"John Huh",NA,28.86,635,22,"PuttsperRoundRound4",2012
56,56,"Billy Hurley III",NA,28.86,202,7,"PuttsperRoundRound4",2012
56,56,"Ian Poulter",NA,28.86,404,14,"PuttsperRoundRound4",2012
59,59,"Tiger Woods",NA,28.87,433,15,"PuttsperRoundRound4",2012
60,60,"Spencer Levin",NA,28.88,462,16,"PuttsperRoundRound4",2012
61,61,"Miguel Angel Carballo",NA,28.89,260,9,"PuttsperRoundRound4",2012
62,62,"Colt Knost",NA,28.9,289,10,"PuttsperRoundRound4",2012
62,62,"Danny Lee",NA,28.9,289,10,"PuttsperRoundRound4",2012
62,62,"Richard Lee",NA,28.9,289,10,"PuttsperRoundRound4",2012
65,65,"Bryce Molder",NA,28.93,434,15,"PuttsperRoundRound4",2012
65,65,"Bubba Watson",NA,28.93,434,15,"PuttsperRoundRound4",2012
67,67,"Charlie Beljan",NA,29,203,7,"PuttsperRoundRound4",2012
67,67,"Stewart Cink",NA,29,377,13,"PuttsperRoundRound4",2012
67,67,"Gavin Coles",NA,29,319,11,"PuttsperRoundRound4",2012
67,67,"Matt Every",NA,29,406,14,"PuttsperRoundRound4",2012
67,67,"Brian Harman",NA,29,580,20,"PuttsperRoundRound4",2012
67,67,"David Hearn",NA,29,551,19,"PuttsperRoundRound4",2012
67,67,"Zach Johnson",NA,29,667,23,"PuttsperRoundRound4",2012
67,67,"John Rollins",NA,29,377,13,"PuttsperRoundRound4",2012
75,75,"Chris Kirk",NA,29.05,552,19,"PuttsperRoundRound4",2012
75,75,"Seung Yul Noh",NA,29.05,639,22,"PuttsperRoundRound4",2012
77,77,"Jhonattan Vegas",NA,29.08,378,13,"PuttsperRoundRound4",2012
78,78,"Davis Love III",NA,29.09,320,11,"PuttsperRoundRound4",2012
78,78,"David Toms",NA,29.09,320,11,"PuttsperRoundRound4",2012
80,80,"Bud Cauley",NA,29.1,611,21,"PuttsperRoundRound4",2012
80,80,"David Mathis",NA,29.1,291,10,"PuttsperRoundRound4",2012
82,82,"Charley Hoffman",NA,29.13,437,15,"PuttsperRoundRound4",2012
82,82,"Ryan Palmer",NA,29.13,466,16,"PuttsperRoundRound4",2012
84,84,"Jim Furyk",NA,29.16,554,19,"PuttsperRoundRound4",2012
85,85,"John Senden",NA,29.17,525,18,"PuttsperRoundRound4",2012
85,85,"Vaughn Taylor",NA,29.17,350,12,"PuttsperRoundRound4",2012
87,87,"Jonathan Byrd",NA,29.21,409,14,"PuttsperRoundRound4",2012
87,87,"Hunter Mahan",NA,29.21,555,19,"PuttsperRoundRound4",2012
89,89,"Pat Perez",NA,29.22,526,18,"PuttsperRoundRound4",2012
90,90,"Bill Haas",NA,29.24,497,17,"PuttsperRoundRound4",2012
90,90,"JB Holmes",NA,29.24,497,17,"PuttsperRoundRound4",2012
90,90,"Webb Simpson",NA,29.24,497,17,"PuttsperRoundRound4",2012
93,93,"Rickie Fowler",NA,29.26,556,19,"PuttsperRoundRound4",2012
94,94,"Jimmy Walker",NA,29.27,644,22,"PuttsperRoundRound4",2012
95,95,"Brendon Todd",NA,29.29,205,7,"PuttsperRoundRound4",2012
96,96,"Blake Adams",NA,29.3,586,20,"PuttsperRoundRound4",2012
96,96,"Arjun Atwal",NA,29.3,293,10,"PuttsperRoundRound4",2012
96,96,"Jason Kokrak",NA,29.3,293,10,"PuttsperRoundRound4",2012
96,96,"Rocco Mediate",NA,29.3,293,10,"PuttsperRoundRound4",2012
100,100,"Kevin Chappell",NA,29.31,469,16,"PuttsperRoundRound4",2012
101,101,"Chris Couch",NA,29.33,264,9,"PuttsperRoundRound4",2012
101,101,"Tom Gillis",NA,29.33,440,15,"PuttsperRoundRound4",2012
101,101,"Derek Lamely",NA,29.33,176,6,"PuttsperRoundRound4",2012
101,101,"Graeme McDowell",NA,29.33,352,12,"PuttsperRoundRound4",2012
101,101,"Phil Mickelson",NA,29.33,528,18,"PuttsperRoundRound4",2012
106,106,"Robert Garrigus",NA,29.37,558,19,"PuttsperRoundRound4",2012
107,107,"Gary Christian",NA,29.38,470,16,"PuttsperRoundRound4",2012
107,107,"William McGirt",NA,29.38,470,16,"PuttsperRoundRound4",2012
107,107,"Justin Rose",NA,29.38,470,16,"PuttsperRoundRound4",2012
110,110,"Graham DeLaet",NA,29.4,441,15,"PuttsperRoundRound4",2012
110,110,"Mark Wilson",NA,29.4,441,15,"PuttsperRoundRound4",2012
112,112,"Harris English",NA,29.41,647,22,"PuttsperRoundRound4",2012
113,113,"Sean OHair",NA,29.42,559,19,"PuttsperRoundRound4",2012
114,114,"Michael Bradley",NA,29.43,206,7,"PuttsperRoundRound4",2012
114,114,"Freddie Jacobson",NA,29.43,412,14,"PuttsperRoundRound4",2012
114,114,"Jerry Kelly",NA,29.43,412,14,"PuttsperRoundRound4",2012
117,117,"Brendon de Jonge",NA,29.44,736,25,"PuttsperRoundRound4",2012
117,117,"George McNeill",NA,29.44,471,16,"PuttsperRoundRound4",2012
119,119,"Ken Duke",NA,29.48,619,21,"PuttsperRoundRound4",2012
120,120,"Stuart Appleby",NA,29.5,354,12,"PuttsperRoundRound4",2012
120,120,"Tommy Gainey",NA,29.5,472,16,"PuttsperRoundRound4",2012
120,120,"Garth Mulroy",NA,29.5,295,10,"PuttsperRoundRound4",2012
120,120,"Josh Teater",NA,29.5,531,18,"PuttsperRoundRound4",2012
124,124,"Ricky Barnes",NA,29.53,502,17,"PuttsperRoundRound4",2012
124,124,"Steve Stricker",NA,29.53,502,17,"PuttsperRoundRound4",2012
126,126,"Daniel Summerhays",NA,29.54,384,13,"PuttsperRoundRound4",2012
127,127,"Matt Jones",NA,29.57,207,7,"PuttsperRoundRound4",2012
127,127,"Sung Kang",NA,29.57,207,7,"PuttsperRoundRound4",2012
127,127,"JJ Killeen",NA,29.57,414,14,"PuttsperRoundRound4",2012
130,130,"Ted Potter Jr",NA,29.58,355,12,"PuttsperRoundRound4",2012
131,131,"Jason Dufner",NA,29.6,592,20,"PuttsperRoundRound4",2012
131,131,"Martin Laird",NA,29.6,444,15,"PuttsperRoundRound4",2012
131,131,"Billy Mayfair",NA,29.6,444,15,"PuttsperRoundRound4",2012
131,131,"DA Points",NA,29.6,444,15,"PuttsperRoundRound4",2012
135,135,"Vijay Singh",NA,29.61,681,23,"PuttsperRoundRound4",2012
136,136,"Jason Bohn",NA,29.64,326,11,"PuttsperRoundRound4",2012
136,136,"Chad Campbell",NA,29.64,415,14,"PuttsperRoundRound4",2012
138,138,"Brian Davis",NA,29.67,445,15,"PuttsperRoundRound4",2012
138,138,"Nathan Green",NA,29.67,356,12,"PuttsperRoundRound4",2012
138,138,"Rod Pampling",NA,29.67,445,15,"PuttsperRoundRound4",2012
138,138,"Kyle Thompson",NA,29.67,89,3,"PuttsperRoundRound4",2012
142,142,"Troy Matteson",NA,29.69,475,16,"PuttsperRoundRound4",2012
142,142,"Lee Westwood",NA,29.69,386,13,"PuttsperRoundRound4",2012
144,144,"Jeff Maggert",NA,29.71,416,14,"PuttsperRoundRound4",2012
144,144,"Adam Scott",NA,29.71,416,14,"PuttsperRoundRound4",2012
146,146,"Ernie Els",NA,29.72,535,18,"PuttsperRoundRound4",2012
146,146,"Cameron Tringale",NA,29.72,535,18,"PuttsperRoundRound4",2012
148,148,"Heath Slocum",NA,29.73,446,15,"PuttsperRoundRound4",2012
149,149,"Brendan Steele",NA,29.77,387,13,"PuttsperRoundRound4",2012
150,150,"Brandt Jobe",NA,29.78,268,9,"PuttsperRoundRound4",2012
151,151,"Angel Cabrera",NA,29.83,179,6,"PuttsperRoundRound4",2012
151,151,"Kevin Streelman",NA,29.83,537,18,"PuttsperRoundRound4",2012
153,153,"James Driscoll",NA,29.85,388,13,"PuttsperRoundRound4",2012
154,154,"Stephen Ames",NA,29.86,209,7,"PuttsperRoundRound4",2012
155,155,"Scott Stallings",NA,29.92,359,12,"PuttsperRoundRound4",2012
156,156,"Bobby Gates",NA,29.93,419,14,"PuttsperRoundRound4",2012
156,156,"JJ Henry",NA,29.93,449,15,"PuttsperRoundRound4",2012
