"EarlyPar4ScoringAverage_RANKTHISWEEK_2014","EarlyPar4ScoringAverage_RANKLASTWEEK_2014","EarlyPar4ScoringAverage_PLAYERNAME_2014","EarlyPar4ScoringAverage_ROUNDS_2014","EarlyPar4ScoringAverage_AVG_2014","EarlyPar4ScoringAverage_TOTALSTROKES_2014","EarlyPar4ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Adam Scott",68,3.92,917,234,"EarlyPar4ScoringAverage",2014
2,2,"Justin Rose",70,3.94,1140,289,"EarlyPar4ScoringAverage",2014
3,3,"Jimmy Walker",98,3.95,1890,478,"EarlyPar4ScoringAverage",2014
4,4,"Jim Furyk",84,3.96,1185,299,"EarlyPar4ScoringAverage",2014
4,4,"Michael Thompson",74,3.96,1771,447,"EarlyPar4ScoringAverage",2014
6,6,"Dustin Johnson",58,3.97,913,230,"EarlyPar4ScoringAverage",2014
7,7,"Keegan Bradley",89,3.98,1541,387,"EarlyPar4ScoringAverage",2014
7,7,"Kevin Chappell",100,3.98,2133,536,"EarlyPar4ScoringAverage",2014
7,7,"Sergio Garcia",61,3.98,964,242,"EarlyPar4ScoringAverage",2014
7,7,"Charles Howell III",106,3.98,2385,600,"EarlyPar4ScoringAverage",2014
7,7,"Matt Kuchar",91,3.98,1349,339,"EarlyPar4ScoringAverage",2014
12,12,"Erik Compton",88,3.99,1825,457,"EarlyPar4ScoringAverage",2014
12,12,"Russell Knox",92,3.99,2153,539,"EarlyPar4ScoringAverage",2014
12,12,"Danny Lee",84,3.99,1717,430,"EarlyPar4ScoringAverage",2014
12,12,"Andrew Loupe",65,3.99,1286,322,"EarlyPar4ScoringAverage",2014
12,12,"Ryan Moore",86,3.99,1463,367,"EarlyPar4ScoringAverage",2014
12,12,"Ryan Palmer",85,3.99,1666,418,"EarlyPar4ScoringAverage",2014
12,12,"Brendan Steele",89,3.99,2067,518,"EarlyPar4ScoringAverage",2014
19,19,"Luke Guthrie",85,4,1972,493,"EarlyPar4ScoringAverage",2014
19,19,"Chris Kirk",105,4,2048,512,"EarlyPar4ScoringAverage",2014
19,19,"Jason Kokrak",65,4,1145,286,"EarlyPar4ScoringAverage",2014
19,19,"Jeff Overton",80,4,1981,495,"EarlyPar4ScoringAverage",2014
19,19,"Henrik Stenson",56,4,860,215,"EarlyPar4ScoringAverage",2014
19,19,"Robert Streb",75,4,1457,364,"EarlyPar4ScoringAverage",2014
19,19,"David Toms",64,4,1457,364,"EarlyPar4ScoringAverage",2014
19,19,"Gary Woodland",93,4,1984,496,"EarlyPar4ScoringAverage",2014
27,27,"Harris English",95,4.01,2078,518,"EarlyPar4ScoringAverage",2014
27,27,"Retief Goosen",94,4.01,2019,503,"EarlyPar4ScoringAverage",2014
27,27,"Charley Hoffman",93,4.01,2084,520,"EarlyPar4ScoringAverage",2014
27,27,"Brooks Koepka",56,4.01,1450,362,"EarlyPar4ScoringAverage",2014
27,27,"Graeme McDowell",66,4.01,1323,330,"EarlyPar4ScoringAverage",2014
27,27,"Rory McIlroy",66,4.01,894,223,"EarlyPar4ScoringAverage",2014
27,27,"Phil Mickelson",71,4.01,1551,387,"EarlyPar4ScoringAverage",2014
27,27,"Webb Simpson",87,4.01,2043,509,"EarlyPar4ScoringAverage",2014
27,27,"Jordan Spieth",102,4.01,1705,425,"EarlyPar4ScoringAverage",2014
27,27,"Brian Stuard",91,4.01,1835,458,"EarlyPar4ScoringAverage",2014
27,27,"Daniel Summerhays",98,4.01,2264,564,"EarlyPar4ScoringAverage",2014
27,27,"Bubba Watson",76,4.01,1356,338,"EarlyPar4ScoringAverage",2014
39,39,"Bud Cauley",56,4.02,1056,263,"EarlyPar4ScoringAverage",2014
39,39,"Ben Crane",81,4.02,1874,466,"EarlyPar4ScoringAverage",2014
39,39,"Graham DeLaet",80,4.02,1517,377,"EarlyPar4ScoringAverage",2014
39,39,"Rickie Fowler",91,4.02,1834,456,"EarlyPar4ScoringAverage",2014
39,39,"Brad Fritsch",50,4.02,1005,250,"EarlyPar4ScoringAverage",2014
39,39,"Jerry Kelly",80,4.02,1964,488,"EarlyPar4ScoringAverage",2014
39,39,"Kevin Kisner",85,4.02,1766,439,"EarlyPar4ScoringAverage",2014
39,39,"William McGirt",96,4.02,2156,536,"EarlyPar4ScoringAverage",2014
39,39,"George McNeill",79,4.02,1805,449,"EarlyPar4ScoringAverage",2014
39,39,"Kevin Na",94,4.02,1899,472,"EarlyPar4ScoringAverage",2014
39,39,"Patrick Reed",92,4.02,2049,510,"EarlyPar4ScoringAverage",2014
39,39,"Chris Stroud",88,4.02,1834,456,"EarlyPar4ScoringAverage",2014
39,39,"Andrew Svoboda",77,4.02,1719,428,"EarlyPar4ScoringAverage",2014
39,39,"Hudson Swafford",75,4.02,1592,396,"EarlyPar4ScoringAverage",2014
39,39,"Bo Van Pelt",83,4.02,1724,429,"EarlyPar4ScoringAverage",2014
39,39,"Camilo Villegas",95,4.02,2350,585,"EarlyPar4ScoringAverage",2014
39,39,"Tim Wilkinson",86,4.02,1631,406,"EarlyPar4ScoringAverage",2014
56,56,"Ricky Barnes",92,4.03,2144,532,"EarlyPar4ScoringAverage",2014
56,56,"Scott Brown",100,4.03,2251,558,"EarlyPar4ScoringAverage",2014
56,56,"Greg Chalmers",85,4.03,1717,426,"EarlyPar4ScoringAverage",2014
56,56,"Jason Day",54,4.03,737,183,"EarlyPar4ScoringAverage",2014
56,56,"Bill Haas",107,4.03,2234,555,"EarlyPar4ScoringAverage",2014
56,56,"David Hearn",97,4.03,2397,595,"EarlyPar4ScoringAverage",2014
56,56,"JJ Henry",91,4.03,2199,546,"EarlyPar4ScoringAverage",2014
56,56,"Hunter Mahan",88,4.03,1728,429,"EarlyPar4ScoringAverage",2014
56,56,"Ben Martin",80,4.03,1597,396,"EarlyPar4ScoringAverage",2014
56,56,"Michael Putnam",106,4.03,2359,585,"EarlyPar4ScoringAverage",2014
56,56,"Charl Schwartzel",64,4.03,1202,298,"EarlyPar4ScoringAverage",2014
56,56,"John Senden",99,4.03,2127,528,"EarlyPar4ScoringAverage",2014
