"PresidentsCupUnitedes_RANKTHISWEEK_2010","PresidentsCupUnitedes_RANKLASTWEEK_2010","PresidentsCupUnitedes_PLAYERNAME_2010","PresidentsCupUnitedes__2010","PresidentsCupUnitedes_POINTS_2010","stat_name","year"
1,1,"Matt Kuchar",NA,6453677,"PresidentsCupUnitedes",2010
2,2,"Steve Stricker",NA,6322785,"PresidentsCupUnitedes",2010
3,3,"Jim Furyk",NA,6239422,"PresidentsCupUnitedes",2010
4,4,"Phil Mickelson",NA,5285977,"PresidentsCupUnitedes",2010
5,5,"Dustin Johnson",NA,5109366,"PresidentsCupUnitedes",2010
6,6,"Tiger Woods",NA,4114765,"PresidentsCupUnitedes",2010
7,7,"Heath Slocum",NA,4047437,"PresidentsCupUnitedes",2010
8,8,"Hunter Mahan",NA,3927612,"PresidentsCupUnitedes",2010
9,9,"Bo Van Pelt",NA,3749451,"PresidentsCupUnitedes",2010
10,10,"Jeff Overton",NA,3662281,"PresidentsCupUnitedes",2010
11,11,"Zach Johnson",NA,3651968,"PresidentsCupUnitedes",2010
12,12,"Ryan Moore",NA,3599967,"PresidentsCupUnitedes",2010
13,13,"Bill Haas",NA,3517224,"PresidentsCupUnitedes",2010
14,14,"Rickie Fowler",NA,3428198,"PresidentsCupUnitedes",2010
15,15,"Bubba Watson",NA,3369905,"PresidentsCupUnitedes",2010
16,16,"Ben Crane",NA,3104225,"PresidentsCupUnitedes",2010
17,17,"Nick Watney",NA,3036782,"PresidentsCupUnitedes",2010
18,18,"Ryan Palmer",NA,3016036,"PresidentsCupUnitedes",2010
19,19,"Sean OHair",NA,2954040,"PresidentsCupUnitedes",2010
20,20,"Charley Hoffman",NA,2829913,"PresidentsCupUnitedes",2010
21,21,"Anthony Kim",NA,2688734,"PresidentsCupUnitedes",2010
22,22,"Scott Verplank",NA,2684440,"PresidentsCupUnitedes",2010
23,23,"Kevin Na",NA,2595752,"PresidentsCupUnitedes",2010
24,24,"Jason Bohn",NA,2554234,"PresidentsCupUnitedes",2010
25,25,"Vaughn Taylor",NA,2524321,"PresidentsCupUnitedes",2010
26,26,"JB Holmes",NA,2456748,"PresidentsCupUnitedes",2010
27,27,"Brandt Snedeker",NA,2224474,"PresidentsCupUnitedes",2010
28,28,"Steve Marino",NA,2136239,"PresidentsCupUnitedes",2010
29,29,"David Toms",NA,1978916,"PresidentsCupUnitedes",2010
30,30,"Jason Dufner",NA,1969289,"PresidentsCupUnitedes",2010
31,31,"Brian Gay",NA,1884313,"PresidentsCupUnitedes",2010
32,32,"Ricky Barnes",NA,1866122,"PresidentsCupUnitedes",2010
33,33,"DJ Trahan",NA,1841322,"PresidentsCupUnitedes",2010
34,34,"Jonathan Byrd",NA,1836780,"PresidentsCupUnitedes",2010
35,35,"Stewart Cink",NA,1835761,"PresidentsCupUnitedes",2010
36,36,"Troy Matteson",NA,1805710,"PresidentsCupUnitedes",2010
37,37,"Lucas Glover",NA,1800374,"PresidentsCupUnitedes",2010
38,38,"Charles Howell III",NA,1770404,"PresidentsCupUnitedes",2010
39,39,"Bryce Molder",NA,1717488,"PresidentsCupUnitedes",2010
40,40,"Robert Garrigus",NA,1703432,"PresidentsCupUnitedes",2010
41,41,"Justin Leonard",NA,1670883,"PresidentsCupUnitedes",2010
