"Top10Finishes_RANKTHISWEEK_2009","Top10Finishes_RANKLASTWEEK_2009","Top10Finishes_PLAYERNAME_2009","Top10Finishes_EVENTS_2009","Top10Finishes_TOP10_2009","Top10Finishes_1ST_2009","Top10Finishes_2ND_2009","Top10Finishes_3RD_2009","stat_name","year"
1,1,"Tiger Woods",17,14,6,3,NA,"Top10Finishes",2009
2,2,"Jim Furyk",23,11,NA,2,1,"Top10Finishes",2009
2,2,"Steve Stricker",22,11,3,2,1,"Top10Finishes",2009
4,4,"Zach Johnson",26,9,2,1,1,"Top10Finishes",2009
4,4,"Kevin Na",26,9,NA,NA,2,"Top10Finishes",2009
4,4,"Sean OHair",23,9,1,1,1,"Top10Finishes",2009
7,7,"Kenny Perry",24,8,2,1,NA,"Top10Finishes",2009
8,8,"Ernie Els",19,7,NA,1,NA,"Top10Finishes",2009
8,8,"Phil Mickelson",18,7,3,1,NA,"Top10Finishes",2009
8,8,"John Senden",29,7,NA,1,NA,"Top10Finishes",2009
8,8,"David Toms",27,7,NA,3,NA,"Top10Finishes",2009
12,12,"Luke Donald",21,6,NA,1,NA,"Top10Finishes",2009
12,12,"Jason Dufner",26,6,NA,1,1,"Top10Finishes",2009
12,12,"Lucas Glover",26,6,1,1,1,"Top10Finishes",2009
12,12,"Padraig Harrington",20,6,NA,2,NA,"Top10Finishes",2009
12,12,"Jerry Kelly",26,6,1,NA,1,"Top10Finishes",2009
12,12,"Justin Leonard",26,6,NA,1,NA,"Top10Finishes",2009
12,12,"Hunter Mahan",25,6,NA,1,NA,"Top10Finishes",2009
12,12,"Ryan Moore",27,6,1,NA,NA,"Top10Finishes",2009
12,12,"Tim Petrovic",31,6,NA,NA,1,"Top10Finishes",2009
12,12,"Scott Verplank",24,6,NA,1,NA,"Top10Finishes",2009
12,12,"Mike Weir",24,6,NA,1,1,"Top10Finishes",2009
23,23,"Stephen Ames",23,5,1,NA,NA,"Top10Finishes",2009
23,23,"Tim Clark",23,5,NA,1,NA,"Top10Finishes",2009
23,23,"Retief Goosen",20,5,1,1,1,"Top10Finishes",2009
23,23,"Dustin Johnson",25,5,1,NA,NA,"Top10Finishes",2009
23,23,"Matt Kuchar",24,5,1,NA,NA,"Top10Finishes",2009
23,23,"Steve Marino",29,5,NA,1,NA,"Top10Finishes",2009
23,23,"Geoff Ogilvy",20,5,2,NA,NA,"Top10Finishes",2009
23,23,"Ian Poulter",17,5,NA,1,NA,"Top10Finishes",2009
23,23,"Brandt Snedeker",26,5,NA,1,NA,"Top10Finishes",2009
23,23,"Bo Van Pelt",30,5,1,NA,NA,"Top10Finishes",2009
33,33,"Stewart Cink",22,4,1,NA,1,"Top10Finishes",2009
33,33,"Fred Couples",16,4,NA,NA,2,"Top10Finishes",2009
33,33,"Ben Crane",27,4,NA,NA,1,"Top10Finishes",2009
33,33,"Brian Davis",32,4,NA,1,NA,"Top10Finishes",2009
33,33,"Brian Gay",27,4,2,NA,NA,"Top10Finishes",2009
33,33,"Paul Goydos",25,4,NA,1,1,"Top10Finishes",2009
33,33,"Bill Haas",29,4,NA,NA,1,"Top10Finishes",2009
33,33,"Charley Hoffman",27,4,NA,1,NA,"Top10Finishes",2009
33,33,"John Mallinger",27,4,NA,1,1,"Top10Finishes",2009
33,33,"John Merrick",28,4,NA,1,NA,"Top10Finishes",2009
33,33,"DA Points",29,4,NA,NA,1,"Top10Finishes",2009
33,33,"John Rollins",27,4,1,2,NA,"Top10Finishes",2009
33,33,"Rory Sabbatini",25,4,1,1,NA,"Top10Finishes",2009
33,33,"Webb Simpson",30,4,NA,NA,NA,"Top10Finishes",2009
33,33,"Heath Slocum",30,4,1,NA,1,"Top10Finishes",2009
33,33,"Henrik Stenson",10,4,1,NA,1,"Top10Finishes",2009
33,33,"Camilo Villegas",21,4,NA,NA,1,"Top10Finishes",2009
33,33,"Nick Watney",24,4,1,1,NA,"Top10Finishes",2009
33,33,"YE Yang",23,4,2,NA,NA,"Top10Finishes",2009
52,52,"Robert Allenby",21,3,NA,1,NA,"Top10Finishes",2009
52,52,"Woody Austin",24,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Briny Baird",28,3,NA,1,NA,"Top10Finishes",2009
52,52,"Angel Cabrera",17,3,1,NA,NA,"Top10Finishes",2009
52,52,"Mark Calcavecchia",23,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Chad Campbell",26,3,NA,2,NA,"Top10Finishes",2009
52,52,"Paul Casey",12,3,1,1,NA,"Top10Finishes",2009
52,52,"Alex Cejka",25,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Sergio Garcia",17,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Mathew Goggin",26,3,NA,NA,NA,"Top10Finishes",2009
52,52,"JJ Henry",28,3,NA,1,NA,"Top10Finishes",2009
52,52,"Charles Howell III",29,3,NA,2,NA,"Top10Finishes",2009
52,52,"Freddie Jacobson",25,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Anthony Kim",22,3,NA,1,2,"Top10Finishes",2009
52,52,"Jeff Klauk",29,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Marc Leishman",28,3,NA,1,NA,"Top10Finishes",2009
52,52,"Scott McCarron",27,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Rory McIlroy",11,3,NA,NA,1,"Top10Finishes",2009
52,52,"George McNeill",26,3,NA,2,NA,"Top10Finishes",2009
52,52,"Bryce Molder",21,3,NA,1,NA,"Top10Finishes",2009
52,52,"Jeff Overton",28,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Rod Pampling",23,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Brett Quigley",28,3,NA,3,NA,"Top10Finishes",2009
52,52,"Vijay Singh",21,3,NA,NA,NA,"Top10Finishes",2009
52,52,"DJ Trahan",30,3,NA,NA,NA,"Top10Finishes",2009
52,52,"Lee Westwood",8,3,NA,NA,2,"Top10Finishes",2009
52,52,"Charlie Wi",28,3,NA,1,NA,"Top10Finishes",2009
52,52,"Mark Wilson",28,3,1,NA,1,"Top10Finishes",2009
80,80,"Thomas Aiken",3,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Aaron Baddeley",23,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Cameron Beckman",26,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Matt Bettencourt",31,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Jason Bohn",25,2,NA,1,NA,"Top10Finishes",2009
80,80,"Jonathan Byrd",25,2,NA,NA,1,"Top10Finishes",2009
80,80,"Greg Chalmers",26,2,NA,1,NA,"Top10Finishes",2009
80,80,"Daniel Chopra",28,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Jason Day",18,2,NA,1,NA,"Top10Finishes",2009
80,80,"Brendon de Jonge",29,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Bob Estes",23,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Ross Fisher",10,2,NA,NA,NA,"Top10Finishes",2009
80,80,"Steve Flesch",27,2,NA,NA,NA,"Top10Finishes",2009
