"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2010","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2010","TenthTeeEarlyScoringAverage_PLAYERNAME_2010","TenthTeeEarlyScoringAverage_ROUNDS_2010","TenthTeeEarlyScoringAverage_AVG_2010","TenthTeeEarlyScoringAverage_TOTALSTROKES_2010","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2010","stat_name","year"
1,1,"Matt Kuchar",97,67.86,950,14,"TenthTeeEarlyScoringAverage",2010
2,2,"Zach Johnson",93,68.45,753,11,"TenthTeeEarlyScoringAverage",2010
3,3,"Jim Furyk",76,68.59,1166,17,"TenthTeeEarlyScoringAverage",2010
4,4,"Tom Pernice Jr",74,68.75,550,8,"TenthTeeEarlyScoringAverage",2010
5,5,"Paul Casey",64,68.8,344,5,"TenthTeeEarlyScoringAverage",2010
6,6,"Tim Clark",88,69,828,12,"TenthTeeEarlyScoringAverage",2010
7,7,"Michael Connell",89,69.06,1105,16,"TenthTeeEarlyScoringAverage",2010
8,8,"Steve Stricker",73,69.14,968,14,"TenthTeeEarlyScoringAverage",2010
9,9,"Steve Marino",81,69.15,899,13,"TenthTeeEarlyScoringAverage",2010
10,10,"Charles Howell III",103,69.19,1107,16,"TenthTeeEarlyScoringAverage",2010
11,11,"Phil Mickelson",76,69.29,1178,17,"TenthTeeEarlyScoringAverage",2010
12,12,"Graham DeLaet",88,69.33,1040,15,"TenthTeeEarlyScoringAverage",2010
13,13,"Dustin Johnson",83,69.36,763,11,"TenthTeeEarlyScoringAverage",2010
14,14,"Luke Donald",71,69.38,555,8,"TenthTeeEarlyScoringAverage",2010
15,15,"DJ Trahan",92,69.4,1041,15,"TenthTeeEarlyScoringAverage",2010
16,16,"Lucas Glover",75,69.45,764,11,"TenthTeeEarlyScoringAverage",2010
16,16,"Padraig Harrington",57,69.45,764,11,"TenthTeeEarlyScoringAverage",2010
18,18,"Stephen Ames",75,69.56,626,9,"TenthTeeEarlyScoringAverage",2010
19,19,"Justin Leonard",89,69.64,975,14,"TenthTeeEarlyScoringAverage",2010
