"GreensorFringeinRegulation_RANKTHISWEEK_2014","GreensorFringeinRegulation_RANKLASTWEEK_2014","GreensorFringeinRegulation_PLAYERNAME_2014","GreensorFringeinRegulation_ROUNDS_2014","GreensorFringeinRegulation_Pct_2014","GreensorFringeinRegulation_TOTALHIT_2014","GreensorFringeinRegulation_TOTALATTEMPTS_2014","GreensorFringeinRegulation_RTPSCORE_2014","stat_name","year"
1,1,"Chad Campbell",57,76.09,630,828,-120,"GreensorFringeinRegulation",2014
2,2,"Graham DeLaet",80,75.17,866,1152,-216,"GreensorFringeinRegulation",2014
3,3,"Jim Furyk",84,74.75,888,1188,-200,"GreensorFringeinRegulation",2014
4,4,"Justin Hicks",103,74.63,1209,1620,-250,"GreensorFringeinRegulation",2014
5,5,"JJ Henry",91,74.07,1040,1404,-185,"GreensorFringeinRegulation",2014
6,6,"Sergio Garcia",61,73.89,532,720,-142,"GreensorFringeinRegulation",2014
7,7,"Billy Horschel",92,73.75,916,1242,-227,"GreensorFringeinRegulation",2014
8,8,"Rory McIlroy",66,73.73,637,864,-224,"GreensorFringeinRegulation",2014
9,9,"Kevin Stadler",90,73.68,862,1170,-217,"GreensorFringeinRegulation",2014
10,10,"Nick Watney",80,73.61,742,1008,-175,"GreensorFringeinRegulation",2014
11,11,"Russell Knox",92,73.43,1097,1494,-240,"GreensorFringeinRegulation",2014
12,12,"Hudson Swafford",75,73.18,764,1044,-165,"GreensorFringeinRegulation",2014
13,13,"Adam Scott",68,73.02,736,1008,-235,"GreensorFringeinRegulation",2014
13,13,"Boo Weekley",73,73.02,736,1008,-131,"GreensorFringeinRegulation",2014
15,15,"Bill Haas",107,72.97,1077,1476,-261,"GreensorFringeinRegulation",2014
15,15,"Bo Van Pelt",83,72.97,880,1206,-199,"GreensorFringeinRegulation",2014
17,17,"Bubba Watson",76,72.92,735,1008,-225,"GreensorFringeinRegulation",2014
18,18,"Matt Kuchar",91,72.88,997,1368,-274,"GreensorFringeinRegulation",2014
19,19,"John Merrick",87,72.84,944,1296,-194,"GreensorFringeinRegulation",2014
20,20,"Henrik Stenson",56,72.81,498,684,-141,"GreensorFringeinRegulation",2014
21,21,"Heath Slocum",71,72.76,812,1116,-163,"GreensorFringeinRegulation",2014
22,22,"Robert Allenby",83,72.62,915,1260,-179,"GreensorFringeinRegulation",2014
23,23,"Jimmy Walker",98,72.53,953,1314,-285,"GreensorFringeinRegulation",2014
24,24,"John Senden",99,72.5,1057,1458,-270,"GreensorFringeinRegulation",2014
25,25,"Jhonattan Vegas",77,72.48,835,1152,-172,"GreensorFringeinRegulation",2014
26,26,"Harris English",95,72.3,963,1332,-254,"GreensorFringeinRegulation",2014
27,27,"Ken Duke",80,72.22,858,1188,-183,"GreensorFringeinRegulation",2014
27,27,"Dustin Johnson",58,72.22,533,738,-168,"GreensorFringeinRegulation",2014
27,27,"Andrew Svoboda",77,72.22,858,1188,-197,"GreensorFringeinRegulation",2014
30,30,"Kevin Chappell",100,72.16,1130,1566,-302,"GreensorFringeinRegulation",2014
30,30,"Zach Johnson",97,72.16,1091,1512,-290,"GreensorFringeinRegulation",2014
32,32,"Bud Cauley",56,72.1,597,828,-133,"GreensorFringeinRegulation",2014
33,33,"Shawn Stefani",60,72.03,739,1026,-169,"GreensorFringeinRegulation",2014
34,34,"David Toms",64,72.02,700,972,-164,"GreensorFringeinRegulation",2014
35,35,"Kyle Stanley",87,71.91,932,1296,-159,"GreensorFringeinRegulation",2014
36,36,"Jason Dufner",57,71.83,543,756,-138,"GreensorFringeinRegulation",2014
36,36,"Brooks Koepka",56,71.83,543,756,-149,"GreensorFringeinRegulation",2014
36,36,"George McNeill",79,71.83,905,1260,-238,"GreensorFringeinRegulation",2014
36,36,"Brendan Steele",89,71.83,905,1260,-232,"GreensorFringeinRegulation",2014
40,40,"Charles Howell III",106,71.81,1228,1710,-313,"GreensorFringeinRegulation",2014
41,41,"Billy Hurley III",86,71.76,930,1296,-201,"GreensorFringeinRegulation",2014
42,42,"Lucas Glover",68,71.75,607,846,-113,"GreensorFringeinRegulation",2014
43,43,"Gary Woodland",93,71.61,941,1314,-239,"GreensorFringeinRegulation",2014
44,44,"Daniel Summerhays",98,71.53,1133,1584,-293,"GreensorFringeinRegulation",2014
44,44,"Will Wilcox",51,71.53,515,720,-122,"GreensorFringeinRegulation",2014
46,46,"Ryan Moore",86,71.42,797,1116,-215,"GreensorFringeinRegulation",2014
47,47,"Hunter Mahan",88,71.22,923,1296,-219,"GreensorFringeinRegulation",2014
48,48,"Justin Rose",70,71.15,666,936,-184,"GreensorFringeinRegulation",2014
49,49,"Keegan Bradley",89,71.14,858,1206,-230,"GreensorFringeinRegulation",2014
49,49,"Stewart Cink",91,71.14,922,1296,-216,"GreensorFringeinRegulation",2014
51,51,"Camilo Villegas",95,71.1,1075,1512,-275,"GreensorFringeinRegulation",2014
52,52,"Michael Putnam",106,71,1163,1638,-259,"GreensorFringeinRegulation",2014
53,53,"Cameron Tringale",111,70.92,1251,1764,-306,"GreensorFringeinRegulation",2014
54,54,"Martin Laird",66,70.91,702,990,-178,"GreensorFringeinRegulation",2014
55,55,"Charley Hoffman",93,70.83,969,1368,-274,"GreensorFringeinRegulation",2014
56,56,"Martin Flores",85,70.75,866,1224,-195,"GreensorFringeinRegulation",2014
57,57,"Webb Simpson",87,70.72,942,1332,-258,"GreensorFringeinRegulation",2014
58,58,"John Peterson",62,70.71,700,990,-137,"GreensorFringeinRegulation",2014
59,59,"Carl Pettersson",91,70.59,1080,1530,-252,"GreensorFringeinRegulation",2014
60,60,"Angel Cabrera",69,70.58,775,1098,-195,"GreensorFringeinRegulation",2014
61,61,"Ryan Palmer",85,70.56,851,1206,-255,"GreensorFringeinRegulation",2014
62,62,"Scott Brown",100,70.55,1054,1494,-278,"GreensorFringeinRegulation",2014
63,63,"Seung Yul Noh",92,70.44,951,1350,-236,"GreensorFringeinRegulation",2014
64,64,"Robert Streb",75,70.4,811,1152,-205,"GreensorFringeinRegulation",2014
64,64,"Nicholas Thompson",85,70.4,887,1260,-164,"GreensorFringeinRegulation",2014
66,66,"Jason Kokrak",65,70.13,770,1098,-222,"GreensorFringeinRegulation",2014
67,67,"Jeff Overton",80,70.03,832,1188,-202,"GreensorFringeinRegulation",2014
68,68,"Ted Potter Jr",68,70,756,1080,-153,"GreensorFringeinRegulation",2014
69,69,"Vijay Singh",83,69.96,957,1368,-209,"GreensorFringeinRegulation",2014
70,70,"David Hearn",97,69.92,1032,1476,-265,"GreensorFringeinRegulation",2014
71,71,"Robert Garrigus",80,69.86,918,1314,-249,"GreensorFringeinRegulation",2014
71,71,"Charl Schwartzel",64,69.86,679,972,-202,"GreensorFringeinRegulation",2014
73,73,"Kevin Kisner",85,69.76,879,1260,-236,"GreensorFringeinRegulation",2014
74,74,"Brice Garnett",92,69.73,979,1404,-234,"GreensorFringeinRegulation",2014
75,75,"Scott Langley",95,69.69,991,1422,-248,"GreensorFringeinRegulation",2014
76,76,"Chris Stroud",88,69.68,903,1296,-243,"GreensorFringeinRegulation",2014
77,77,"Marc Leishman",81,69.57,864,1242,-230,"GreensorFringeinRegulation",2014
78,78,"Tim Clark",75,69.53,776,1116,-186,"GreensorFringeinRegulation",2014
79,79,"Ricky Barnes",92,69.52,976,1404,-243,"GreensorFringeinRegulation",2014
80,80,"Ben Martin",80,69.49,788,1134,-202,"GreensorFringeinRegulation",2014
81,81,"Jason Bohn",81,69.48,913,1314,-218,"GreensorFringeinRegulation",2014
82,82,"Brendon de Jonge",109,69.44,1150,1656,-279,"GreensorFringeinRegulation",2014
82,82,"Hideki Matsuyama",82,69.44,800,1152,-232,"GreensorFringeinRegulation",2014
84,84,"Pat Perez",84,69.41,937,1350,-221,"GreensorFringeinRegulation",2014
85,85,"Troy Merritt",62,69.39,687,990,-165,"GreensorFringeinRegulation",2014
86,86,"Kevin Streelman",79,69.35,749,1080,-205,"GreensorFringeinRegulation",2014
86,86,"Michael Thompson",74,69.35,749,1080,-195,"GreensorFringeinRegulation",2014
88,88,"James Hahn",82,69.31,910,1313,-201,"GreensorFringeinRegulation",2014
88,88,"Brian Harman",111,69.31,1260,1818,-339,"GreensorFringeinRegulation",2014
90,90,"Kevin Na",94,69.3,973,1404,-263,"GreensorFringeinRegulation",2014
91,91,"Jerry Kelly",80,69.28,823,1188,-214,"GreensorFringeinRegulation",2014
92,92,"Will Ma Kenzie",82,69.25,910,1314,-236,"GreensorFringeinRegulation",2014
93,93,"Charlie Beljan",76,69.24,835,1206,-209,"GreensorFringeinRegulation",2014
94,94,"Martin Kaymer",65,69.21,598,864,-153,"GreensorFringeinRegulation",2014
95,95,"Geoff Ogilvy",84,69.18,909,1314,-195,"GreensorFringeinRegulation",2014
96,96,"Tommy Gainey",73,69.17,747,1080,-174,"GreensorFringeinRegulation",2014
97,97,"John Huh",87,69.13,871,1260,-178,"GreensorFringeinRegulation",2014
98,98,"Josh Teater",90,69.11,933,1350,-213,"GreensorFringeinRegulation",2014
99,99,"Paul Casey",56,69.07,547,792,-163,"GreensorFringeinRegulation",2014
100,100,"Trevor Immelman",84,69.05,832,1205,-175,"GreensorFringeinRegulation",2014
101,101,"Davis Love III",74,68.96,782,1134,-169,"GreensorFringeinRegulation",2014
101,101,"Graeme McDowell",66,68.96,571,828,-159,"GreensorFringeinRegulation",2014
103,103,"Brad Fritsch",50,68.95,484,702,-116,"GreensorFringeinRegulation",2014
104,104,"Brian Stuard",91,68.92,918,1332,-236,"GreensorFringeinRegulation",2014
105,105,"Jonathan Byrd",76,68.8,805,1170,-182,"GreensorFringeinRegulation",2014
105,105,"Chris Kirk",105,68.8,1065,1548,-305,"GreensorFringeinRegulation",2014
107,107,"Danny Lee",84,68.76,854,1242,-204,"GreensorFringeinRegulation",2014
108,108,"Jim Herman",62,68.75,594,864,-122,"GreensorFringeinRegulation",2014
109,109,"Louis Oosthuizen",50,68.7,371,540,-75,"GreensorFringeinRegulation",2014
110,110,"Kevin Tway",64,68.68,581,846,-114,"GreensorFringeinRegulation",2014
111,111,"Jeff Maggert",54,68.56,543,792,-96,"GreensorFringeinRegulation",2014
112,112,"Briny Baird",50,68.52,555,810,-114,"GreensorFringeinRegulation",2014
113,113,"Rickie Fowler",91,68.46,764,1116,-223,"GreensorFringeinRegulation",2014
113,113,"Ryo Ishikawa",75,68.46,764,1116,-223,"GreensorFringeinRegulation",2014
115,115,"Retief Goosen",94,68.45,961,1404,-236,"GreensorFringeinRegulation",2014
116,116,"John Rollins",84,68.41,825,1206,-163,"GreensorFringeinRegulation",2014
117,117,"Jim Renner",61,68.38,640,936,-128,"GreensorFringeinRegulation",2014
118,118,"Jamie Lovemark",64,68.32,578,846,-140,"GreensorFringeinRegulation",2014
119,119,"Stuart Appleby",92,68.25,1032,1512,-264,"GreensorFringeinRegulation",2014
120,120,"Mark Wilson",69,68.23,700,1026,-131,"GreensorFringeinRegulation",2014
121,121,"Sangmoon Bae",76,68.21,798,1170,-221,"GreensorFringeinRegulation",2014
122,122,"Brendon Todd",108,68.13,1116,1638,-285,"GreensorFringeinRegulation",2014
123,123,"Spencer Levin",59,68.11,613,900,-131,"GreensorFringeinRegulation",2014
124,124,"Rory Sabbatini",82,68.03,796,1170,-167,"GreensorFringeinRegulation",2014
125,125,"David Lingmerth",80,67.99,820,1206,-199,"GreensorFringeinRegulation",2014
126,126,"Luke Donald",57,67.93,538,792,-138,"GreensorFringeinRegulation",2014
127,127,"William McGirt",96,67.92,1027,1512,-269,"GreensorFringeinRegulation",2014
128,128,"Wes Roach",67,67.78,610,900,-141,"GreensorFringeinRegulation",2014
128,128,"Tyrone Van Aswegen",79,67.78,793,1170,-194,"GreensorFringeinRegulation",2014
130,130,"Brandt Snedeker",89,67.76,805,1188,-216,"GreensorFringeinRegulation",2014
131,131,"Derek Ernst",80,67.72,768,1134,-154,"GreensorFringeinRegulation",2014
131,131,"Johnson Wagner",69,67.72,707,1044,-152,"GreensorFringeinRegulation",2014
133,133,"Troy Matteson",62,67.69,597,882,-131,"GreensorFringeinRegulation",2014
134,134,"Ben Crane",81,67.66,950,1404,-220,"GreensorFringeinRegulation",2014
135,135,"Ben Curtis",77,67.62,779,1152,-179,"GreensorFringeinRegulation",2014
135,135,"Luke Guthrie",85,67.62,925,1368,-247,"GreensorFringeinRegulation",2014
137,137,"Chesson Hadley",84,67.61,864,1278,-218,"GreensorFringeinRegulation",2014
138,138,"Matt Jones",83,67.59,730,1080,-208,"GreensorFringeinRegulation",2014
139,139,"Scott Stallings",77,67.55,766,1134,-170,"GreensorFringeinRegulation",2014
140,140,"Steven Bowditch",93,67.52,948,1404,-230,"GreensorFringeinRegulation",2014
141,141,"Jason Day",54,67.51,401,594,-114,"GreensorFringeinRegulation",2014
142,142,"Sean OHair",77,67.41,813,1206,-186,"GreensorFringeinRegulation",2014
