"ConsecutiveSandSaves_RANKTHISWEEK_2013","ConsecutiveSandSaves_RANKLASTWEEK_2013","ConsecutiveSandSaves_PLAYERNAME_2013","ConsecutiveSandSaves_EVENTS_2013","ConsecutiveSandSaves_STREAK_2013","ConsecutiveSandSaves_CURRENTSTREAK_2013","ConsecutiveSandSaves_ROUND_2013","ConsecutiveSandSaves_HOLE_2013","ConsecutiveSandSaves_YEARTOURN_2013","stat_name","year"
1,1,"Stuart Appleby",25,12,1,1,2,2013130,"ConsecutiveSandSaves",2013
1,1,"Jonas Blixt",24,12,NA,1,7,2013220,"ConsecutiveSandSaves",2013
1,1,"Jason Day",21,12,3,1,13,2013340,"ConsecutiveSandSaves",2013
1,1,"Matt Kuchar",23,12,1,1,8,2013340,"ConsecutiveSandSaves",2013
5,5,"Martin Flores",25,11,1,2,2,2013290,"ConsecutiveSandSaves",2013
5,5,"Lee Janzen",11,11,1,1,9,2013030,"ConsecutiveSandSaves",2013
5,5,"Shawn Stefani",21,11,NA,1,11,2013100,"ConsecutiveSandSaves",2013
8,8,"KJ Choi",24,10,NA,2,10,2013100,"ConsecutiveSandSaves",2013
8,8,"Brad Fritsch",24,10,NA,1,1,2013020,"ConsecutiveSandSaves",2013
8,8,"Brian Gay",24,10,NA,1,10,2013370,"ConsecutiveSandSaves",2013
8,8,"Lucas Glover",23,10,1,2,3,2013090,"ConsecutiveSandSaves",2013
8,8,"Peter Hanson",15,10,2,4,3,2013240,"ConsecutiveSandSaves",2013
8,8,"Russell Henley",24,10,NA,1,11,2013110,"ConsecutiveSandSaves",2013
8,8,"Hunter Mahan",25,10,1,1,13,2013320,"ConsecutiveSandSaves",2013
8,8,"Lee Williams",22,10,NA,3,7,2013170,"ConsecutiveSandSaves",2013
8,8,"Casey Wittenberg",27,10,NA,2,5,2013290,"ConsecutiveSandSaves",2013
17,17,"Sangmoon Bae",26,9,NA,2,18,2013260,"ConsecutiveSandSaves",2013
17,17,"Steven Bowditch",22,9,NA,4,2,2013280,"ConsecutiveSandSaves",2013
17,17,"Luke Guthrie",27,9,1,2,15,2013070,"ConsecutiveSandSaves",2013
17,17,"Dustin Johnson",22,9,NA,3,5,2013320,"ConsecutiveSandSaves",2013
17,17,"Robert Karlsson",18,9,NA,2,14,2013210,"ConsecutiveSandSaves",2013
17,17,"Justin Leonard",24,9,2,1,13,2013050,"ConsecutiveSandSaves",2013
17,17,"Rod Pampling",16,9,NA,3,7,2013290,"ConsecutiveSandSaves",2013
17,17,"John Rollins",24,9,2,3,1,2013040,"ConsecutiveSandSaves",2013
17,17,"Kevin Streelman",25,9,3,4,11,2013030,"ConsecutiveSandSaves",2013
17,17,"Nicholas Thompson",29,9,4,2,5,2013300,"ConsecutiveSandSaves",2013
17,17,"Lee Westwood",19,9,NA,1,13,2013140,"ConsecutiveSandSaves",2013
28,28,"Kiradech Aphibarnrat",3,8,3,2,12,2013340,"ConsecutiveSandSaves",2013
28,28,"Ben Crane",21,8,7,1,4,2013240,"ConsecutiveSandSaves",2013
28,28,"Brian Davis",28,8,NA,1,11,2013220,"ConsecutiveSandSaves",2013
28,28,"Harris English",26,8,1,4,1,2013150,"ConsecutiveSandSaves",2013
28,28,"Rickie Fowler",22,8,1,2,7,2013130,"ConsecutiveSandSaves",2013
28,28,"Sergio Garcia",17,8,NA,2,4,2013110,"ConsecutiveSandSaves",2013
28,28,"Tom Gillis",22,8,3,1,4,2013090,"ConsecutiveSandSaves",2013
28,28,"John Huh",28,8,1,2,2,2013120,"ConsecutiveSandSaves",2013
28,28,"Doug LaBelle II",23,8,2,3,8,2013190,"ConsecutiveSandSaves",2013
28,28,"David Lingmerth",23,8,1,3,16,2013020,"ConsecutiveSandSaves",2013
28,28,"Jeff Maggert",21,8,NA,4,14,2013020,"ConsecutiveSandSaves",2013
28,28,"Hideki Matsuyama",7,8,8,1,18,2013340,"ConsecutiveSandSaves",2013
28,28,"William McGirt",24,8,4,4,12,2013300,"ConsecutiveSandSaves",2013
28,28,"Patrick Reed",26,8,2,4,12,2013320,"ConsecutiveSandSaves",2013
28,28,"Tag Ridings",24,8,1,1,17,2013130,"ConsecutiveSandSaves",2013
28,28,"Andres Romero",21,8,NA,1,6,2013090,"ConsecutiveSandSaves",2013
28,28,"Brandt Snedeker",23,8,2,4,7,2013350,"ConsecutiveSandSaves",2013
28,28,"Darron Stiles",20,8,NA,3,11,2013060,"ConsecutiveSandSaves",2013
28,28,"Steve Stricker",13,8,NA,2,3,2013010,"ConsecutiveSandSaves",2013
28,28,"Michael Thompson",22,8,2,2,1,2013220,"ConsecutiveSandSaves",2013
28,28,"Mike Weir",22,8,3,2,16,2013190,"ConsecutiveSandSaves",2013
49,49,"Stephen Ames",19,7,2,4,1,2013020,"ConsecutiveSandSaves",2013
49,49,"Arjun Atwal",8,7,NA,3,11,2013060,"ConsecutiveSandSaves",2013
49,49,"Aaron Baddeley",24,7,NA,2,12,2013250,"ConsecutiveSandSaves",2013
49,49,"Cameron Beckman",8,7,1,1,6,2013100,"ConsecutiveSandSaves",2013
49,49,"Matt Bettencourt",9,7,NA,1,18,2013100,"ConsecutiveSandSaves",2013
49,49,"Roberto Castro",29,7,1,4,15,2013230,"ConsecutiveSandSaves",2013
49,49,"Greg Chalmers",25,7,1,1,11,2013120,"ConsecutiveSandSaves",2013
49,49,"Stewart Cink",22,7,NA,1,18,2013020,"ConsecutiveSandSaves",2013
49,49,"Tim Clark",20,7,NA,1,13,2013020,"ConsecutiveSandSaves",2013
49,49,"Jim Furyk",22,7,NA,2,8,2013320,"ConsecutiveSandSaves",2013
