"ProximitytoHolefromRough_RANKTHISWEEK_2014","ProximitytoHolefromRough_RANKLASTWEEK_2014","ProximitytoHolefromRough_PLAYERNAME_2014","ProximitytoHolefromRough_ROUNDS_2014","ProximitytoHolefromRough_AVGDTP_2014","ProximitytoHolefromRough_TOTALDISTANCEFEET_2014","ProximitytoHolefromRough_OFSHOTS_2014","ProximitytoHolefromRough_SCRAMBLINGRANK_2014","stat_name","year"
1,1,"Jim Furyk",84,NA,989.083,154,1,"ProximitytoHolefromRough",2014
2,2,"Luke Donald",57,NA,720.833,109,38,"ProximitytoHolefromRough",2014
2,2,"Tyrone Van Aswegen",79,NA,1022.667,156,94,"ProximitytoHolefromRough",2014
4,4,"Stuart Appleby",92,NA,1179.333,177,34,"ProximitytoHolefromRough",2014
5,5,"Kevin Na",94,NA,1288,191,4,"ProximitytoHolefromRough",2014
6,6,"Bud Cauley",56,NA,727.5,106,57,"ProximitytoHolefromRough",2014
6,6,"Rickie Fowler",91,NA,1317.833,194,17,"ProximitytoHolefromRough",2014
6,6,"Phil Mickelson",71,NA,1020.833,150,20,"ProximitytoHolefromRough",2014
6,6,"Justin Rose",70,NA,1019.25,149,31,"ProximitytoHolefromRough",2014
10,10,"Briny Baird",50,NA,523,76,118,"ProximitytoHolefromRough",2014
10,10,"Jason Day",54,NA,599.667,87,5,"ProximitytoHolefromRough",2014
12,12,"Ernie Els",85,NA,1255.583,180,26,"ProximitytoHolefromRough",2014
12,12,"Gonzalo Fdez Castano",83,NA,1364.917,196,100,"ProximitytoHolefromRough",2014
12,12,"Zach Johnson",97,NA,1342,191,36,"ProximitytoHolefromRough",2014
12,12,"Bryce Molder",77,NA,1084.333,154,44,"ProximitytoHolefromRough",2014
12,12,"Jordan Spieth",102,NA,1720.583,247,13,"ProximitytoHolefromRough",2014
17,17,"Roberto Castro",76,NA,1020.833,144,136,"ProximitytoHolefromRough",2014
17,17,"Ryo Ishikawa",75,NA,1011.333,142,152,"ProximitytoHolefromRough",2014
17,17,"Jerry Kelly",80,NA,1068,150,16,"ProximitytoHolefromRough",2014
17,17,"Bo Van Pelt",83,NA,895.167,126,101,"ProximitytoHolefromRough",2014
