"ApexHeight_RANKTHISWEEK_2012","ApexHeight_RANKLASTWEEK_2012","ApexHeight_PLAYERNAME_2012","ApexHeight_ROUNDS_2012","ApexHeight_AVG_2012","ApexHeight_TOTALAPEXHEIGHT_2012","ApexHeight_TOTALATTEMPTS_2012","ApexHeight_HIGHESTAPEXPOINT_2012","ApexHeight_LOWESTAPEXPOINT_2012","stat_name","year"
1,1,"JB Holmes",90,NA,NA,69,NA,NA,"ApexHeight",2012
2,2,"Kyle Stanley",86,NA,NA,52,NA,NA,"ApexHeight",2012
3,3,"Graham DeLaet",79,NA,NA,58,NA,NA,"ApexHeight",2012
4,4,"Ryan Palmer",81,NA,NA,68,NA,NA,"ApexHeight",2012
5,5,"John Daly",50,NA,NA,29,NA,NA,"ApexHeight",2012
6,6,"Troy Matteson",100,NA,NA,68,NA,NA,"ApexHeight",2012
7,7,"Josh Teater",97,NA,NA,74,NA,NA,"ApexHeight",2012
8,8,"Dustin Johnson",70,NA,NA,40,NA,NA,"ApexHeight",2012
9,9,"Keegan Bradley",90,NA,NA,58,NA,NA,"ApexHeight",2012
10,10,"Rickie Fowler",84,NA,NA,53,NA,NA,"ApexHeight",2012
11,11,"Robert Garrigus",89,NA,NA,65,NA,NA,"ApexHeight",2012
12,12,"Edward Loar",59,NA,NA,35,NA,NA,"ApexHeight",2012
13,13,"Harrison Frazar",56,NA,NA,40,NA,NA,"ApexHeight",2012
14,14,"David Hearn",95,NA,NA,76,NA,NA,"ApexHeight",2012
15,15,"Garth Mulroy",59,NA,NA,40,NA,NA,"ApexHeight",2012
16,16,"Daniel Chopra",55,NA,NA,36,NA,NA,"ApexHeight",2012
16,16,"Jason Day",57,NA,NA,41,NA,NA,"ApexHeight",2012
18,18,"Billy Mayfair",90,NA,NA,69,NA,NA,"ApexHeight",2012
19,19,"Ryo Ishikawa",54,NA,NA,30,NA,NA,"ApexHeight",2012
20,20,"Bud Cauley",99,NA,NA,87,NA,NA,"ApexHeight",2012
21,21,"Rory McIlroy",60,NA,NA,38,NA,NA,"ApexHeight",2012
22,22,"Erik Compton",81,NA,NA,48,NA,NA,"ApexHeight",2012
23,23,"Jonathan Byrd",69,NA,NA,44,NA,NA,"ApexHeight",2012
24,24,"Brandt Snedeker",81,NA,NA,61,NA,NA,"ApexHeight",2012
25,25,"Davis Love III",64,NA,NA,41,NA,NA,"ApexHeight",2012
26,26,"Robert Karlsson",54,NA,NA,37,NA,NA,"ApexHeight",2012
27,27,"Bill Haas",79,NA,NA,59,NA,NA,"ApexHeight",2012
28,28,"Charley Hoffman",88,NA,NA,73,NA,NA,"ApexHeight",2012
29,29,"Seung Yul Noh",105,NA,NA,75,NA,NA,"ApexHeight",2012
