"BirdieorBetterPercentage125150ya_RANKTHISWEEK_2012","BirdieorBetterPercentage125150ya_RANKLASTWEEK_2012","BirdieorBetterPercentage125150ya_PLAYERNAME_2012","BirdieorBetterPercentage125150ya_ROUNDS_2012","BirdieorBetterPercentage125150ya_Pct_2012","BirdieorBetterPercentage125150ya_TOTALBIRDIES_2012","BirdieorBetterPercentage125150ya_TOTALHOLES_2012","stat_name","year"
1,1,"Scott Dunlap",57,28.17,40,142,"BirdieorBetterPercentage125150ya",2012
2,2,"Rory McIlroy",60,27.4,40,146,"BirdieorBetterPercentage125150ya",2012
3,3,"Ken Duke",104,25.61,73,285,"BirdieorBetterPercentage125150ya",2012
4,4,"Jim Furyk",85,25.27,46,182,"BirdieorBetterPercentage125150ya",2012
4,4,"Kevin Na",80,25.27,46,182,"BirdieorBetterPercentage125150ya",2012
6,6,"Graeme McDowell",55,25,26,104,"BirdieorBetterPercentage125150ya",2012
7,7,"Bo Van Pelt",84,24.88,53,213,"BirdieorBetterPercentage125150ya",2012
8,8,"Erik Compton",81,24.44,44,180,"BirdieorBetterPercentage125150ya",2012
9,9,"Lee Westwood",60,24.39,30,123,"BirdieorBetterPercentage125150ya",2012
10,10,"Gavin Coles",72,24.16,36,149,"BirdieorBetterPercentage125150ya",2012
11,11,"Brian Gay",91,23.93,56,234,"BirdieorBetterPercentage125150ya",2012
12,12,"Steve Stricker",73,23.6,42,178,"BirdieorBetterPercentage125150ya",2012
13,13,"Ben Curtis",62,23.53,32,136,"BirdieorBetterPercentage125150ya",2012
14,14,"Miguel Angel Carballo",73,23.38,36,154,"BirdieorBetterPercentage125150ya",2012
15,15,"Robert Garrigus",89,23.37,61,261,"BirdieorBetterPercentage125150ya",2012
16,16,"Richard Lee",71,22.7,42,185,"BirdieorBetterPercentage125150ya",2012
17,17,"Kyle Thompson",51,22.56,30,133,"BirdieorBetterPercentage125150ya",2012
18,18,"Phil Mickelson",79,22.53,41,182,"BirdieorBetterPercentage125150ya",2012
