"Approach75100yardsRTPScore_RANKTHISWEEK_2014","Approach75100yardsRTPScore_RANKLASTWEEK_2014","Approach75100yardsRTPScore_PLAYERNAME_2014","Approach75100yardsRTPScore_ROUNDS_2014","Approach75100yardsRTPScore_AVGRTP_2014","stat_name","year"
1,1,"Ryo Ishikawa",75,-0.441,"Approach75100yardsRTPScore",2014
2,2,"Jason Dufner",57,-0.4,"Approach75100yardsRTPScore",2014
3,3,"Justin Leonard",75,-0.368,"Approach75100yardsRTPScore",2014
4,4,"Ben Curtis",77,-0.348,"Approach75100yardsRTPScore",2014
5,5,"Brad Fritsch",50,-0.333,"Approach75100yardsRTPScore",2014
6,6,"Billy Hurley III",86,-0.308,"Approach75100yardsRTPScore",2014
7,7,"Brian Harman",111,-0.307,"Approach75100yardsRTPScore",2014
8,8,"Greg Chalmers",85,-0.306,"Approach75100yardsRTPScore",2014
8,8,"Kevin Kisner",85,-0.306,"Approach75100yardsRTPScore",2014
10,10,"Tim Wilkinson",86,-0.292,"Approach75100yardsRTPScore",2014
11,11,"Rickie Fowler",91,-0.289,"Approach75100yardsRTPScore",2014
12,12,"Zach Johnson",97,-0.268,"Approach75100yardsRTPScore",2014
13,13,"Martin Laird",66,-0.261,"Approach75100yardsRTPScore",2014
13,13,"Rory Sabbatini",82,-0.261,"Approach75100yardsRTPScore",2014
13,13,"Charl Schwartzel",64,-0.261,"Approach75100yardsRTPScore",2014
16,16,"Brian Davis",93,-0.26,"Approach75100yardsRTPScore",2014
16,16,"Kevin Stadler",90,-0.26,"Approach75100yardsRTPScore",2014
18,18,"Steven Bowditch",93,-0.259,"Approach75100yardsRTPScore",2014
18,18,"David Toms",64,-0.259,"Approach75100yardsRTPScore",2014
20,20,"Charles Howell III",106,-0.256,"Approach75100yardsRTPScore",2014
21,21,"James Driscoll",71,-0.25,"Approach75100yardsRTPScore",2014
21,21,"Dustin Johnson",58,-0.25,"Approach75100yardsRTPScore",2014
23,23,"Luke Guthrie",85,-0.246,"Approach75100yardsRTPScore",2014
24,24,"Marc Leishman",81,-0.245,"Approach75100yardsRTPScore",2014
25,25,"Jonathan Byrd",76,-0.244,"Approach75100yardsRTPScore",2014
26,26,"Bill Haas",107,-0.243,"Approach75100yardsRTPScore",2014
26,26,"Jordan Spieth",102,-0.243,"Approach75100yardsRTPScore",2014
28,28,"Webb Simpson",87,-0.242,"Approach75100yardsRTPScore",2014
29,29,"Chad Collins",78,-0.233,"Approach75100yardsRTPScore",2014
30,30,"Matt Kuchar",91,-0.231,"Approach75100yardsRTPScore",2014
31,31,"Lee Westwood",57,-0.229,"Approach75100yardsRTPScore",2014
32,32,"Erik Compton",88,-0.226,"Approach75100yardsRTPScore",2014
33,33,"Brooks Koepka",56,-0.225,"Approach75100yardsRTPScore",2014
34,34,"Graeme McDowell",66,-0.222,"Approach75100yardsRTPScore",2014
34,34,"Jeff Overton",80,-0.222,"Approach75100yardsRTPScore",2014
36,36,"Heath Slocum",71,-0.221,"Approach75100yardsRTPScore",2014
37,37,"Jerry Kelly",80,-0.22,"Approach75100yardsRTPScore",2014
37,37,"Richard Lee",80,-0.22,"Approach75100yardsRTPScore",2014
37,37,"Hunter Mahan",88,-0.22,"Approach75100yardsRTPScore",2014
40,40,"Rory McIlroy",66,-0.219,"Approach75100yardsRTPScore",2014
41,41,"Shawn Stefani",60,-0.218,"Approach75100yardsRTPScore",2014
42,42,"Freddie Jacobson",91,-0.215,"Approach75100yardsRTPScore",2014
43,43,"Jason Day",54,-0.214,"Approach75100yardsRTPScore",2014
44,44,"Justin Hicks",103,-0.213,"Approach75100yardsRTPScore",2014
45,45,"William McGirt",96,-0.211,"Approach75100yardsRTPScore",2014
46,46,"Charley Hoffman",93,-0.209,"Approach75100yardsRTPScore",2014
47,47,"Pat Perez",84,-0.208,"Approach75100yardsRTPScore",2014
48,48,"Jason Bohn",81,-0.207,"Approach75100yardsRTPScore",2014
48,48,"JJ Henry",91,-0.207,"Approach75100yardsRTPScore",2014
50,50,"Jim Renner",61,-0.205,"Approach75100yardsRTPScore",2014
51,51,"Brendon Todd",108,-0.204,"Approach75100yardsRTPScore",2014
52,52,"Jim Furyk",84,-0.203,"Approach75100yardsRTPScore",2014
53,53,"Kevin Na",94,-0.2,"Approach75100yardsRTPScore",2014
53,53,"Jimmy Walker",98,-0.2,"Approach75100yardsRTPScore",2014
55,55,"David Lingmerth",80,-0.191,"Approach75100yardsRTPScore",2014
56,56,"Brendan Steele",89,-0.189,"Approach75100yardsRTPScore",2014
57,57,"Robert Allenby",83,-0.186,"Approach75100yardsRTPScore",2014
58,58,"Kevin Streelman",79,-0.185,"Approach75100yardsRTPScore",2014
59,59,"Russell Henley",92,-0.184,"Approach75100yardsRTPScore",2014
60,60,"Brian Stuard",91,-0.183,"Approach75100yardsRTPScore",2014
61,61,"Ian Poulter",57,-0.182,"Approach75100yardsRTPScore",2014
62,62,"John Senden",99,-0.18,"Approach75100yardsRTPScore",2014
63,63,"Bronson La Cassie",51,-0.179,"Approach75100yardsRTPScore",2014
63,63,"Boo Weekley",73,-0.179,"Approach75100yardsRTPScore",2014
65,65,"KJ Choi",80,-0.178,"Approach75100yardsRTPScore",2014
