"LeftRoughProximity_RANKTHISWEEK_2014","LeftRoughProximity_RANKLASTWEEK_2014","LeftRoughProximity_PLAYERNAME_2014","LeftRoughProximity_ROUNDS_2014","LeftRoughProximity_AVG_2014","LeftRoughProximity_ATTEMPTS_2014","LeftRoughProximity_TOTALDISTANCEFEET_2014","LeftRoughProximity_RELATIVETOPAR_2014","stat_name","year"
1,1,"Jamie Lovemark",64,NA,86,2879.417,11,"LeftRoughProximity",2014
2,2,"Sergio Garcia",61,NA,65,2332.583,0,"LeftRoughProximity",2014
3,3,"Brooks Koepka",56,NA,81,3003,-1,"LeftRoughProximity",2014
4,4,"Troy Merritt",62,NA,74,2769.667,8,"LeftRoughProximity",2014
5,5,"Vijay Singh",83,NA,133,5011.75,23,"LeftRoughProximity",2014
6,6,"Tim Clark",75,NA,74,2795.917,8,"LeftRoughProximity",2014
7,7,"Geoff Ogilvy",84,NA,143,5429.75,14,"LeftRoughProximity",2014
8,8,"Charles Howell III",106,NA,217,8328.667,-10,"LeftRoughProximity",2014
8,8,"Ryan Palmer",85,NA,138,5305.417,3,"LeftRoughProximity",2014
10,10,"Kyle Stanley",87,NA,111,4290.833,21,"LeftRoughProximity",2014
11,11,"Nicholas Thompson",85,NA,106,4129,24,"LeftRoughProximity",2014
12,12,"Bryce Molder",77,NA,82,3220.667,11,"LeftRoughProximity",2014
13,13,"Rickie Fowler",91,NA,99,3918.5,14,"LeftRoughProximity",2014
14,14,"Marc Leishman",81,NA,110,4385.25,7,"LeftRoughProximity",2014
15,15,"Angel Cabrera",69,NA,129,5172.25,14,"LeftRoughProximity",2014
15,15,"John Peterson",62,NA,84,3370,13,"LeftRoughProximity",2014
17,17,"Lucas Glover",68,NA,72,2894.333,17,"LeftRoughProximity",2014
18,18,"Dustin Johnson",58,NA,85,3443.333,3,"LeftRoughProximity",2014
18,18,"Hideki Matsuyama",82,NA,110,4450.667,5,"LeftRoughProximity",2014
18,18,"John Senden",99,NA,126,5101.917,15,"LeftRoughProximity",2014
21,21,"Stewart Cink",91,NA,141,5725,20,"LeftRoughProximity",2014
21,21,"Freddie Jacobson",91,NA,139,5638.083,10,"LeftRoughProximity",2014
23,23,"Harris English",95,NA,138,5610.583,18,"LeftRoughProximity",2014
23,23,"Kevin Stadler",90,NA,115,4676.75,29,"LeftRoughProximity",2014
25,25,"Adam Scott",68,NA,87,3542.833,0,"LeftRoughProximity",2014
25,25,"Kevin Tway",64,NA,80,3260.333,9,"LeftRoughProximity",2014
