"BallStriking_RANKTHISWEEK_2015","BallStriking_RANKLASTWEEK_2015","BallStriking_PLAYERNAME_2015","BallStriking_ROUNDS_2015","BallStriking_VALUE_2015","BallStriking_TOTALDRVRANK_2015","BallStriking_GIRRANK_2015","stat_name","year"
1,1,"Henrik Stenson",63,2,1,1,"BallStriking",2015
2,2,"Will Wilcox",58,6,2,4,"BallStriking",2015
3,3,"Jim Herman",88,11,9,2,"BallStriking",2015
4,4,"Paul Casey",87,13,8,5,"BallStriking",2015
4,4,"Justin Rose",69,13,4,9,"BallStriking",2015
6,6,"Lucas Glover",79,21,11,10,"BallStriking",2015
7,7,"Graham DeLaet",65,27,5,22,"BallStriking",2015
8,8,"Adam Scott",51,31,15,16,"BallStriking",2015
9,9,"Hideki Matsuyama",95,33,12,21,"BallStriking",2015
10,10,"Billy Horschel",99,36,18,18,"BallStriking",2015
11,11,"Alex Prugh",84,40,29,11,"BallStriking",2015
11,11,"Chez Reavie",56,40,25,15,"BallStriking",2015
13,13,"Kevin Streelman",95,41,16,25,"BallStriking",2015
14,14,"Daniel Berger",97,48,18,30,"BallStriking",2015
15,15,"Francesco Molinari",56,49,43,6,"BallStriking",2015
15,15,"Hudson Swafford",97,49,10,39,"BallStriking",2015
17,17,"Brendan Steele",88,56,16,40,"BallStriking",2015
18,18,"Jason Dufner",76,58,34,24,"BallStriking",2015
19,19,"Brooks Koepka",84,59,42,17,"BallStriking",2015
19,19,"Shawn Stefani",94,59,27,32,"BallStriking",2015
21,21,"Keegan Bradley",87,63,3,60,"BallStriking",2015
21,21,"Bubba Watson",71,63,44,19,"BallStriking",2015
23,23,"Russell Knox",96,65,58,7,"BallStriking",2015
24,24,"Jason Day",75,67,60,7,"BallStriking",2015
25,25,"Justin Thomas",106,68,41,27,"BallStriking",2015
26,26,"Nicholas Thompson",90,69,33,36,"BallStriking",2015
27,27,"John Peterson",84,72,31,41,"BallStriking",2015
28,28,"Webb Simpson",81,73,20,53,"BallStriking",2015
29,29,"Bill Haas",89,75,44,31,"BallStriking",2015
30,30,"Russell Henley",87,76,7,69,"BallStriking",2015
30,30,"Robert Streb",110,76,53,23,"BallStriking",2015
32,32,"Louis Oosthuizen",68,77,34,43,"BallStriking",2015
33,33,"Davis Love III",51,78,14,64,"BallStriking",2015
34,34,"Jim Furyk",71,80,66,14,"BallStriking",2015
35,35,"Jason Gore",76,81,20,61,"BallStriking",2015
36,36,"Zach Johnson",90,86,49,37,"BallStriking",2015
37,37,"Spencer Levin",99,89,44,45,"BallStriking",2015
38,38,"Ben Martin",93,90,56,34,"BallStriking",2015
38,38,"John Senden",80,90,22,68,"BallStriking",2015
40,40,"Johnson Wagner",68,92,66,26,"BallStriking",2015
41,41,"Sergio Garcia",59,93,34,59,"BallStriking",2015
