"BirdieorBetterPercentageLess125_RANKTHISWEEK_2009","BirdieorBetterPercentageLess125_RANKLASTWEEK_2009","BirdieorBetterPercentageLess125_PLAYERNAME_2009","BirdieorBetterPercentageLess125_ROUNDS_2009","BirdieorBetterPercentageLess125_Pct_2009","BirdieorBetterPercentageLess125_TOTALBIRDIES_2009","BirdieorBetterPercentageLess125_TOTALHOLES_2009","stat_name","year"
1,1,"Steve Stricker",81,33.06,81,245,"BirdieorBetterPercentageLess125",2009
2,2,"Dean Wilson",81,30.47,85,279,"BirdieorBetterPercentageLess125",2009
3,3,"Jim Furyk",86,30,75,250,"BirdieorBetterPercentageLess125",2009
4,4,"Bryce Molder",69,29.95,62,207,"BirdieorBetterPercentageLess125",2009
5,5,"John Mallinger",90,29.48,79,268,"BirdieorBetterPercentageLess125",2009
6,6,"Brian Davis",103,29.32,112,382,"BirdieorBetterPercentageLess125",2009
7,7,"Charlie Wi",92,29.11,85,292,"BirdieorBetterPercentageLess125",2009
8,8,"Paul Goydos",79,29.01,76,262,"BirdieorBetterPercentageLess125",2009
9,9,"Justin Leonard",95,28.09,91,324,"BirdieorBetterPercentageLess125",2009
10,10,"DA Points",99,27.8,82,295,"BirdieorBetterPercentageLess125",2009
11,11,"Brian Gay",96,27.63,92,333,"BirdieorBetterPercentageLess125",2009
12,12,"Tim Clark",81,27.56,70,254,"BirdieorBetterPercentageLess125",2009
12,12,"Scott Verplank",88,27.56,78,283,"BirdieorBetterPercentageLess125",2009
14,14,"Stephen Ames",77,27.4,57,208,"BirdieorBetterPercentageLess125",2009
15,15,"Geoff Ogilvy",78,27.27,69,253,"BirdieorBetterPercentageLess125",2009
16,16,"Ryuji Imada",85,27.14,73,269,"BirdieorBetterPercentageLess125",2009
17,17,"Mike Weir",85,27.04,73,270,"BirdieorBetterPercentageLess125",2009
18,18,"Woody Austin",84,26.92,77,286,"BirdieorBetterPercentageLess125",2009
19,19,"Jason Day",61,26.74,50,187,"BirdieorBetterPercentageLess125",2009
20,20,"Mark Calcavecchia",72,26.73,58,217,"BirdieorBetterPercentageLess125",2009
21,21,"Matt Weibring",65,26.7,59,221,"BirdieorBetterPercentageLess125",2009
22,22,"Zach Johnson",94,26.69,83,311,"BirdieorBetterPercentageLess125",2009
23,23,"Vaughn Taylor",88,26.63,86,323,"BirdieorBetterPercentageLess125",2009
24,24,"Steve Elkington",70,26.55,60,226,"BirdieorBetterPercentageLess125",2009
25,25,"Daniel Chopra",89,26.54,95,358,"BirdieorBetterPercentageLess125",2009
26,26,"Luke Donald",79,26.34,59,224,"BirdieorBetterPercentageLess125",2009
26,26,"Bob Estes",78,26.34,69,262,"BirdieorBetterPercentageLess125",2009
28,28,"Sergio Garcia",59,26.28,41,156,"BirdieorBetterPercentageLess125",2009
29,29,"Anthony Kim",76,26.15,74,283,"BirdieorBetterPercentageLess125",2009
30,30,"Alex Cejka",82,26.12,70,268,"BirdieorBetterPercentageLess125",2009
31,31,"Ian Poulter",59,26.11,41,157,"BirdieorBetterPercentageLess125",2009
32,32,"David Mathis",82,26.09,66,253,"BirdieorBetterPercentageLess125",2009
33,33,"Ken Duke",87,26.01,71,273,"BirdieorBetterPercentageLess125",2009
34,34,"Chad Campbell",90,25.66,68,265,"BirdieorBetterPercentageLess125",2009
34,34,"Webb Simpson",94,25.66,88,343,"BirdieorBetterPercentageLess125",2009
36,36,"Corey Pavin",73,25.54,47,184,"BirdieorBetterPercentageLess125",2009
36,36,"Aron Price",89,25.54,71,278,"BirdieorBetterPercentageLess125",2009
38,38,"Glen Day",79,25.44,72,283,"BirdieorBetterPercentageLess125",2009
39,39,"Greg Chalmers",85,25.4,64,252,"BirdieorBetterPercentageLess125",2009
40,40,"Freddie Jacobson",83,25.29,66,261,"BirdieorBetterPercentageLess125",2009
41,41,"Nick OHern",90,25.23,82,325,"BirdieorBetterPercentageLess125",2009
41,41,"John Senden",100,25.23,83,329,"BirdieorBetterPercentageLess125",2009
43,43,"Patrick Sheehan",51,25.17,38,151,"BirdieorBetterPercentageLess125",2009
44,44,"Brandt Snedeker",81,25.1,63,251,"BirdieorBetterPercentageLess125",2009
45,45,"Ben Crane",93,24.91,70,281,"BirdieorBetterPercentageLess125",2009
46,46,"KJ Choi",65,24.89,55,221,"BirdieorBetterPercentageLess125",2009
47,47,"Darron Stiles",52,24.73,46,186,"BirdieorBetterPercentageLess125",2009
48,48,"Kevin Streelman",97,24.71,86,348,"BirdieorBetterPercentageLess125",2009
49,49,"Tim Petrovic",97,24.69,79,320,"BirdieorBetterPercentageLess125",2009
50,50,"Chris Stroud",88,24.64,68,276,"BirdieorBetterPercentageLess125",2009
51,51,"Kevin Sutherland",96,24.62,65,264,"BirdieorBetterPercentageLess125",2009
52,52,"Ben Curtis",63,24.43,43,176,"BirdieorBetterPercentageLess125",2009
53,53,"Bill Haas",91,24.37,77,316,"BirdieorBetterPercentageLess125",2009
54,54,"Jimmy Walker",74,24.32,45,185,"BirdieorBetterPercentageLess125",2009
55,55,"David Toms",98,24.25,73,301,"BirdieorBetterPercentageLess125",2009
56,56,"Charley Hoffman",97,24.22,78,322,"BirdieorBetterPercentageLess125",2009
57,57,"Joe Ogilvie",85,24.21,77,318,"BirdieorBetterPercentageLess125",2009
58,58,"Chris Riley",77,24.07,58,241,"BirdieorBetterPercentageLess125",2009
59,59,"Tiger Woods",64,24.03,31,129,"BirdieorBetterPercentageLess125",2009
60,60,"Kenny Perry",92,23.97,70,292,"BirdieorBetterPercentageLess125",2009
61,61,"Retief Goosen",74,23.96,52,217,"BirdieorBetterPercentageLess125",2009
62,62,"Bob Heintz",59,23.9,49,205,"BirdieorBetterPercentageLess125",2009
63,63,"YE Yang",83,23.83,56,235,"BirdieorBetterPercentageLess125",2009
64,64,"Ryan Moore",89,23.77,58,244,"BirdieorBetterPercentageLess125",2009
