"ProximitytoHole_RANKTHISWEEK_2005","ProximitytoHole_RANKLASTWEEK_2005","ProximitytoHole_PLAYERNAME_2005","ProximitytoHole_ROUNDS_2005","ProximitytoHole_AVG_2005","ProximitytoHole_TOTALDISTANCEFEET_2005","ProximitytoHole_OFATTEMPTS_2005","ProximitytoHole_GIRRANK_2005","stat_name","year"
1,1,"Olin Browne",99,NA,47067.5,1492,15,"ProximitytoHole",2005
2,2,"Loren Roberts",54,NA,27318.5,863,89,"ProximitytoHole",2005
3,3,"Luke Donald",67,NA,23127,715,22,"ProximitytoHole",2005
4,4,"Jim Furyk",94,NA,41588.167,1281,7,"ProximitytoHole",2005
5,5,"Adam Scott",72,NA,30228.917,928,40,"ProximitytoHole",2005
6,6,"Bill Glasson",54,NA,25736.333,787,118,"ProximitytoHole",2005
7,7,"Fred Funk",102,NA,48217.583,1474,68,"ProximitytoHole",2005
8,8,"Tommy Armour III",103,NA,53922.75,1636,26,"ProximitytoHole",2005
8,8,"Kenny Perry",82,NA,35509.25,1075,3,"ProximitytoHole",2005
10,10,"Fred Couples",72,NA,25644.333,776,25,"ProximitytoHole",2005
10,10,"Darron Stiles",78,NA,41067.75,1241,60,"ProximitytoHole",2005
12,12,"Alex Cejka",84,NA,41458.25,1243,95,"ProximitytoHole",2005
12,12,"Shigeki Maruyama",99,NA,50869.75,1526,88,"ProximitytoHole",2005
14,14,"Jeff Hart",63,NA,34412.667,1029,160,"ProximitytoHole",2005
15,15,"Phillip Price",77,NA,38228.25,1137,98,"ProximitytoHole",2005
16,16,"David Toms",87,NA,38259.167,1135,39,"ProximitytoHole",2005
17,17,"JP Hayes",63,NA,32139.917,950,155,"ProximitytoHole",2005
17,17,"Heath Slocum",103,NA,54737.25,1617,23,"ProximitytoHole",2005
17,17,"Omar Uresti",84,NA,44499.333,1314,59,"ProximitytoHole",2005
20,20,"Kirk Triplett",55,NA,26763.833,787,121,"ProximitytoHole",2005
21,21,"Chad Campbell",95,NA,46170.917,1353,20,"ProximitytoHole",2005
22,22,"Bob Estes",92,NA,48832.25,1426,114,"ProximitytoHole",2005
22,22,"Robert Gamez",91,NA,49263.917,1438,119,"ProximitytoHole",2005
22,22,"Justin Leonard",78,NA,33400.25,975,94,"ProximitytoHole",2005
22,22,"Jeff Maggert",79,NA,36711.25,1073,84,"ProximitytoHole",2005
26,26,"Tim Clark",92,NA,39728.917,1154,123,"ProximitytoHole",2005
27,27,"Dudley Hart",84,NA,44487,1291,61,"ProximitytoHole",2005
27,27,"Arron Oberholser",65,NA,31434.25,911,50,"ProximitytoHole",2005
27,27,"Justin Rose",99,NA,54552.833,1583,29,"ProximitytoHole",2005
27,27,"Joey Sindelar",104,NA,60869.167,1765,19,"ProximitytoHole",2005
27,27,"Bo Van Pelt",112,NA,57394.333,1663,18,"ProximitytoHole",2005
32,32,"Stuart Appleby",84,NA,38988.417,1128,48,"ProximitytoHole",2005
32,32,"Craig Barlow",81,NA,39142,1132,53,"ProximitytoHole",2005
32,32,"Jeff Brehaut",71,NA,39185.75,1132,5,"ProximitytoHole",2005
32,32,"Mark Calcavecchia",92,NA,47233,1366,76,"ProximitytoHole",2005
