"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2015","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2015","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2015","AverageApproachDistanceBirdieorBetter_ROUNDS_2015","AverageApproachDistanceBirdieorBetter_AVGYARDS_2015","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2015","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2015","stat_name","year"
1,1,"Ben Crane",62,154.1,948569,171,"AverageApproachDistanceBirdieorBetter",2015
2,2,"Justin Leonard",61,156.6,969383,172,"AverageApproachDistanceBirdieorBetter",2015
3,3,"Jon Curran",83,157.8,1153364,203,"AverageApproachDistanceBirdieorBetter",2015
4,4,"David Toms",62,158,1001371,176,"AverageApproachDistanceBirdieorBetter",2015
5,5,"KJ Choi",66,158.4,1151708,202,"AverageApproachDistanceBirdieorBetter",2015
6,6,"Francesco Molinari",56,159.2,814024,142,"AverageApproachDistanceBirdieorBetter",2015
7,7,"Mark Wilson",89,159.3,1600192,279,"AverageApproachDistanceBirdieorBetter",2015
8,8,"Greg Owen",58,160.3,813600,141,"AverageApproachDistanceBirdieorBetter",2015
9,9,"Nicholas Thompson",90,160.9,1372995,237,"AverageApproachDistanceBirdieorBetter",2015
10,10,"Zac Blair",108,161.1,1682015,290,"AverageApproachDistanceBirdieorBetter",2015
11,11,"JJ Henry",94,161.3,1329567,229,"AverageApproachDistanceBirdieorBetter",2015
12,12,"Billy Hurley III",83,161.6,1070655,184,"AverageApproachDistanceBirdieorBetter",2015
13,13,"Brandt Snedeker",98,161.8,1648794,283,"AverageApproachDistanceBirdieorBetter",2015
14,14,"Tyrone Van Aswegen",58,162.3,811981,139,"AverageApproachDistanceBirdieorBetter",2015
15,15,"Colt Knost",90,162.4,1572354,269,"AverageApproachDistanceBirdieorBetter",2015
16,16,"Stewart Cink",77,162.7,1499189,256,"AverageApproachDistanceBirdieorBetter",2015
17,17,"David Hearn",97,162.8,1887223,322,"AverageApproachDistanceBirdieorBetter",2015
18,18,"Bryce Molder",91,163,1608054,274,"AverageApproachDistanceBirdieorBetter",2015
19,19,"Ken Duke",93,163.2,1598365,272,"AverageApproachDistanceBirdieorBetter",2015
20,20,"Jason Bohn",95,163.3,2028210,345,"AverageApproachDistanceBirdieorBetter",2015
21,21,"Jim Furyk",71,163.5,1147844,195,"AverageApproachDistanceBirdieorBetter",2015
22,22,"Jonas Blixt",78,163.6,1089775,185,"AverageApproachDistanceBirdieorBetter",2015
23,23,"Scott Piercy",90,163.9,1870714,317,"AverageApproachDistanceBirdieorBetter",2015
24,24,"Greg Chalmers",58,164.1,738299,125,"AverageApproachDistanceBirdieorBetter",2015
25,25,"Brendon Todd",96,164.2,1684973,285,"AverageApproachDistanceBirdieorBetter",2015
26,26,"Scott Langley",94,164.3,1608827,272,"AverageApproachDistanceBirdieorBetter",2015
27,27,"William McGirt",103,164.4,2030344,343,"AverageApproachDistanceBirdieorBetter",2015
28,28,"Fabian Gomez",83,164.5,1457248,246,"AverageApproachDistanceBirdieorBetter",2015
29,29,"Tom Hoge",83,164.8,1548069,261,"AverageApproachDistanceBirdieorBetter",2015
29,29,"Steve Wheatcroft",87,164.8,1673100,282,"AverageApproachDistanceBirdieorBetter",2015
31,31,"Jerry Kelly",79,164.9,1454106,245,"AverageApproachDistanceBirdieorBetter",2015
32,32,"Eric Axley",57,165.2,814698,137,"AverageApproachDistanceBirdieorBetter",2015
32,32,"Brian Davis",86,165.2,1397704,235,"AverageApproachDistanceBirdieorBetter",2015
34,34,"James Hahn",94,165.9,1738386,291,"AverageApproachDistanceBirdieorBetter",2015
34,34,"Tim Wilkinson",73,165.9,1039383,174,"AverageApproachDistanceBirdieorBetter",2015
36,36,"Whee Kim",71,166.2,1244194,208,"AverageApproachDistanceBirdieorBetter",2015
36,36,"Ryan Moore",81,166.2,1430192,239,"AverageApproachDistanceBirdieorBetter",2015
38,38,"Alex Cejka",94,166.3,1616330,270,"AverageApproachDistanceBirdieorBetter",2015
38,38,"Luke Donald",71,166.3,1113672,186,"AverageApproachDistanceBirdieorBetter",2015
40,40,"Troy Merritt",91,166.5,1618352,270,"AverageApproachDistanceBirdieorBetter",2015
41,41,"Ryan Palmer",80,166.8,1236682,206,"AverageApproachDistanceBirdieorBetter",2015
42,42,"Russell Knox",96,167.1,1961198,326,"AverageApproachDistanceBirdieorBetter",2015
43,43,"Steven Alker",62,167.3,1089919,181,"AverageApproachDistanceBirdieorBetter",2015
43,43,"Blayne Barber",76,167.3,1421746,236,"AverageApproachDistanceBirdieorBetter",2015
43,43,"Brian Stuard",97,167.3,1559789,259,"AverageApproachDistanceBirdieorBetter",2015
46,46,"Bill Lunde",50,167.7,682350,113,"AverageApproachDistanceBirdieorBetter",2015
46,46,"Chris Stroud",84,167.7,1551437,257,"AverageApproachDistanceBirdieorBetter",2015
48,48,"Adam Scott",51,167.9,731223,121,"AverageApproachDistanceBirdieorBetter",2015
49,49,"Robert Allenby",63,168.1,937810,155,"AverageApproachDistanceBirdieorBetter",2015
49,49,"David Lingmerth",90,168.1,1670580,276,"AverageApproachDistanceBirdieorBetter",2015
51,51,"Paul Casey",87,168.2,1543860,255,"AverageApproachDistanceBirdieorBetter",2015
52,52,"Ryo Ishikawa",90,168.3,1762756,291,"AverageApproachDistanceBirdieorBetter",2015
53,53,"Chad Collins",79,168.4,1297286,214,"AverageApproachDistanceBirdieorBetter",2015
53,53,"Spencer Levin",99,168.4,1666687,275,"AverageApproachDistanceBirdieorBetter",2015
53,53,"Bo Van Pelt",81,168.4,1424948,235,"AverageApproachDistanceBirdieorBetter",2015
56,56,"Chez Reavie",56,168.6,1116731,184,"AverageApproachDistanceBirdieorBetter",2015
57,57,"Jason Gore",76,168.7,1408632,232,"AverageApproachDistanceBirdieorBetter",2015
57,57,"Heath Slocum",57,168.7,710659,117,"AverageApproachDistanceBirdieorBetter",2015
59,59,"Jeff Overton",94,168.8,1629049,268,"AverageApproachDistanceBirdieorBetter",2015
59,59,"Johnson Wagner",68,168.8,1197135,197,"AverageApproachDistanceBirdieorBetter",2015
59,59,"Nick Watney",91,168.8,1823557,300,"AverageApproachDistanceBirdieorBetter",2015
62,62,"Daniel Summerhays",101,168.9,2006330,330,"AverageApproachDistanceBirdieorBetter",2015
63,63,"DA Points",72,169,1180538,194,"AverageApproachDistanceBirdieorBetter",2015
64,64,"Chad Campbell",97,169.2,1936455,318,"AverageApproachDistanceBirdieorBetter",2015
