"3PuttAvoidance_RANKTHISWEEK_2007","3PuttAvoidance_RANKLASTWEEK_2007","3PuttAvoidance_PLAYERNAME_2007","3PuttAvoidance_ROUNDS_2007","3PuttAvoidance_Pct_2007","3PuttAvoidance_TOTAL3PUTTS_2007","3PuttAvoidance_TOTALHOLESOVERALL_2007","stat_name","year"
1,1,"Sergio Garcia",68,1.6,19,1188,"3PuttAvoidance",2007
2,2,"Heath Slocum",101,1.71,31,1818,"3PuttAvoidance",2007
3,3,"Brandt Snedeker",105,1.75,33,1890,"3PuttAvoidance",2007
4,4,"Jose Maria Olazabal",52,1.78,16,900,"3PuttAvoidance",2007
5,5,"Tiger Woods",63,1.85,20,1080,"3PuttAvoidance",2007
6,6,"Jay Williamson",50,1.89,17,900,"3PuttAvoidance",2007
7,7,"Freddie Jacobson",70,1.98,25,1260,"3PuttAvoidance",2007
8,8,"Zach Johnson",76,2,27,1350,"3PuttAvoidance",2007
9,9,"Anders Hansen",55,2.02,20,990,"3PuttAvoidance",2007
10,10,"Tag Ridings",52,2.03,19,936,"3PuttAvoidance",2007
11,11,"Steve Stricker",81,2.08,30,1440,"3PuttAvoidance",2007
12,12,"Brian Gay",107,2.13,41,1926,"3PuttAvoidance",2007
12,12,"Tripp Isenhour",86,2.13,33,1548,"3PuttAvoidance",2007
14,14,"Phil Mickelson",73,2.19,28,1278,"3PuttAvoidance",2007
15,15,"Charlie Wi",90,2.22,36,1620,"3PuttAvoidance",2007
16,16,"Tim Clark",66,2.26,26,1152,"3PuttAvoidance",2007
17,17,"Nathan Green",103,2.27,42,1854,"3PuttAvoidance",2007
17,17,"Bob Tway",103,2.27,42,1854,"3PuttAvoidance",2007
19,19,"Nick OHern",72,2.29,28,1224,"3PuttAvoidance",2007
20,20,"Shigeki Maruyama",84,2.31,35,1512,"3PuttAvoidance",2007
21,21,"Aaron Baddeley",83,2.36,34,1440,"3PuttAvoidance",2007
22,22,"Scott Verplank",82,2.4,35,1458,"3PuttAvoidance",2007
23,23,"Gavin Coles",87,2.43,38,1566,"3PuttAvoidance",2007
24,24,"Richard Johnson",93,2.45,41,1674,"3PuttAvoidance",2007
