"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2006","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2006","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2006","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2006","FirstTeeEarlyPar5ScoringAverage_AVG_2006","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2006","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2006","stat_name","year"
1,1,"Jim Furyk",89,4.45,236,53,"FirstTeeEarlyPar5ScoringAverage",2006
2,2,"Chris Couch",75,4.46,272,61,"FirstTeeEarlyPar5ScoringAverage",2006
3,3,"Trevor Immelman",86,4.47,322,72,"FirstTeeEarlyPar5ScoringAverage",2006
4,4,"Lucas Glover",105,4.49,494,110,"FirstTeeEarlyPar5ScoringAverage",2006
4,4,"Arron Oberholser",82,4.49,319,71,"FirstTeeEarlyPar5ScoringAverage",2006
6,6,"Phil Mickelson",74,4.52,289,64,"FirstTeeEarlyPar5ScoringAverage",2006
7,7,"Tiger Woods",55,4.53,68,15,"FirstTeeEarlyPar5ScoringAverage",2006
8,8,"Mathias Gronberg",92,4.54,381,84,"FirstTeeEarlyPar5ScoringAverage",2006
8,8,"John Rollins",93,4.54,336,74,"FirstTeeEarlyPar5ScoringAverage",2006
8,8,"Vijay Singh",103,4.54,309,68,"FirstTeeEarlyPar5ScoringAverage",2006
11,11,"Briny Baird",81,4.55,282,62,"FirstTeeEarlyPar5ScoringAverage",2006
11,11,"Tim Clark",80,4.55,391,86,"FirstTeeEarlyPar5ScoringAverage",2006
11,11,"Len Mattiace",59,4.55,223,49,"FirstTeeEarlyPar5ScoringAverage",2006
11,11,"Jesper Parnevik",84,4.55,460,101,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Steve Elkington",52,4.56,178,39,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Ernie Els",69,4.56,164,36,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Mathew Goggin",72,4.56,333,73,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Davis Love III",85,4.56,415,91,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Hunter Mahan",98,4.56,461,101,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Pat Perez",50,4.56,301,66,"FirstTeeEarlyPar5ScoringAverage",2006
15,15,"Chris Smith",67,4.56,187,41,"FirstTeeEarlyPar5ScoringAverage",2006
22,22,"Rich Beem",85,4.57,484,106,"FirstTeeEarlyPar5ScoringAverage",2006
22,22,"Harrison Frazar",95,4.57,393,86,"FirstTeeEarlyPar5ScoringAverage",2006
22,22,"Bernhard Langer",77,4.57,370,81,"FirstTeeEarlyPar5ScoringAverage",2006
22,22,"Greg Owen",79,4.57,315,69,"FirstTeeEarlyPar5ScoringAverage",2006
26,26,"Daniel Chopra",110,4.58,371,81,"FirstTeeEarlyPar5ScoringAverage",2006
26,26,"Charley Hoffman",100,4.58,403,88,"FirstTeeEarlyPar5ScoringAverage",2006
26,26,"Mike Weir",88,4.58,412,90,"FirstTeeEarlyPar5ScoringAverage",2006
29,29,"Richard Johnson",94,4.59,344,75,"FirstTeeEarlyPar5ScoringAverage",2006
29,29,"Stephen Leaney",84,4.59,431,94,"FirstTeeEarlyPar5ScoringAverage",2006
29,29,"Brett Quigley",109,4.59,399,87,"FirstTeeEarlyPar5ScoringAverage",2006
29,29,"Steve Stricker",64,4.59,179,39,"FirstTeeEarlyPar5ScoringAverage",2006
33,33,"Robert Garrigus",85,4.6,368,80,"FirstTeeEarlyPar5ScoringAverage",2006
33,33,"Troy Matteson",101,4.6,419,91,"FirstTeeEarlyPar5ScoringAverage",2006
33,33,"Jon Mills",68,4.6,336,73,"FirstTeeEarlyPar5ScoringAverage",2006
36,36,"John Cook",67,4.61,369,80,"FirstTeeEarlyPar5ScoringAverage",2006
36,36,"David Duval",71,4.61,466,101,"FirstTeeEarlyPar5ScoringAverage",2006
36,36,"Tom Pernice Jr",108,4.61,392,85,"FirstTeeEarlyPar5ScoringAverage",2006
36,36,"Bo Van Pelt",102,4.61,461,100,"FirstTeeEarlyPar5ScoringAverage",2006
36,36,"Charles Warren",93,4.61,479,104,"FirstTeeEarlyPar5ScoringAverage",2006
41,41,"Jonathan Byrd",66,4.62,300,65,"FirstTeeEarlyPar5ScoringAverage",2006
41,41,"Todd Fischer",101,4.62,522,113,"FirstTeeEarlyPar5ScoringAverage",2006
41,41,"JJ Henry",96,4.62,467,101,"FirstTeeEarlyPar5ScoringAverage",2006
