"PresidentsCupInternational_RANKTHISWEEK_2012","PresidentsCupInternational_RANKLASTWEEK_2012","PresidentsCupInternational_PLAYERNAME_2012","PresidentsCupInternational_EVENTS_2012","PresidentsCupInternational_AVGPOINTS_2012","PresidentsCupInternational_TOTALPOINTS_2012","PresidentsCupInternational_POINTSLOST_2012","PresidentsCupInternational_POINTSGAINED_2012","stat_name","year"
1,1,"Adam Scott",42,6.21,260.71,-212.63,215.02,"PresidentsCupInternational",2012
2,2,"Louis Oosthuizen",52,6.14,319.27,-179.83,334.85,"PresidentsCupInternational",2012
3,3,"Charl Schwartzel",52,4.9,254.7,-222.23,205.41,"PresidentsCupInternational",2012
4,4,"Ernie Els",52,4.34,225.54,-155.4,252.88,"PresidentsCupInternational",2012
5,5,"Branden Grace",52,3.17,164.58,-65.55,197.4,"PresidentsCupInternational",2012
6,6,"Jason Day",44,2.89,127.08,-195.35,79.01,"PresidentsCupInternational",2012
7,7,"John Senden",52,2.85,148.11,-128.55,118.23,"PresidentsCupInternational",2012
8,8,"Hiroyuki Fujita",52,2.64,137.44,-102.3,122.29,"PresidentsCupInternational",2012
9,9,"KJ Choi",52,2.3,119.52,-182.66,69.16,"PresidentsCupInternational",2012
10,10,"George Coetzee",52,2.27,117.84,-80.3,104.6,"PresidentsCupInternational",2012
11,11,"Geoff Ogilvy",48,2.18,104.69,-128.47,80.02,"PresidentsCupInternational",2012
12,12,"Marcus Fraser",52,2.13,110.88,-66.46,91.2,"PresidentsCupInternational",2012
13,13,"Greg Chalmers",52,2.02,104.94,-83.57,69.89,"PresidentsCupInternational",2012
14,15,"Thaworn Wiratchant",52,1.99,103.34,-47.38,100.43,"PresidentsCupInternational",2012
15,14,"Sangmoon Bae",52,1.99,103.29,-107.87,72.46,"PresidentsCupInternational",2012
16,16,"KT Kim",52,1.95,101.49,-149.96,66.09,"PresidentsCupInternational",2012
17,17,"Brendan Jones",45,1.91,86.14,-68.89,80.4,"PresidentsCupInternational",2012
18,18,"Ryo Ishikawa",52,1.88,97.81,-128.17,93.46,"PresidentsCupInternational",2012
19,20,"Toru Taniguchi",49,1.82,89.12,-78.7,61.78,"PresidentsCupInternational",2012
20,19,"Aaron Baddeley",49,1.8,88.39,-125.57,66.05,"PresidentsCupInternational",2012
21,22,"Thongchai Jaidee",52,1.76,91.32,-63.22,92.67,"PresidentsCupInternational",2012
22,21,"Vijay Singh",52,1.73,90.2,-96.74,77.61,"PresidentsCupInternational",2012
23,23,"Brendon de Jonge",52,1.73,90.13,-70.28,93.52,"PresidentsCupInternational",2012
24,24,"Marc Leishman",52,1.67,86.64,-63.01,91.65,"PresidentsCupInternational",2012
25,25,"Gaganjeet Bhullar",41,1.65,67.8,-21.38,72.01,"PresidentsCupInternational",2012
26,26,"Tim Clark",40,1.62,64.98,-74.02,71.65,"PresidentsCupInternational",2012
27,27,"Seung Yul Noh",52,1.6,83.07,-77,79.45,"PresidentsCupInternational",2012
28,28,"Jeev Milkha Singh",52,1.59,82.83,-51.12,80.58,"PresidentsCupInternational",2012
29,29,"Koumei Oda",52,1.54,80.06,-63.09,50.46,"PresidentsCupInternational",2012
30,30,"Yuta Ikeda",52,1.53,79.7,-91.6,68.63,"PresidentsCupInternational",2012
31,31,"Toshinori Muto",52,1.53,79.39,-46.21,55.74,"PresidentsCupInternational",2012
32,32,"YE Yang",52,1.51,78.26,-120.84,45.61,"PresidentsCupInternational",2012
33,33,"Charlie Wi",52,1.49,77.45,-65.61,81.79,"PresidentsCupInternational",2012
34,34,"Retief Goosen",47,1.48,69.43,-137.04,69.72,"PresidentsCupInternational",2012
35,35,"Juvic Pagunsan",40,1.41,56.57,-28.94,40.28,"PresidentsCupInternational",2012
36,36,"Thomas Aiken",52,1.4,72.55,-78.8,58.26,"PresidentsCupInternational",2012
37,37,"Hyung Sung Kim",49,1.38,67.62,-25.29,65.14,"PresidentsCupInternational",2012
38,38,"Yoshinori Fujimoto",40,1.32,52.73,-11.62,58.61,"PresidentsCupInternational",2012
39,39,"Hideki Matsuyama",40,1.29,51.68,-23.14,38.27,"PresidentsCupInternational",2012
40,40,"Kenichi Kuboya",52,1.28,66.32,-45.3,44.13,"PresidentsCupInternational",2012
