"Roundsinthe60s_RANKTHISWEEK_2010","Roundsinthe60s_RANKLASTWEEK_2010","Roundsinthe60s_PLAYERNAME_2010","Roundsinthe60s_EVENTS_2010","Roundsinthe60s_TOTALRNDS_2010","stat_name","year"
1,NA,"Spencer Levin",31,52,"Roundsinthe60s",2010
2,NA,"Brendon de Jonge",32,49,"Roundsinthe60s",2010
2,NA,"Matt Kuchar",26,49,"Roundsinthe60s",2010
4,NA,"Bo Van Pelt",28,48,"Roundsinthe60s",2010
5,NA,"Charlie Wi",27,47,"Roundsinthe60s",2010
6,NA,"Charles Howell III",28,46,"Roundsinthe60s",2010
7,NA,"JB Holmes",26,44,"Roundsinthe60s",2010
7,NA,"Kevin Na",26,44,"Roundsinthe60s",2010
7,NA,"John Senden",30,44,"Roundsinthe60s",2010
10,NA,"Chad Collins",26,43,"Roundsinthe60s",2010
10,NA,"DJ Trahan",27,43,"Roundsinthe60s",2010
12,NA,"Pat Perez",27,42,"Roundsinthe60s",2010
13,NA,"Graham DeLaet",28,40,"Roundsinthe60s",2010
13,NA,"Tom Gillis",27,40,"Roundsinthe60s",2010
13,NA,"Tim Petrovic",32,40,"Roundsinthe60s",2010
13,NA,"Webb Simpson",31,40,"Roundsinthe60s",2010
17,NA,"Ricky Barnes",28,39,"Roundsinthe60s",2010
17,NA,"Brandt Snedeker",26,39,"Roundsinthe60s",2010
17,NA,"Josh Teater",31,39,"Roundsinthe60s",2010
20,NA,"Jason Bohn",25,38,"Roundsinthe60s",2010
20,NA,"Jeff Quinney",29,38,"Roundsinthe60s",2010
22,NA,"Greg Chalmers",27,37,"Roundsinthe60s",2010
22,NA,"Brian Gay",30,37,"Roundsinthe60s",2010
22,NA,"Charley Hoffman",24,37,"Roundsinthe60s",2010
22,NA,"James Nitties",30,37,"Roundsinthe60s",2010
22,NA,"Jeff Overton",26,37,"Roundsinthe60s",2010
22,NA,"Ryan Palmer",27,37,"Roundsinthe60s",2010
22,NA,"Kevin Sutherland",25,37,"Roundsinthe60s",2010
22,NA,"Nick Watney",24,37,"Roundsinthe60s",2010
22,NA,"Boo Weekley",27,37,"Roundsinthe60s",2010
31,NA,"Aaron Baddeley",26,36,"Roundsinthe60s",2010
31,NA,"Rickie Fowler",28,36,"Roundsinthe60s",2010
31,NA,"John Merrick",31,36,"Roundsinthe60s",2010
31,NA,"Carl Pettersson",29,36,"Roundsinthe60s",2010
31,NA,"Alex Prugh",28,36,"Roundsinthe60s",2010
31,NA,"Heath Slocum",25,36,"Roundsinthe60s",2010
37,NA,"Woody Austin",29,35,"Roundsinthe60s",2010
37,NA,"Chad Campbell",28,35,"Roundsinthe60s",2010
37,NA,"KJ Choi",22,35,"Roundsinthe60s",2010
37,NA,"Michael Connell",25,35,"Roundsinthe60s",2010
37,NA,"Ben Crane",24,35,"Roundsinthe60s",2010
37,NA,"Chris DiMarco",25,35,"Roundsinthe60s",2010
37,NA,"JJ Henry",27,35,"Roundsinthe60s",2010
37,NA,"Freddie Jacobson",24,35,"Roundsinthe60s",2010
37,NA,"Zach Johnson",25,35,"Roundsinthe60s",2010
37,NA,"Scott McCarron",29,35,"Roundsinthe60s",2010
37,NA,"Joe Ogilvie",32,35,"Roundsinthe60s",2010
37,NA,"Brett Quigley",29,35,"Roundsinthe60s",2010
37,NA,"Kevin Stadler",28,35,"Roundsinthe60s",2010
37,NA,"Kevin Streelman",28,35,"Roundsinthe60s",2010
51,NA,"Jonathan Byrd",26,34,"Roundsinthe60s",2010
51,NA,"Jason Dufner",25,34,"Roundsinthe60s",2010
51,NA,"Jim Furyk",21,34,"Roundsinthe60s",2010
51,NA,"Bill Haas",25,34,"Roundsinthe60s",2010
51,NA,"Richard Johnson",27,34,"Roundsinthe60s",2010
51,NA,"Justin Leonard",27,34,"Roundsinthe60s",2010
51,NA,"Garrett Willis",24,34,"Roundsinthe60s",2010
58,NA,"Paul Casey",17,33,"Roundsinthe60s",2010
58,NA,"Ryuji Imada",28,33,"Roundsinthe60s",2010
58,NA,"Matt Jones",27,33,"Roundsinthe60s",2010
58,NA,"Martin Laird",26,33,"Roundsinthe60s",2010
58,NA,"Vaughn Taylor",26,33,"Roundsinthe60s",2010
58,NA,"Mark Wilson",28,33,"Roundsinthe60s",2010
64,NA,"Blake Adams",26,32,"Roundsinthe60s",2010
64,NA,"Dustin Johnson",23,32,"Roundsinthe60s",2010
64,NA,"Michael Letzig",27,32,"Roundsinthe60s",2010
64,NA,"Ryan Moore",24,32,"Roundsinthe60s",2010
64,NA,"Chris Riley",24,32,"Roundsinthe60s",2010
64,NA,"Andres Romero",21,32,"Roundsinthe60s",2010
64,NA,"Steve Stricker",19,32,"Roundsinthe60s",2010
64,NA,"Chris Stroud",27,32,"Roundsinthe60s",2010
64,NA,"David Toms",25,32,"Roundsinthe60s",2010
73,NA,"Briny Baird",28,31,"Roundsinthe60s",2010
73,NA,"Matt Bettencourt",32,31,"Roundsinthe60s",2010
73,NA,"Kris Blanks",30,31,"Roundsinthe60s",2010
73,NA,"Stewart Cink",23,31,"Roundsinthe60s",2010
73,NA,"Brian Davis",32,31,"Roundsinthe60s",2010
73,NA,"Jerry Kelly",29,31,"Roundsinthe60s",2010
73,NA,"Phil Mickelson",20,31,"Roundsinthe60s",2010
73,NA,"Bryce Molder",26,31,"Roundsinthe60s",2010
73,NA,"Tom Pernice Jr",22,31,"Roundsinthe60s",2010
73,NA,"Scott Piercy",28,31,"Roundsinthe60s",2010
73,NA,"John Rollins",26,31,"Roundsinthe60s",2010
84,NA,"Stephen Ames",23,30,"Roundsinthe60s",2010
84,NA,"Tim Clark",24,30,"Roundsinthe60s",2010
84,NA,"Jason Day",24,30,"Roundsinthe60s",2010
84,NA,"Joe Durant",19,30,"Roundsinthe60s",2010
84,NA,"Steve Elkington",22,30,"Roundsinthe60s",2010
84,NA,"Retief Goosen",19,30,"Roundsinthe60s",2010
84,NA,"Paul Goydos",25,30,"Roundsinthe60s",2010
84,NA,"JP Hayes",25,30,"Roundsinthe60s",2010
84,NA,"George McNeill",28,30,"Roundsinthe60s",2010
84,NA,"Troy Merritt",29,30,"Roundsinthe60s",2010
84,NA,"Bubba Watson",22,30,"Roundsinthe60s",2010
95,NA,"Luke Donald",20,29,"Roundsinthe60s",2010
95,NA,"Bob Estes",26,29,"Roundsinthe60s",2010
95,NA,"Mathew Goggin",28,29,"Roundsinthe60s",2010
95,NA,"Davis Love III",24,29,"Roundsinthe60s",2010
95,NA,"Paul Stankowski",18,29,"Roundsinthe60s",2010
95,NA,"Johnson Wagner",28,29,"Roundsinthe60s",2010
95,NA,"Jimmy Walker",27,29,"Roundsinthe60s",2010
102,NA,"Cameron Beckman",25,28,"Roundsinthe60s",2010
102,NA,"Michael Bradley",24,28,"Roundsinthe60s",2010
102,NA,"James Driscoll",26,28,"Roundsinthe60s",2010
102,NA,"Ernie Els",20,28,"Roundsinthe60s",2010
102,NA,"Billy Mayfair",26,28,"Roundsinthe60s",2010
102,NA,"Justin Rose",22,28,"Roundsinthe60s",2010
102,NA,"Nicholas Thompson",29,28,"Roundsinthe60s",2010
109,NA,"Stuart Appleby",31,27,"Roundsinthe60s",2010
109,NA,"Ben Curtis",24,27,"Roundsinthe60s",2010
109,NA,"Robert Garrigus",22,27,"Roundsinthe60s",2010
109,NA,"Nathan Green",27,27,"Roundsinthe60s",2010
109,NA,"Marc Leishman",26,27,"Roundsinthe60s",2010
109,NA,"Steve Marino",24,27,"Roundsinthe60s",2010
109,NA,"Michael Sim",20,27,"Roundsinthe60s",2010
109,NA,"Vijay Singh",24,27,"Roundsinthe60s",2010
109,NA,"Brian Stuard",28,27,"Roundsinthe60s",2010
118,NA,"Robert Allenby",22,26,"Roundsinthe60s",2010
118,NA,"Cameron Percy",25,26,"Roundsinthe60s",2010
120,NA,"Chris Couch",23,25,"Roundsinthe60s",2010
120,NA,"David Duval",24,25,"Roundsinthe60s",2010
120,NA,"Matt Every",18,25,"Roundsinthe60s",2010
120,NA,"Will Ma Kenzie",23,25,"Roundsinthe60s",2010
120,NA,"Hunter Mahan",25,25,"Roundsinthe60s",2010
120,NA,"Shaun Micheel",21,25,"Roundsinthe60s",2010
120,NA,"Aron Price",22,25,"Roundsinthe60s",2010
120,NA,"Rory Sabbatini",26,25,"Roundsinthe60s",2010
120,NA,"Camilo Villegas",20,25,"Roundsinthe60s",2010
120,NA,"Charles Warren",21,25,"Roundsinthe60s",2010
120,NA,"Jay Williamson",24,25,"Roundsinthe60s",2010
120,NA,"Dean Wilson",18,25,"Roundsinthe60s",2010
132,NA,"Alex Cejka",28,24,"Roundsinthe60s",2010
132,NA,"Lee Janzen",26,24,"Roundsinthe60s",2010
132,NA,"Derek Lamely",28,24,"Roundsinthe60s",2010
132,NA,"John Mallinger",29,24,"Roundsinthe60s",2010
132,NA,"Troy Matteson",28,24,"Roundsinthe60s",2010
132,NA,"Chris Tidland",24,24,"Roundsinthe60s",2010
138,NA,"Bill Lunde",28,23,"Roundsinthe60s",2010
138,NA,"Jeff Maggert",28,23,"Roundsinthe60s",2010
138,NA,"Kenny Perry",20,23,"Roundsinthe60s",2010
138,NA,"DA Points",29,23,"Roundsinthe60s",2010
138,NA,"Jeev Milkha Singh",19,23,"Roundsinthe60s",2010
138,NA,"Roger Tambellini",26,23,"Roundsinthe60s",2010
138,NA,"Scott Verplank",22,23,"Roundsinthe60s",2010
145,NA,"John Daly",20,22,"Roundsinthe60s",2010
145,NA,"Lucas Glover",23,22,"Roundsinthe60s",2010
