"NonmemberEarnings_RANKTHISWEEK_2010","NonmemberEarnings_RANKLASTWEEK_2010","NonmemberEarnings_PLAYERNAME_2010","NonmemberEarnings_EVENTS_2010","NonmemberEarnings_MONEY_2010","NonmemberEarnings_TOTAL_2010","stat_name","year"
1,1,"Lee Westwood",11,3399954,3564954,"NonmemberEarnings",2010
2,2,"Martin Kaymer",10,1762793,2356459,"NonmemberEarnings",2010
3,3,"Louis Oosthuizen",5,1305593,1431426,"NonmemberEarnings",2010
4,4,"Robert Karlsson",11,853170,1030920,"NonmemberEarnings",2010
5,5,"Gregory Havret",2,810000,810000,"NonmemberEarnings",2010
6,6,"Charl Schwartzel",11,676845,1710845,"NonmemberEarnings",2010
7,7,"Edoardo Molinari",8,636518,770018,"NonmemberEarnings",2010
8,8,"Francesco Molinari",8,358196,568696,"NonmemberEarnings",2010
9,9,"Bob Heintz",3,355047,355047,"NonmemberEarnings",2010
10,10,"WC Liang",4,245436,315436,"NonmemberEarnings",2010
11,11,"Alvaro Quiros",9,232464,549764,"NonmemberEarnings",2010
12,12,"Ken Duke",5,220777,220777,"NonmemberEarnings",2010
13,13,"Miguel Angel Jimenez",7,213000,371250,"NonmemberEarnings",2010
14,14,"Robert Rock",1,186239,186239,"NonmemberEarnings",2010
15,15,"Peter Hanson",7,179075,479575,"NonmemberEarnings",2010
16,16,"Simon Dyson",8,171071,304321,"NonmemberEarnings",2010
17,17,"Tim Wilkinson",15,160706,160706,"NonmemberEarnings",2010
18,18,"Soren Kjeldsen",7,158989,246989,"NonmemberEarnings",2010
19,19,"Stephen Gallacher",2,149245,149245,"NonmemberEarnings",2010
20,20,"Ryo Ishikawa",10,149180,336430,"NonmemberEarnings",2010
21,21,"Thongchai Jaidee",8,98685,414185,"NonmemberEarnings",2010
22,22,"Yuta Ikeda",11,98463,263713,"NonmemberEarnings",2010
23,23,"Gary Woodland",8,95815,95815,"NonmemberEarnings",2010
24,24,"Sam Saunders",7,95226,95226,"NonmemberEarnings",2010
25,25,"Oliver Wilson",9,90722,464472,"NonmemberEarnings",2010
26,26,"Ignacio Garrido",1,87840,87840,"NonmemberEarnings",2010
27,27,"Seung Yul Noh",5,81422,81422,"NonmemberEarnings",2010
28,28,"Simon Khan",4,77646,114021,"NonmemberEarnings",2010
29,29,"Erik Compton",7,77245,77245,"NonmemberEarnings",2010
30,30,"Mike Small",8,69665,69665,"NonmemberEarnings",2010
31,31,"Ross Fisher",10,66582,217796,"NonmemberEarnings",2010
32,32,"Alejandro Canizares",2,55956,55956,"NonmemberEarnings",2010
33,33,"Chris Kirk",1,54480,54480,"NonmemberEarnings",2010
34,34,"Ross McGowan",6,48722,259722,"NonmemberEarnings",2010
35,35,"Bradley Dredge",1,48000,48000,"NonmemberEarnings",2010
35,35,"Marcel Siem",1,48000,48000,"NonmemberEarnings",2010
37,37,"David Horsey",2,46700,84450,"NonmemberEarnings",2010
38,38,"Jamie Lovemark",4,45400,45400,"NonmemberEarnings",2010
39,39,"Kevin Chappell",2,44000,44000,"NonmemberEarnings",2010
39,39,"John Ellis",1,44000,44000,"NonmemberEarnings",2010
41,41,"Darren Clarke",2,43275,43275,"NonmemberEarnings",2010
42,42,"Kyle Stanley",3,43090,43090,"NonmemberEarnings",2010
43,43,"Steve Allan",2,42000,42000,"NonmemberEarnings",2010
44,44,"KT Kim",2,38102,38102,"NonmemberEarnings",2010
45,45,"Gonzalo Fdez Castano",3,37133,99633,"NonmemberEarnings",2010
46,46,"Brandt Jobe",1,35317,35317,"NonmemberEarnings",2010
47,47,"Bobby Gates",2,34722,34722,"NonmemberEarnings",2010
48,48,"Toru Taniguchi",2,34720,34720,"NonmemberEarnings",2010
49,49,"Shane Lowry",2,33792,33792,"NonmemberEarnings",2010
49,49,"Colm Moriarty",1,33792,33792,"NonmemberEarnings",2010
51,51,"Benjamin Fox",3,33540,33540,"NonmemberEarnings",2010
