"StrokesGainedPutting_RANKTHISWEEK_2013","StrokesGainedPutting_RANKLASTWEEK_2013","StrokesGainedPutting_PLAYERNAME_2013","StrokesGainedPutting_ROUNDS_2013","StrokesGainedPutting_AVERAGE_2013","StrokesGainedPutting_TOTALPUTTSGAINED_2013","StrokesGainedPutting_MEASUREDROUNDS_2013","stat_name","year"
1,1,"Greg Chalmers",77,0.858,60.051,70,"StrokesGainedPutting",2013
2,2,"Steve Stricker",51,0.73,25.55,35,"StrokesGainedPutting",2013
3,3,"Stephen Ames",49,0.711,31.274,44,"StrokesGainedPutting",2013
4,4,"Brandt Snedeker",79,0.691,40.081,58,"StrokesGainedPutting",2013
5,5,"Aaron Baddeley",68,0.658,38.808,59,"StrokesGainedPutting",2013
5,5,"Phil Mickelson",78,0.658,37.502,57,"StrokesGainedPutting",2013
7,7,"James Driscoll",76,0.649,40.872,63,"StrokesGainedPutting",2013
8,8,"Sergio Garcia",65,0.611,28.735,47,"StrokesGainedPutting",2013
8,8,"Russell Henley",80,0.611,40.337,66,"StrokesGainedPutting",2013
10,10,"Bryce Molder",82,0.594,42.156,71,"StrokesGainedPutting",2013
11,11,"Richard Lee",81,0.553,39.782,72,"StrokesGainedPutting",2013
12,12,"Doug LaBelle II",72,0.541,31.933,59,"StrokesGainedPutting",2013
13,13,"Luke Donald",60,0.53,24.387,46,"StrokesGainedPutting",2013
14,14,"David Hearn",88,0.486,35.503,73,"StrokesGainedPutting",2013
15,15,"Peter Hanson",45,0.481,15.857,33,"StrokesGainedPutting",2013
16,16,"Harris English",95,0.478,39.225,82,"StrokesGainedPutting",2013
17,17,"Chris Kirk",89,0.456,36.944,81,"StrokesGainedPutting",2013
18,18,"Freddie Jacobson",63,0.448,20.603,46,"StrokesGainedPutting",2013
19,19,"Charles Howell III",87,0.438,35.042,80,"StrokesGainedPutting",2013
20,20,"Colt Knost",69,0.43,24.934,58,"StrokesGainedPutting",2013
21,21,"David Lynn",70,0.429,24.042,56,"StrokesGainedPutting",2013
22,22,"Brian Gay",79,0.425,30.202,71,"StrokesGainedPutting",2013
23,23,"Tiger Woods",61,0.424,18.247,43,"StrokesGainedPutting",2013
24,24,"Rickie Fowler",75,0.422,24.922,59,"StrokesGainedPutting",2013
25,25,"Matt Kuchar",93,0.399,27.505,69,"StrokesGainedPutting",2013
26,26,"Aaron Watkins",46,0.396,13.869,35,"StrokesGainedPutting",2013
27,27,"Hunter Mahan",91,0.38,25.808,68,"StrokesGainedPutting",2013
28,28,"Billy Horschel",96,0.373,30.994,83,"StrokesGainedPutting",2013
29,29,"Jason Day",86,0.369,22.504,61,"StrokesGainedPutting",2013
30,30,"Sangmoon Bae",83,0.368,26.512,72,"StrokesGainedPutting",2013
31,31,"Zach Johnson",84,0.364,24.367,67,"StrokesGainedPutting",2013
32,32,"Stuart Appleby",88,0.354,27.939,79,"StrokesGainedPutting",2013
33,33,"Justin Leonard",86,0.349,26.189,75,"StrokesGainedPutting",2013
34,34,"Patrick Reed",83,0.348,25.725,74,"StrokesGainedPutting",2013
35,35,"Chris Stroud",88,0.341,26.606,78,"StrokesGainedPutting",2013
36,36,"KJ Choi",85,0.337,21.224,63,"StrokesGainedPutting",2013
37,37,"Ryan Palmer",79,0.334,23.055,69,"StrokesGainedPutting",2013
38,38,"Shawn Stefani",63,0.333,16.644,50,"StrokesGainedPutting",2013
39,39,"Bob Estes",66,0.332,20.59,62,"StrokesGainedPutting",2013
40,40,"Jonas Blixt",76,0.314,21.026,67,"StrokesGainedPutting",2013
40,40,"Webb Simpson",92,0.314,21.95,70,"StrokesGainedPutting",2013
42,42,"Jeff Overton",78,0.31,22.938,74,"StrokesGainedPutting",2013
43,43,"Charl Schwartzel",69,0.304,16.389,54,"StrokesGainedPutting",2013
44,44,"Mike Weir",60,0.286,13.441,47,"StrokesGainedPutting",2013
45,45,"Jimmy Walker",84,0.278,20.838,75,"StrokesGainedPutting",2013
46,46,"Bill Haas",85,0.266,18.338,69,"StrokesGainedPutting",2013
46,46,"Johnson Wagner",64,0.266,13.818,52,"StrokesGainedPutting",2013
48,48,"Casey Wittenberg",72,0.253,15.441,61,"StrokesGainedPutting",2013
49,49,"Keegan Bradley",88,0.249,17.919,72,"StrokesGainedPutting",2013
49,49,"Ted Potter Jr",65,0.249,13.713,55,"StrokesGainedPutting",2013
51,51,"Kevin Streelman",86,0.246,16.705,68,"StrokesGainedPutting",2013
52,52,"Erik Compton",74,0.232,15.064,65,"StrokesGainedPutting",2013
52,52,"Brian Davis",91,0.232,19.234,83,"StrokesGainedPutting",2013
54,54,"Jerry Kelly",75,0.228,14.572,64,"StrokesGainedPutting",2013
