"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2015","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2015","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2015","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2015","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2015","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2015","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2015","stat_name","year"
1,1,"Bubba Watson",71,56.66,53440.5,94317,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
2,2,"Dustin Johnson",75,56.3,55212.9,98075,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
3,3,"Patrick Rodgers",57,55.84,40127,71866,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
4,4,"Jason Day",75,55.68,58402.4,104888,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
5,5,"Tony Finau",106,55.5,91611.2,165077,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
6,6,"Charlie Beljan",76,55.41,55092.2,99424,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
7,7,"Jason Kokrak",88,55.27,75981.7,137485,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
8,8,"Adam Scott",51,55.25,31124.6,56334,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
9,9,"JB Holmes",89,55.17,65693.2,119075,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
10,10,"Brooks Koepka",84,55,61316.3,111475,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
11,11,"Angel Cabrera",53,54.55,40014.9,73360,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
12,12,"Justin Thomas",106,54.48,93309.4,171273,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
13,13,"Ryan Palmer",80,54.36,48621.2,89436,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
14,14,"Charles Howell III",105,54.32,97094.7,178750,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
15,15,"Gary Woodland",81,54.24,52601.6,96988,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
16,16,"Robert Garrigus",70,53.97,52507.9,97285,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
17,17,"Daniel Berger",97,53.93,79357.6,147139,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
18,18,"Brendan Steele",88,53.9,78729.4,146077,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
19,19,"Harris English",105,53.89,80707.4,149758,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
19,19,"Hudson Swafford",97,53.89,77135.4,143146,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
21,21,"Martin Flores",95,53.88,71873.7,133389,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
22,22,"Jhonattan Vegas",90,53.87,67724.6,125722,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
23,23,"Keegan Bradley",87,53.67,62827.5,117056,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
24,24,"Graham DeLaet",65,53.65,50645.9,94401,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
25,25,"Morgan Hoffmann",85,53.64,63959.2,119240,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
26,26,"Lucas Glover",79,53.63,67956.1,126716,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
27,27,"Carlos Ortiz",100,53.61,80059.3,149347,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
28,28,"Charley Hoffman",97,53.58,74145.5,138389,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
29,29,"Martin Laird",77,53.56,70036,130767,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
30,30,"Scott Piercy",90,53.55,76388.1,142644,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
31,31,"Steven Bowditch",103,53.54,81040.7,151359,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
32,32,"Aaron Baddeley",76,53.52,60282.3,112642,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
33,33,"Sam Saunders",83,53.51,61575.5,115074,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
34,34,"Roger Sloan",56,53.45,36481.9,68256,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
35,35,"Jimmy Walker",89,53.44,59162.1,110705,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
36,36,"Derek Ernst",75,53.37,56144.5,105196,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
37,37,"Charl Schwartzel",67,53.36,38861.7,72828,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
37,37,"Will Wilcox",58,53.36,35284.1,66122,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
39,39,"Seung Yul Noh",65,53.31,49098.6,92105,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
39,39,"Alex Prugh",84,53.31,67112.2,125888,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
41,41,"Stewart Cink",77,53.3,59286.1,111222,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
42,42,"Matt Jones",89,53.29,66300.7,124417,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
43,43,"James Hahn",94,53.25,72305.1,135776,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
44,44,"Byron Smith",59,53.24,36898.9,69310,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
45,45,"Max Homa",78,53.18,58076.4,109206,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
46,46,"Justin Rose",69,53.17,47647.9,89621,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
47,47,"Camilo Villegas",83,52.97,65465.8,123590,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
48,48,"Andres Romero",69,52.95,52841.3,99804,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
48,48,"Robert Streb",110,52.95,87354.2,164971,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
50,50,"Boo Weekley",79,52.94,61314.6,115822,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
51,51,"Sean OHair",86,52.93,78189.3,147718,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
52,52,"Scott Stallings",60,52.92,50810.4,96014,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
52,52,"Nick Taylor",91,52.92,79835.1,150846,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
54,54,"Andres Gonzales",90,52.9,71771.6,135676,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
54,54,"Cameron Percy",72,52.9,52571.3,99378,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
56,56,"Jim Herman",88,52.87,70552.3,133444,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
57,57,"Shawn Stefani",94,52.76,83083.8,157466,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
58,58,"Hunter Mahan",88,52.74,64450.7,122207,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
59,59,"Ernie Els",57,52.73,38576.4,73158,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
60,60,"Russell Henley",87,52.71,59722.7,113303,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
60,60,"Nick Watney",91,52.71,75906,144014,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
62,62,"Ryo Ishikawa",90,52.69,68289.1,129610,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
63,63,"Billy Horschel",99,52.68,70526.3,133874,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
64,64,"Marc Leishman",74,52.67,47687.5,90532,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
65,65,"Hideki Matsuyama",95,52.66,66565.2,126403,"PercentageofYardagecoveredbyTeeShotsPar5s",2015
