"Approachesfrom100125yards_RANKTHISWEEK_2014","Approachesfrom100125yards_RANKLASTWEEK_2014","Approachesfrom100125yards_PLAYERNAME_2014","Approachesfrom100125yards_ROUNDS_2014","Approachesfrom100125yards_AVG_2014","Approachesfrom100125yards_TOTALDISTANCEFEET_2014","Approachesfrom100125yards_OFATTEMPTS_2014","Approachesfrom100125yards_RELATIVETOPAR_2014","stat_name","year"
1,1,"Hideki Matsuyama",82,NA,1289.833,86,-24,"Approachesfrom100125yards",2014
2,2,"Adam Scott",68,NA,1019.333,65,-11,"Approachesfrom100125yards",2014
3,3,"Paul Casey",56,NA,858.167,52,-9,"Approachesfrom100125yards",2014
4,4,"Justin Leonard",75,NA,1833.083,110,-14,"Approachesfrom100125yards",2014
5,5,"Jim Furyk",84,NA,1606.917,96,-21,"Approachesfrom100125yards",2014
5,5,"Webb Simpson",87,NA,1955.667,117,-27,"Approachesfrom100125yards",2014
5,5,"YE Yang",79,NA,1506.583,90,-19,"Approachesfrom100125yards",2014
8,8,"Ben Martin",80,NA,1826.083,108,-30,"Approachesfrom100125yards",2014
9,9,"Charl Schwartzel",64,NA,916.25,54,-13,"Approachesfrom100125yards",2014
10,10,"Bubba Watson",76,NA,1700.667,98,-29,"Approachesfrom100125yards",2014
11,11,"Jeff Maggert",54,NA,1150.333,66,-11,"Approachesfrom100125yards",2014
12,12,"Brian Stuard",91,NA,1993,114,-22,"Approachesfrom100125yards",2014
13,13,"Bo Van Pelt",83,NA,1759.333,100,-17,"Approachesfrom100125yards",2014
14,14,"Justin Rose",70,NA,1095.667,62,-7,"Approachesfrom100125yards",2014
15,15,"Keegan Bradley",89,NA,1565.583,88,-16,"Approachesfrom100125yards",2014
15,15,"Stewart Cink",91,NA,1475.083,83,-17,"Approachesfrom100125yards",2014
17,17,"Zach Johnson",97,NA,2521.333,141,-24,"Approachesfrom100125yards",2014
17,17,"Jimmy Walker",98,NA,1469.833,82,-24,"Approachesfrom100125yards",2014
19,19,"Chesson Hadley",84,NA,2040.667,113,-10,"Approachesfrom100125yards",2014
19,19,"Martin Kaymer",65,NA,1263.833,70,-7,"Approachesfrom100125yards",2014
19,19,"Chris Kirk",105,NA,2135.5,118,-25,"Approachesfrom100125yards",2014
19,19,"Kevin Streelman",79,NA,1775.25,98,-29,"Approachesfrom100125yards",2014
23,23,"Matt Every",85,NA,1579.417,87,-26,"Approachesfrom100125yards",2014
24,24,"Roberto Castro",76,NA,1676.167,92,-9,"Approachesfrom100125yards",2014
24,24,"David Hearn",97,NA,2370.25,130,-29,"Approachesfrom100125yards",2014
24,24,"Rory McIlroy",66,NA,1258.833,69,-13,"Approachesfrom100125yards",2014
24,24,"Camilo Villegas",95,NA,2432.667,133,-23,"Approachesfrom100125yards",2014
28,28,"Stuart Appleby",92,NA,1925.75,105,-16,"Approachesfrom100125yards",2014
28,28,"John Huh",87,NA,1669.083,91,-12,"Approachesfrom100125yards",2014
28,28,"Brooks Koepka",56,NA,1046.167,57,-3,"Approachesfrom100125yards",2014
28,28,"Mark Wilson",69,NA,1653.167,90,-10,"Approachesfrom100125yards",2014
32,32,"JB Holmes",86,NA,2136.583,116,-19,"Approachesfrom100125yards",2014
32,32,"Bryce Molder",77,NA,1730.25,94,-11,"Approachesfrom100125yards",2014
32,32,"Tim Wilkinson",86,NA,1790.083,97,-13,"Approachesfrom100125yards",2014
35,35,"Robert Allenby",83,NA,1943.25,105,-6,"Approachesfrom100125yards",2014
35,35,"Bill Haas",107,NA,2012.167,109,-11,"Approachesfrom100125yards",2014
35,35,"Ted Potter Jr",68,NA,1736.083,94,-7,"Approachesfrom100125yards",2014
38,38,"Kevin Kisner",85,NA,2025.25,109,-20,"Approachesfrom100125yards",2014
38,38,"Nick Watney",80,NA,1805.5,97,-11,"Approachesfrom100125yards",2014
40,40,"Chad Campbell",57,NA,1378.5,74,-16,"Approachesfrom100125yards",2014
40,40,"Kevin Chappell",100,NA,2354.75,126,-16,"Approachesfrom100125yards",2014
40,40,"Graeme McDowell",66,NA,1305.25,70,-12,"Approachesfrom100125yards",2014
40,40,"Louis Oosthuizen",50,NA,727.333,39,-8,"Approachesfrom100125yards",2014
40,40,"John Rollins",84,NA,1735.417,93,-1,"Approachesfrom100125yards",2014
45,45,"Marc Leishman",81,NA,1254.083,67,-6,"Approachesfrom100125yards",2014
45,45,"Kyle Stanley",87,NA,2212.833,118,-14,"Approachesfrom100125yards",2014
47,47,"Tim Clark",75,NA,1470.583,78,-16,"Approachesfrom100125yards",2014
47,47,"Ben Curtis",77,NA,1768.917,94,-11,"Approachesfrom100125yards",2014
47,47,"Dustin Johnson",58,NA,1431.583,76,0,"Approachesfrom100125yards",2014
47,47,"Jordan Spieth",102,NA,1770.917,94,-11,"Approachesfrom100125yards",2014
47,47,"Brendon Todd",108,NA,2656.417,141,-22,"Approachesfrom100125yards",2014
47,47,"Lee Westwood",57,NA,904.167,48,-1,"Approachesfrom100125yards",2014
53,53,"Sergio Garcia",61,NA,928.667,49,-5,"Approachesfrom100125yards",2014
53,53,"Brian Harman",111,NA,3345.667,177,-19,"Approachesfrom100125yards",2014
53,53,"George McNeill",79,NA,1854.5,98,-16,"Approachesfrom100125yards",2014
56,56,"Tyrone Van Aswegen",79,NA,1593.917,84,-10,"Approachesfrom100125yards",2014
57,57,"Ryo Ishikawa",75,NA,1644.417,86,-11,"Approachesfrom100125yards",2014
57,57,"Jerry Kelly",80,NA,1721.167,90,-16,"Approachesfrom100125yards",2014
57,57,"Phil Mickelson",71,NA,1051.75,55,-11,"Approachesfrom100125yards",2014
57,57,"Jim Renner",61,NA,1599.833,84,-14,"Approachesfrom100125yards",2014
61,61,"Troy Matteson",62,NA,1533.083,80,-18,"Approachesfrom100125yards",2014
61,61,"John Peterson",62,NA,1631.333,85,-8,"Approachesfrom100125yards",2014
61,61,"Brandt Snedeker",89,NA,1990.583,104,-21,"Approachesfrom100125yards",2014
64,64,"Jim Herman",62,NA,1807.25,94,-16,"Approachesfrom100125yards",2014
64,64,"Brendan Steele",89,NA,2158.5,112,-24,"Approachesfrom100125yards",2014
66,66,"Brian Davis",93,NA,2201.167,114,-18,"Approachesfrom100125yards",2014
66,66,"Scott Langley",95,NA,2181,113,-26,"Approachesfrom100125yards",2014
68,68,"Ricky Barnes",92,NA,2247.5,116,-18,"Approachesfrom100125yards",2014
68,68,"Ken Duke",80,NA,1843.167,95,-12,"Approachesfrom100125yards",2014
68,68,"Chris Stroud",88,NA,1862.75,96,-21,"Approachesfrom100125yards",2014
68,68,"Cameron Tringale",111,NA,2520.083,130,-22,"Approachesfrom100125yards",2014
68,68,"Will Wilcox",51,NA,855.583,44,-4,"Approachesfrom100125yards",2014
73,73,"Greg Chalmers",85,NA,1699.75,87,-11,"Approachesfrom100125yards",2014
73,73,"Brendon de Jonge",109,NA,2616.667,134,-20,"Approachesfrom100125yards",2014
73,73,"Lucas Glover",68,NA,1817.333,93,-10,"Approachesfrom100125yards",2014
73,73,"Billy Horschel",92,NA,2069.417,106,-15,"Approachesfrom100125yards",2014
73,73,"Russell Knox",92,NA,2630.667,135,-19,"Approachesfrom100125yards",2014
73,73,"William McGirt",96,NA,2201.917,113,-22,"Approachesfrom100125yards",2014
79,79,"Jason Day",54,NA,686.083,35,-9,"Approachesfrom100125yards",2014
79,79,"Jason Dufner",57,NA,1388.583,71,-8,"Approachesfrom100125yards",2014
79,79,"Ryan Moore",86,NA,1625.083,83,-16,"Approachesfrom100125yards",2014
79,79,"Josh Teater",90,NA,2096.167,107,-16,"Approachesfrom100125yards",2014
83,83,"Graham DeLaet",80,NA,1828.083,93,-9,"Approachesfrom100125yards",2014
83,83,"Rickie Fowler",91,NA,1769.75,90,-12,"Approachesfrom100125yards",2014
83,83,"Justin Hicks",103,NA,2970,151,-22,"Approachesfrom100125yards",2014
83,83,"Hunter Mahan",88,NA,1867.833,95,-14,"Approachesfrom100125yards",2014
83,83,"Jeff Overton",80,NA,1969.583,100,-21,"Approachesfrom100125yards",2014
83,83,"Henrik Stenson",56,NA,629.083,32,-9,"Approachesfrom100125yards",2014
89,89,"Luke Guthrie",85,NA,2071.75,105,-9,"Approachesfrom100125yards",2014
89,89,"Pat Perez",84,NA,2151.25,109,-14,"Approachesfrom100125yards",2014
89,89,"Mike Weir",69,NA,1223.583,62,10,"Approachesfrom100125yards",2014
92,92,"Hudson Swafford",75,NA,1662.583,84,-2,"Approachesfrom100125yards",2014
