"ProximitytoHolefromSand_RANKTHISWEEK_2008","ProximitytoHolefromSand_RANKLASTWEEK_2008","ProximitytoHolefromSand_PLAYERNAME_2008","ProximitytoHolefromSand_ROUNDS_2008","ProximitytoHolefromSand_AVGDTP_2008","ProximitytoHolefromSand_TOTALDISTANCEFEET_2008","ProximitytoHolefromSand_OFSHOTS_2008","ProximitytoHolefromSand_SCRAMBLINGRANK_2008","stat_name","year"
1,1,"Mike Weir",88,NA,712.083,109,7,"ProximitytoHolefromSand",2008
2,2,"Omar Uresti",74,NA,659.583,97,8,"ProximitytoHolefromSand",2008
3,3,"Adam Scott",51,NA,326.917,47,173,"ProximitytoHolefromSand",2008
4,4,"John Huston",56,NA,486.5,68,79,"ProximitytoHolefromSand",2008
4,4,"Phil Mickelson",80,NA,631.167,88,26,"ProximitytoHolefromSand",2008
6,6,"Jeff Gove",50,NA,316.75,43,80,"ProximitytoHolefromSand",2008
6,6,"Craig Kanada",65,NA,570.667,78,24,"ProximitytoHolefromSand",2008
6,6,"Camilo Villegas",79,NA,725.583,99,171,"ProximitytoHolefromSand",2008
9,9,"Scott Verplank",82,NA,606.917,81,83,"ProximitytoHolefromSand",2008
10,10,"Corey Pavin",69,NA,627.583,83,3,"ProximitytoHolefromSand",2008
11,11,"Daniel Chopra",84,NA,923.5,121,95,"ProximitytoHolefromSand",2008
12,12,"Ben Curtis",80,NA,806.583,104,46,"ProximitytoHolefromSand",2008
12,12,"Brett Rumford",72,NA,756.917,98,151,"ProximitytoHolefromSand",2008
12,12,"Rory Sabbatini",77,NA,661.833,85,122,"ProximitytoHolefromSand",2008
15,15,"Dudley Hart",74,NA,873.917,111,20,"ProximitytoHolefromSand",2008
15,15,"Ryuji Imada",80,NA,842.667,108,34,"ProximitytoHolefromSand",2008
17,17,"Marco Dawson",64,NA,712.417,90,144,"ProximitytoHolefromSand",2008
17,17,"Vijay Singh",82,NA,691.167,87,51,"ProximitytoHolefromSand",2008
19,19,"Brian Davis",108,NA,1151.333,144,17,"ProximitytoHolefromSand",2008
19,19,"Kevin Na",97,NA,1257.833,158,13,"ProximitytoHolefromSand",2008
21,21,"Geoff Ogilvy",65,NA,687.583,85,38,"ProximitytoHolefromSand",2008
22,22,"Glen Day",64,NA,650.667,80,6,"ProximitytoHolefromSand",2008
22,22,"Steve Flesch",95,NA,787.667,96,44,"ProximitytoHolefromSand",2008
22,22,"Shigeki Maruyama",50,NA,516,63,14,"ProximitytoHolefromSand",2008
22,22,"Kevin Sutherland",98,NA,1053.417,129,25,"ProximitytoHolefromSand",2008
22,22,"David Toms",70,NA,639,78,187,"ProximitytoHolefromSand",2008
27,27,"Retief Goosen",59,NA,530.583,64,76,"ProximitytoHolefromSand",2008
27,27,"Padraig Harrington",52,NA,413.833,50,21,"ProximitytoHolefromSand",2008
29,29,"Robert Gamez",79,NA,791.75,95,162,"ProximitytoHolefromSand",2008
