"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2007","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2007","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2007","AverageApproachDistanceBirdieorBetter_ROUNDS_2007","AverageApproachDistanceBirdieorBetter_AVGYARDS_2007","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2007","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2007","stat_name","year"
1,1,"Craig Bowden",78,148.4,1250271,234,"AverageApproachDistanceBirdieorBetter",2007
2,2,"Fred Funk",65,151.6,911703,167,"AverageApproachDistanceBirdieorBetter",2007
3,3,"Mark Brooks",53,154.5,617432,111,"AverageApproachDistanceBirdieorBetter",2007
4,4,"Gavin Coles",87,154.7,1336487,240,"AverageApproachDistanceBirdieorBetter",2007
5,5,"Corey Pavin",81,156,1190695,212,"AverageApproachDistanceBirdieorBetter",2007
6,6,"Chris Riley",59,157.1,1040707,184,"AverageApproachDistanceBirdieorBetter",2007
7,7,"Brian Gay",107,157.2,1901556,336,"AverageApproachDistanceBirdieorBetter",2007
8,8,"Ian Poulter",63,157.3,747369,132,"AverageApproachDistanceBirdieorBetter",2007
9,9,"Glen Day",85,157.8,1391543,245,"AverageApproachDistanceBirdieorBetter",2007
10,10,"Rocco Mediate",72,158.5,1381286,242,"AverageApproachDistanceBirdieorBetter",2007
11,11,"Jeff Sluman",60,158.8,720454,126,"AverageApproachDistanceBirdieorBetter",2007
12,12,"Tim Clark",66,159.6,1166711,203,"AverageApproachDistanceBirdieorBetter",2007
13,13,"Darron Stiles",65,159.7,1052270,183,"AverageApproachDistanceBirdieorBetter",2007
14,14,"Michael Boyd",61,160,881216,153,"AverageApproachDistanceBirdieorBetter",2007
15,15,"Steve Stricker",81,160.9,1436876,248,"AverageApproachDistanceBirdieorBetter",2007
16,16,"Bryce Molder",56,161.2,864452,149,"AverageApproachDistanceBirdieorBetter",2007
17,17,"Bob Estes",88,161.3,1753868,302,"AverageApproachDistanceBirdieorBetter",2007
18,18,"Shigeki Maruyama",84,161.9,1550702,266,"AverageApproachDistanceBirdieorBetter",2007
19,19,"Bob Heintz",85,162,1545113,265,"AverageApproachDistanceBirdieorBetter",2007
20,20,"Craig Lile",77,162.1,1359682,233,"AverageApproachDistanceBirdieorBetter",2007
21,21,"Tommy Armour III",81,162.5,1386051,237,"AverageApproachDistanceBirdieorBetter",2007
22,22,"Justin Leonard",95,162.8,1623576,277,"AverageApproachDistanceBirdieorBetter",2007
23,23,"Paul Goydos",60,163.5,930225,158,"AverageApproachDistanceBirdieorBetter",2007
23,23,"Michael Sim",52,163.5,994813,169,"AverageApproachDistanceBirdieorBetter",2007
25,25,"Richard Johnson",93,163.6,1454739,247,"AverageApproachDistanceBirdieorBetter",2007
25,25,"Heath Slocum",101,163.6,1949952,331,"AverageApproachDistanceBirdieorBetter",2007
27,27,"Craig Kanada",109,163.7,1821333,309,"AverageApproachDistanceBirdieorBetter",2007
28,28,"Woody Austin",95,164,1729469,293,"AverageApproachDistanceBirdieorBetter",2007
29,29,"Tripp Isenhour",86,164.2,1341522,227,"AverageApproachDistanceBirdieorBetter",2007
30,30,"Chris Stroud",66,164.5,1149205,194,"AverageApproachDistanceBirdieorBetter",2007
31,31,"Tom Byrum",50,164.6,740628,125,"AverageApproachDistanceBirdieorBetter",2007
31,31,"Jarrod Lyle",77,164.6,1416153,239,"AverageApproachDistanceBirdieorBetter",2007
33,33,"David Toms",80,164.7,1363949,230,"AverageApproachDistanceBirdieorBetter",2007
34,34,"Kirk Triplett",77,164.9,1288542,217,"AverageApproachDistanceBirdieorBetter",2007
35,35,"John Mallinger",96,165.3,1750019,294,"AverageApproachDistanceBirdieorBetter",2007
35,35,"Mark Wilson",87,165.3,1386127,233,"AverageApproachDistanceBirdieorBetter",2007
37,37,"Stewart Cink",91,165.4,1619952,272,"AverageApproachDistanceBirdieorBetter",2007
38,38,"Scott Verplank",82,165.5,1245063,209,"AverageApproachDistanceBirdieorBetter",2007
39,39,"Boo Weekley",101,165.6,1603241,269,"AverageApproachDistanceBirdieorBetter",2007
40,40,"Dicky Pride",71,165.7,1181404,198,"AverageApproachDistanceBirdieorBetter",2007
41,41,"JP Hayes",89,166.2,1747024,292,"AverageApproachDistanceBirdieorBetter",2007
42,42,"Robert Gamez",88,166.5,1522270,254,"AverageApproachDistanceBirdieorBetter",2007
43,43,"Jim Furyk",84,166.8,1453175,242,"AverageApproachDistanceBirdieorBetter",2007
44,44,"Joey Sindelar",75,166.9,1322065,220,"AverageApproachDistanceBirdieorBetter",2007
45,45,"Lee Janzen",66,167,961685,160,"AverageApproachDistanceBirdieorBetter",2007
46,46,"Bart Bryant",87,167.1,1606550,267,"AverageApproachDistanceBirdieorBetter",2007
47,47,"Jeff Maggert",79,167.4,1633370,271,"AverageApproachDistanceBirdieorBetter",2007
48,48,"Brendon de Jonge",76,167.7,1497324,248,"AverageApproachDistanceBirdieorBetter",2007
49,49,"Ryan Armour",107,167.8,1933420,320,"AverageApproachDistanceBirdieorBetter",2007
