"BallSpeed_RANKTHISWEEK_2009","BallSpeed_RANKLASTWEEK_2009","BallSpeed_PLAYERNAME_2009","BallSpeed_ROUNDS_2009","BallSpeed_AVG_2009","BallSpeed_TOTALBALLSPEED_2009","BallSpeed_TOTALATTEMPTS_2009","BallSpeed_FASTESTSPEED_2009","BallSpeed_SLOWESTSPEED_2009","stat_name","year"
169,169,"Dean Wilson",81,157.78,9940.12,63,163.63,149.1,"BallSpeed",2009
170,170,"John Mallinger",90,157.7,11827.2,75,162.64,152.86,"BallSpeed",2009
171,171,"Darron Stiles",52,157.62,5201.46,33,161.43,153.15,"BallSpeed",2009
172,172,"Peter Lonard",86,157.5,11970.18,76,162.88,150.82,"BallSpeed",2009
173,173,"Tim Clark",81,157.31,10696.84,68,161.63,151.48,"BallSpeed",2009
173,173,"Paul Goydos",79,157.31,10854.59,69,163.01,151.16,"BallSpeed",2009
175,175,"Bart Bryant",58,156.93,9101.78,58,163.03,149.88,"BallSpeed",2009
176,176,"Jeff Quinney",78,156.7,10812.44,69,164.02,145.13,"BallSpeed",2009
177,177,"Brad Faxon",59,156.43,8760.03,56,163.16,150.17,"BallSpeed",2009
178,178,"Chez Reavie",81,156.24,11717.79,75,159.6,141.75,"BallSpeed",2009
179,179,"Greg Kraft",51,155.26,6365.55,41,159.17,147.45,"BallSpeed",2009
180,180,"Nick OHern",90,155.18,13500.67,87,160.76,149.55,"BallSpeed",2009
181,181,"Glen Day",79,153.48,9669.43,63,158.88,144.53,"BallSpeed",2009
182,182,"Brian Gay",96,151.79,13813.13,91,156.94,143.43,"BallSpeed",2009
183,183,"Corey Pavin",73,151.39,8023.42,53,155.89,146.66,"BallSpeed",2009
184,184,"Mark Brooks",55,151.04,5588.36,37,160.31,142.46,"BallSpeed",2009
