"TotalEagles_RANKTHISWEEK_2014","TotalEagles_RANKLASTWEEK_2014","TotalEagles_PLAYERNAME_2014","TotalEagles_ROUNDS_2014","TotalEagles_TOTAL_2014","stat_name","year"
1,1,"Steven Bowditch",93,16,"TotalEagles",2014
1,1,"Matt Jones",83,16,"TotalEagles",2014
3,3,"Brian Harman",111,14,"TotalEagles",2014
3,3,"Billy Horschel",92,14,"TotalEagles",2014
3,3,"Charles Howell III",106,14,"TotalEagles",2014
3,3,"Will Ma Kenzie",82,14,"TotalEagles",2014
3,3,"Patrick Reed",92,14,"TotalEagles",2014
8,8,"Stewart Cink",91,13,"TotalEagles",2014
8,8,"Ryan Palmer",85,13,"TotalEagles",2014
10,10,"Marc Leishman",81,12,"TotalEagles",2014
10,10,"Justin Rose",70,12,"TotalEagles",2014
10,10,"Daniel Summerhays",98,12,"TotalEagles",2014
13,13,"Kevin Stadler",90,11,"TotalEagles",2014
13,13,"Nicholas Thompson",85,11,"TotalEagles",2014
13,13,"Bubba Watson",76,11,"TotalEagles",2014
16,16,"Charlie Beljan",76,10,"TotalEagles",2014
16,16,"Harris English",95,10,"TotalEagles",2014
16,16,"Robert Garrigus",80,10,"TotalEagles",2014
16,16,"Kevin Na",94,10,"TotalEagles",2014
16,16,"Andres Romero",81,10,"TotalEagles",2014
16,16,"Brendan Steele",89,10,"TotalEagles",2014
16,16,"Cameron Tringale",111,10,"TotalEagles",2014
23,23,"Erik Compton",88,9,"TotalEagles",2014
23,23,"Brian Davis",93,9,"TotalEagles",2014
23,23,"Bill Haas",107,9,"TotalEagles",2014
23,23,"James Hahn",82,9,"TotalEagles",2014
23,23,"Morgan Hoffmann",103,9,"TotalEagles",2014
23,23,"Dustin Johnson",58,9,"TotalEagles",2014
23,23,"Chris Kirk",105,9,"TotalEagles",2014
23,23,"Russell Knox",92,9,"TotalEagles",2014
23,23,"Martin Laird",66,9,"TotalEagles",2014
23,23,"Rory McIlroy",66,9,"TotalEagles",2014
23,23,"John Merrick",87,9,"TotalEagles",2014
23,23,"Ryan Moore",86,9,"TotalEagles",2014
23,23,"John Senden",99,9,"TotalEagles",2014
23,23,"Bo Van Pelt",83,9,"TotalEagles",2014
37,37,"Ernie Els",85,8,"TotalEagles",2014
37,37,"Luke Guthrie",85,8,"TotalEagles",2014
37,37,"Trevor Immelman",84,8,"TotalEagles",2014
37,37,"Jason Kokrak",65,8,"TotalEagles",2014
37,37,"Ben Martin",80,8,"TotalEagles",2014
37,37,"Hideki Matsuyama",82,8,"TotalEagles",2014
37,37,"George McNeill",79,8,"TotalEagles",2014
37,37,"Seung Yul Noh",92,8,"TotalEagles",2014
37,37,"Geoff Ogilvy",84,8,"TotalEagles",2014
37,37,"Jeff Overton",80,8,"TotalEagles",2014
37,37,"Carl Pettersson",91,8,"TotalEagles",2014
37,37,"Michael Putnam",106,8,"TotalEagles",2014
37,37,"Rory Sabbatini",82,8,"TotalEagles",2014
37,37,"Adam Scott",68,8,"TotalEagles",2014
37,37,"Scott Stallings",77,8,"TotalEagles",2014
37,37,"Shawn Stefani",60,8,"TotalEagles",2014
37,37,"Johnson Wagner",69,8,"TotalEagles",2014
37,37,"Gary Woodland",93,8,"TotalEagles",2014
55,55,"Sangmoon Bae",76,7,"TotalEagles",2014
55,55,"Scott Brown",100,7,"TotalEagles",2014
55,55,"Paul Casey",56,7,"TotalEagles",2014
55,55,"Roberto Castro",76,7,"TotalEagles",2014
55,55,"Kevin Chappell",100,7,"TotalEagles",2014
55,55,"Brendon de Jonge",109,7,"TotalEagles",2014
55,55,"James Driscoll",71,7,"TotalEagles",2014
55,55,"Martin Flores",85,7,"TotalEagles",2014
55,55,"Ryo Ishikawa",75,7,"TotalEagles",2014
55,55,"Brooks Koepka",56,7,"TotalEagles",2014
55,55,"Pat Perez",84,7,"TotalEagles",2014
55,55,"Brandt Snedeker",89,7,"TotalEagles",2014
55,55,"Kevin Streelman",79,7,"TotalEagles",2014
55,55,"Charlie Wi",72,7,"TotalEagles",2014
69,69,"Ricky Barnes",92,6,"TotalEagles",2014
69,69,"Jason Bohn",81,6,"TotalEagles",2014
69,69,"Keegan Bradley",89,6,"TotalEagles",2014
69,69,"KJ Choi",80,6,"TotalEagles",2014
69,69,"Graham DeLaet",80,6,"TotalEagles",2014
69,69,"Jason Dufner",57,6,"TotalEagles",2014
69,69,"Matt Every",85,6,"TotalEagles",2014
69,69,"Brice Garnett",92,6,"TotalEagles",2014
69,69,"Russell Henley",92,6,"TotalEagles",2014
69,69,"Jim Herman",62,6,"TotalEagles",2014
69,69,"Charley Hoffman",93,6,"TotalEagles",2014
69,69,"Zach Johnson",97,6,"TotalEagles",2014
69,69,"Martin Kaymer",65,6,"TotalEagles",2014
69,69,"Matt Kuchar",91,6,"TotalEagles",2014
69,69,"David Lingmerth",80,6,"TotalEagles",2014
69,69,"Davis Love III",74,6,"TotalEagles",2014
69,69,"Graeme McDowell",66,6,"TotalEagles",2014
69,69,"William McGirt",96,6,"TotalEagles",2014
69,69,"Sean OHair",77,6,"TotalEagles",2014
69,69,"Charl Schwartzel",64,6,"TotalEagles",2014
69,69,"Webb Simpson",87,6,"TotalEagles",2014
69,69,"Robert Streb",75,6,"TotalEagles",2014
69,69,"Hudson Swafford",75,6,"TotalEagles",2014
