"RightRoughTendencyRTPScore_RANKTHISWEEK_2014","RightRoughTendencyRTPScore_RANKLASTWEEK_2014","RightRoughTendencyRTPScore_PLAYERNAME_2014","RightRoughTendencyRTPScore_ROUNDS_2014","RightRoughTendencyRTPScore_RTPSCORE_2014","stat_name","year"
1,1,"Sergio Garcia",61,-0.096,"RightRoughTendencyRTPScore",2014
2,2,"Daniel Summerhays",98,-0.051,"RightRoughTendencyRTPScore",2014
3,3,"Angel Cabrera",69,-0.03,"RightRoughTendencyRTPScore",2014
4,4,"Jason Kokrak",65,-0.024,"RightRoughTendencyRTPScore",2014
5,5,"Justin Rose",70,-0.022,"RightRoughTendencyRTPScore",2014
6,6,"Adam Scott",68,-0.008,"RightRoughTendencyRTPScore",2014
7,7,"Andrew Loupe",65,-0.007,"RightRoughTendencyRTPScore",2014
7,7,"Jamie Lovemark",64,-0.007,"RightRoughTendencyRTPScore",2014
9,9,"Charley Hoffman",93,-0.006,"RightRoughTendencyRTPScore",2014
9,9,"Rory Sabbatini",82,-0.006,"RightRoughTendencyRTPScore",2014
11,11,"Paul Casey",56,0,"RightRoughTendencyRTPScore",2014
11,11,"Phil Mickelson",71,0,"RightRoughTendencyRTPScore",2014
13,13,"Brian Davis",93,0.008,"RightRoughTendencyRTPScore",2014
13,13,"Brian Stuard",91,0.008,"RightRoughTendencyRTPScore",2014
15,15,"Brooks Koepka",56,0.011,"RightRoughTendencyRTPScore",2014
16,16,"JB Holmes",86,0.018,"RightRoughTendencyRTPScore",2014
17,17,"Justin Hicks",103,0.022,"RightRoughTendencyRTPScore",2014
17,17,"Webb Simpson",87,0.022,"RightRoughTendencyRTPScore",2014
19,19,"Geoff Ogilvy",84,0.025,"RightRoughTendencyRTPScore",2014
19,19,"Robert Streb",75,0.025,"RightRoughTendencyRTPScore",2014
21,21,"Hideki Matsuyama",82,0.027,"RightRoughTendencyRTPScore",2014
21,21,"Ryan Palmer",85,0.027,"RightRoughTendencyRTPScore",2014
23,23,"Jimmy Walker",98,0.028,"RightRoughTendencyRTPScore",2014
24,24,"Freddie Jacobson",91,0.029,"RightRoughTendencyRTPScore",2014
24,24,"Mike Weir",69,0.029,"RightRoughTendencyRTPScore",2014
26,26,"Rory McIlroy",66,0.03,"RightRoughTendencyRTPScore",2014
27,27,"Jonas Blixt",64,0.033,"RightRoughTendencyRTPScore",2014
27,27,"Henrik Stenson",56,0.033,"RightRoughTendencyRTPScore",2014
