"DrivingDistanceAllDrives_RANKTHISWEEK_2008","DrivingDistanceAllDrives_RANKLASTWEEK_2008","DrivingDistanceAllDrives_PLAYERNAME_2008","DrivingDistanceAllDrives_ROUNDS_2008","DrivingDistanceAllDrives_ALLDRIVES_2008","DrivingDistanceAllDrives_TOTALDISTANCE_2008","DrivingDistanceAllDrives_OFDRIVES_2008","stat_name","year"
1,1,"JB Holmes",86,303.7,292747,964,"DrivingDistanceAllDrives",2008
2,2,"Dustin Johnson",92,296.8,334484,1127,"DrivingDistanceAllDrives",2008
3,3,"Robert Garrigus",90,296.1,354081,1196,"DrivingDistanceAllDrives",2008
4,4,"Bubba Watson",97,295.6,330478,1118,"DrivingDistanceAllDrives",2008
5,5,"Nick Watney",96,294.1,345888,1176,"DrivingDistanceAllDrives",2008
6,6,"Vijay Singh",82,293.5,260061,886,"DrivingDistanceAllDrives",2008
7,7,"Angel Cabrera",55,293.4,161385,550,"DrivingDistanceAllDrives",2008
8,8,"Fred Couples",60,293,208008,710,"DrivingDistanceAllDrives",2008
9,9,"Andres Romero",69,292.4,200619,686,"DrivingDistanceAllDrives",2008
9,9,"Adam Scott",51,292.4,143252,490,"DrivingDistanceAllDrives",2008
11,11,"Anthony Kim",81,292.2,265869,910,"DrivingDistanceAllDrives",2008
12,12,"Steve Allan",58,292,195615,670,"DrivingDistanceAllDrives",2008
13,13,"Charley Hoffman",94,291.2,351191,1206,"DrivingDistanceAllDrives",2008
14,14,"Harrison Frazar",73,291.1,251219,863,"DrivingDistanceAllDrives",2008
15,15,"Phil Mickelson",80,290.8,240170,826,"DrivingDistanceAllDrives",2008
16,16,"Tommy Gainey",60,290.5,186509,642,"DrivingDistanceAllDrives",2008
16,16,"Charles Warren",79,290.5,300049,1033,"DrivingDistanceAllDrives",2008
18,18,"Tag Ridings",88,290.4,328175,1130,"DrivingDistanceAllDrives",2008
19,19,"Jeff Overton",103,290.1,368449,1270,"DrivingDistanceAllDrives",2008
19,19,"Travis Perkins",53,290.1,162162,559,"DrivingDistanceAllDrives",2008
21,21,"Daniel Chopra",84,289.5,279705,966,"DrivingDistanceAllDrives",2008
22,22,"Richard Johnson",77,288.7,273701,948,"DrivingDistanceAllDrives",2008
23,23,"Jason Day",81,288.3,310247,1076,"DrivingDistanceAllDrives",2008
23,23,"Martin Laird",98,288.3,341889,1186,"DrivingDistanceAllDrives",2008
25,25,"Davis Love III",78,288.2,261659,908,"DrivingDistanceAllDrives",2008
26,26,"Jason Allred",63,287.9,200392,696,"DrivingDistanceAllDrives",2008
26,26,"Bill Haas",99,287.9,360403,1252,"DrivingDistanceAllDrives",2008
28,28,"Charles Howell III",101,287.6,350241,1218,"DrivingDistanceAllDrives",2008
28,28,"Kevin Streelman",114,287.6,388594,1351,"DrivingDistanceAllDrives",2008
30,30,"Sean OHair",81,287.3,272380,948,"DrivingDistanceAllDrives",2008
30,30,"Kenny Perry",97,287.3,367686,1280,"DrivingDistanceAllDrives",2008
30,30,"Boo Weekley",86,287.3,257962,898,"DrivingDistanceAllDrives",2008
33,33,"Stewart Cink",87,287.2,256172,892,"DrivingDistanceAllDrives",2008
33,33,"John Huston",56,287.2,195282,680,"DrivingDistanceAllDrives",2008
35,35,"Lucas Glover",91,287.1,332424,1158,"DrivingDistanceAllDrives",2008
36,36,"Padraig Harrington",52,287,128571,448,"DrivingDistanceAllDrives",2008
36,36,"Nicholas Thompson",113,287,383978,1338,"DrivingDistanceAllDrives",2008
38,38,"Kevin Stadler",90,286.8,292571,1020,"DrivingDistanceAllDrives",2008
39,39,"Troy Matteson",94,286.6,354758,1238,"DrivingDistanceAllDrives",2008
39,39,"Rory Sabbatini",77,286.6,253935,886,"DrivingDistanceAllDrives",2008
41,41,"Steve Marino",119,286.2,414114,1447,"DrivingDistanceAllDrives",2008
42,42,"Mathias Gronberg",87,285.8,314394,1100,"DrivingDistanceAllDrives",2008
42,42,"Pat Perez",93,285.8,315195,1103,"DrivingDistanceAllDrives",2008
44,44,"Brenden Pappas",66,285.7,222848,780,"DrivingDistanceAllDrives",2008
45,45,"George McNeill",97,285.5,358559,1256,"DrivingDistanceAllDrives",2008
45,45,"DJ Trahan",94,285.5,309493,1084,"DrivingDistanceAllDrives",2008
47,47,"John Merrick",98,285.4,306480,1074,"DrivingDistanceAllDrives",2008
47,47,"Ted Purdy",68,285.4,234310,821,"DrivingDistanceAllDrives",2008
49,49,"Sergio Garcia",72,285.3,223677,784,"DrivingDistanceAllDrives",2008
49,49,"Matt Jones",95,285.3,334381,1172,"DrivingDistanceAllDrives",2008
51,51,"Brandt Jobe",52,284.9,186325,654,"DrivingDistanceAllDrives",2008
52,52,"Paul Casey",55,284.7,142326,500,"DrivingDistanceAllDrives",2008
52,52,"Ryan Palmer",69,284.7,237970,836,"DrivingDistanceAllDrives",2008
54,54,"Jason Gore",94,284.6,336717,1183,"DrivingDistanceAllDrives",2008
54,54,"Camilo Villegas",79,284.6,251031,882,"DrivingDistanceAllDrives",2008
56,56,"Geoff Ogilvy",65,284.4,193979,682,"DrivingDistanceAllDrives",2008
57,57,"James Driscoll",85,284.3,300217,1056,"DrivingDistanceAllDrives",2008
58,58,"Mathew Goggin",91,284.2,325156,1144,"DrivingDistanceAllDrives",2008
58,58,"Mark Hensby",71,284.2,254387,895,"DrivingDistanceAllDrives",2008
58,58,"Steve Lowery",74,284.2,265732,935,"DrivingDistanceAllDrives",2008
61,61,"Tim Herron",97,284.1,344026,1211,"DrivingDistanceAllDrives",2008
62,62,"Michael Letzig",88,284,293061,1032,"DrivingDistanceAllDrives",2008
63,63,"Brad Adamonis",87,283.8,300552,1059,"DrivingDistanceAllDrives",2008
63,63,"Stuart Appleby",87,283.8,265056,934,"DrivingDistanceAllDrives",2008
65,65,"Joe Ogilvie",100,283.7,345283,1217,"DrivingDistanceAllDrives",2008
66,66,"Nick Flanagan",89,283.5,315005,1111,"DrivingDistanceAllDrives",2008
67,67,"John Riegger",73,283.4,253055,893,"DrivingDistanceAllDrives",2008
68,68,"Jon Mills",95,283.3,307385,1085,"DrivingDistanceAllDrives",2008
69,69,"Bo Van Pelt",101,283.2,367291,1297,"DrivingDistanceAllDrives",2008
70,70,"Todd Demsey",80,283,280141,990,"DrivingDistanceAllDrives",2008
70,70,"Hunter Mahan",87,283,285313,1008,"DrivingDistanceAllDrives",2008
72,72,"Bob Sowards",61,282.8,205281,726,"DrivingDistanceAllDrives",2008
73,73,"Aaron Baddeley",76,282.7,238572,844,"DrivingDistanceAllDrives",2008
73,73,"Kevin Sutherland",98,282.7,347197,1228,"DrivingDistanceAllDrives",2008
75,75,"Robert Allenby",108,282.6,339132,1200,"DrivingDistanceAllDrives",2008
75,75,"Ernie Els",51,282.6,141879,502,"DrivingDistanceAllDrives",2008
77,77,"JJ Henry",108,281.9,389596,1382,"DrivingDistanceAllDrives",2008
77,77,"John Rollins",94,281.9,311248,1104,"DrivingDistanceAllDrives",2008
77,77,"Jimmy Walker",73,281.9,243563,864,"DrivingDistanceAllDrives",2008
80,80,"Jeff Maggert",86,281.8,310003,1100,"DrivingDistanceAllDrives",2008
81,81,"Rod Pampling",83,281.7,267080,948,"DrivingDistanceAllDrives",2008
82,82,"Rich Beem",90,281.6,310339,1102,"DrivingDistanceAllDrives",2008
83,83,"Cody Freeman",66,281.1,215861,768,"DrivingDistanceAllDrives",2008
84,84,"Parker McLachlin",88,280.9,309528,1102,"DrivingDistanceAllDrives",2008
84,84,"John Senden",93,280.9,321333,1144,"DrivingDistanceAllDrives",2008
84,84,"Kyle Thompson",70,280.9,223616,796,"DrivingDistanceAllDrives",2008
87,87,"Woody Austin",109,280.8,347045,1236,"DrivingDistanceAllDrives",2008
87,87,"KJ Choi",74,280.8,225186,802,"DrivingDistanceAllDrives",2008
89,89,"Chris Stroud",81,280.6,258193,920,"DrivingDistanceAllDrives",2008
90,90,"Ryan Armour",87,280.5,296205,1056,"DrivingDistanceAllDrives",2008
90,90,"Kenneth Ferrie",72,280.5,234500,836,"DrivingDistanceAllDrives",2008
90,90,"Ryan Moore",72,280.5,246869,880,"DrivingDistanceAllDrives",2008
93,93,"Tommy Armour III",77,280.4,257144,917,"DrivingDistanceAllDrives",2008
93,93,"Carl Pettersson",110,280.4,379701,1354,"DrivingDistanceAllDrives",2008
95,95,"Steve Stricker",75,280.3,227601,812,"DrivingDistanceAllDrives",2008
