"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2007","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2007","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2007","FedExCupSeasonPointsforNonMembers_EVENTS_2007","FedExCupSeasonPointsforNonMembers_POINTS_2007","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2007","stat_name","year"
1,1,"Paul Casey",10,3986,1719,"FedExCupSeasonPointsforNonMembers",2007
2,2,"Niclas Fasth",10,3298,1697,"FedExCupSeasonPointsforNonMembers",2007
3,3,"Jay Williamson",8,3237,NA,"FedExCupSeasonPointsforNonMembers",2007
4,4,"Andres Romero",3,2749,879,"FedExCupSeasonPointsforNonMembers",2007
5,5,"Robert Karlsson",13,2135,694,"FedExCupSeasonPointsforNonMembers",2007
6,6,"Richard Green",4,1571,245,"FedExCupSeasonPointsforNonMembers",2007
7,7,"Nick Dougherty",3,959,NA,"FedExCupSeasonPointsforNonMembers",2007
8,8,"Simon Dyson",1,921,NA,"FedExCupSeasonPointsforNonMembers",2007
9,9,"Thomas Bjorn",6,764,642,"FedExCupSeasonPointsforNonMembers",2007
10,10,"Paul McGinley",5,728,116,"FedExCupSeasonPointsforNonMembers",2007
11,11,"Miguel Angel Jimenez",5,678,86,"FedExCupSeasonPointsforNonMembers",2007
12,12,"Jeev Milkha Singh",12,624,330,"FedExCupSeasonPointsforNonMembers",2007
13,13,"Paul Broadhurst",2,584,77,"FedExCupSeasonPointsforNonMembers",2007
14,14,"Colin Montgomerie",9,579,422,"FedExCupSeasonPointsforNonMembers",2007
15,15,"Markus Brier",2,507,NA,"FedExCupSeasonPointsforNonMembers",2007
15,15,"Pelle Edberg",1,507,NA,"FedExCupSeasonPointsforNonMembers",2007
17,17,"Shingo Katayama",7,488,210,"FedExCupSeasonPointsforNonMembers",2007
18,18,"Peter Hanson",3,443,NA,"FedExCupSeasonPointsforNonMembers",2007
19,19,"Alejandro Canizares",3,428,NA,"FedExCupSeasonPointsforNonMembers",2007
20,20,"YE Yang",9,410,199,"FedExCupSeasonPointsforNonMembers",2007
21,21,"Charl Schwartzel",6,396,116,"FedExCupSeasonPointsforNonMembers",2007
22,22,"Todd Fischer",4,393,NA,"FedExCupSeasonPointsforNonMembers",2007
23,23,"Johan Edfors",8,390,163,"FedExCupSeasonPointsforNonMembers",2007
24,24,"Bradley Dredge",4,347,262,"FedExCupSeasonPointsforNonMembers",2007
25,25,"Thongchai Jaidee",3,335,335,"FedExCupSeasonPointsforNonMembers",2007
26,26,"Michael Campbell",9,333,210,"FedExCupSeasonPointsforNonMembers",2007
27,27,"Andy Bare",1,261,NA,"FedExCupSeasonPointsforNonMembers",2007
28,28,"Anton Haig",2,204,204,"FedExCupSeasonPointsforNonMembers",2007
29,29,"Kyle Thompson",1,195,NA,"FedExCupSeasonPointsforNonMembers",2007
30,30,"Graeme McDowell",3,194,NA,"FedExCupSeasonPointsforNonMembers",2007
31,31,"Pablo Martin Benavides",6,167,NA,"FedExCupSeasonPointsforNonMembers",2007
32,32,"Franklin Langham",1,142,NA,"FedExCupSeasonPointsforNonMembers",2007
33,33,"Mark Foster",1,130,NA,"FedExCupSeasonPointsforNonMembers",2007
34,34,"Graeme Storm",3,111,52,"FedExCupSeasonPointsforNonMembers",2007
35,35,"Raphael Jacquelin",3,106,48,"FedExCupSeasonPointsforNonMembers",2007
36,36,"Kenneth Ferrie",2,102,NA,"FedExCupSeasonPointsforNonMembers",2007
37,37,"Fabrizio Zanotti",1,93,NA,"FedExCupSeasonPointsforNonMembers",2007
38,38,"Ross Bain",1,83,NA,"FedExCupSeasonPointsforNonMembers",2007
39,39,"Andrew Ruthkoski",2,82,NA,"FedExCupSeasonPointsforNonMembers",2007
40,40,"Marcus Fraser",1,79,NA,"FedExCupSeasonPointsforNonMembers",2007
