"Back9ScoringAverage_RANKTHISWEEK_2008","Back9ScoringAverage_RANKLASTWEEK_2008","Back9ScoringAverage_PLAYERNAME_2008","Back9ScoringAverage_ROUNDS_2008","Back9ScoringAverage_AVG_2008","Back9ScoringAverage_TOTALSTROKES_2008","Back9ScoringAverage_TOTALHOLES_2008","stat_name","year"
1,1,"John Huston",56,34.95,1957,56,"Back9ScoringAverage",2008
2,2,"Vijay Singh",82,34.99,2729,78,"Back9ScoringAverage",2008
3,3,"Ken Duke",116,35.1,4072,116,"Back9ScoringAverage",2008
3,3,"Kenny Perry",97,35.1,3405,97,"Back9ScoringAverage",2008
5,5,"Briny Baird",113,35.12,3968,113,"Back9ScoringAverage",2008
6,6,"Brian Gay",102,35.13,3583,102,"Back9ScoringAverage",2008
7,7,"Gavin Coles",54,35.15,1898,54,"Back9ScoringAverage",2008
8,8,"Ben Crane",86,35.17,3025,86,"Back9ScoringAverage",2008
9,9,"Shane Bertsch",96,35.18,3377,96,"Back9ScoringAverage",2008
10,10,"Mark Wilson",107,35.23,3770,107,"Back9ScoringAverage",2008
11,11,"John Mallinger",95,35.24,3348,95,"Back9ScoringAverage",2008
12,12,"Kent Jones",68,35.25,2397,68,"Back9ScoringAverage",2008
13,13,"Tom Pernice Jr",104,35.26,3667,104,"Back9ScoringAverage",2008
13,13,"Kevin Sutherland",98,35.26,3455,98,"Back9ScoringAverage",2008
13,13,"Bob Tway",70,35.26,2468,70,"Back9ScoringAverage",2008
16,16,"Chad Campbell",94,35.28,3316,94,"Back9ScoringAverage",2008
17,17,"Charlie Wi",97,35.29,3423,97,"Back9ScoringAverage",2008
18,18,"Peter Lonard",92,35.3,3248,92,"Back9ScoringAverage",2008
19,19,"Kevin Streelman",114,35.31,4025,114,"Back9ScoringAverage",2008
20,20,"Stephen Ames",83,35.32,2896,82,"Back9ScoringAverage",2008
20,20,"Mathew Goggin",91,35.32,3214,91,"Back9ScoringAverage",2008
20,20,"George McNeill",97,35.32,3426,97,"Back9ScoringAverage",2008
23,23,"Justin Leonard",101,35.34,3357,95,"Back9ScoringAverage",2008
24,24,"Anthony Kim",81,35.35,2863,81,"Back9ScoringAverage",2008
24,24,"Steve Marino",119,35.35,4207,119,"Back9ScoringAverage",2008
24,24,"Ryan Palmer",69,35.35,2439,69,"Back9ScoringAverage",2008
27,27,"Padraig Harrington",52,35.36,1768,50,"Back9ScoringAverage",2008
28,28,"Tim Herron",97,35.37,3431,97,"Back9ScoringAverage",2008
29,29,"Scott Sterling",89,35.38,3149,89,"Back9ScoringAverage",2008
30,30,"Stuart Appleby",87,35.4,2974,84,"Back9ScoringAverage",2008
30,30,"Jesper Parnevik",88,35.4,3115,88,"Back9ScoringAverage",2008
32,32,"Brian Davis",108,35.41,3824,108,"Back9ScoringAverage",2008
32,32,"Glen Day",64,35.41,2266,64,"Back9ScoringAverage",2008
32,32,"Phil Mickelson",80,35.41,2762,78,"Back9ScoringAverage",2008
35,35,"Stewart Cink",87,35.42,2869,81,"Back9ScoringAverage",2008
36,36,"Martin Laird",98,35.43,3472,98,"Back9ScoringAverage",2008
37,37,"Robert Allenby",108,35.44,3792,107,"Back9ScoringAverage",2008
37,37,"Marco Dawson",64,35.44,2268,64,"Back9ScoringAverage",2008
37,37,"Lucas Glover",91,35.44,3225,91,"Back9ScoringAverage",2008
37,37,"Camilo Villegas",79,35.44,2764,78,"Back9ScoringAverage",2008
37,37,"Bubba Watson",97,35.44,3438,97,"Back9ScoringAverage",2008
42,42,"Will Ma Kenzie",62,35.45,2198,62,"Back9ScoringAverage",2008
43,43,"Bill Haas",99,35.47,3512,99,"Back9ScoringAverage",2008
43,43,"John Merrick",98,35.47,3476,98,"Back9ScoringAverage",2008
43,43,"Brenden Pappas",66,35.47,2341,66,"Back9ScoringAverage",2008
43,43,"Steve Stricker",75,35.47,2554,72,"Back9ScoringAverage",2008
47,47,"Carlos Franco",73,35.48,2590,73,"Back9ScoringAverage",2008
47,47,"Marc Turnesa",87,35.48,3087,87,"Back9ScoringAverage",2008
49,49,"Steve Elkington",84,35.49,2981,84,"Back9ScoringAverage",2008
49,49,"Jim Furyk",95,35.49,3336,94,"Back9ScoringAverage",2008
49,49,"Corey Pavin",69,35.49,2449,69,"Back9ScoringAverage",2008
52,52,"Todd Demsey",80,35.5,2840,80,"Back9ScoringAverage",2008
52,52,"Sergio Garcia",72,35.5,2485,70,"Back9ScoringAverage",2008
54,54,"Tommy Armour III",77,35.51,2734,77,"Back9ScoringAverage",2008
54,54,"Nick Watney",96,35.51,3409,96,"Back9ScoringAverage",2008
56,56,"Bob Estes",90,35.52,3197,90,"Back9ScoringAverage",2008
56,56,"Robert Gamez",79,35.52,2806,79,"Back9ScoringAverage",2008
