"ConsecutiveHolesBelowPar_RANKTHISWEEK_2006","ConsecutiveHolesBelowPar_RANKLASTWEEK_2006","ConsecutiveHolesBelowPar_PLAYERNAME_2006","ConsecutiveHolesBelowPar_EVENTS_2006","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2006","stat_name","year"
1,1,"JJ Henry",28,7,"ConsecutiveHolesBelowPar",2006
2,2,"Jonathan Byrd",20,6,"ConsecutiveHolesBelowPar",2006
2,2,"Darren Clarke",11,6,"ConsecutiveHolesBelowPar",2006
2,2,"Chris DiMarco",26,6,"ConsecutiveHolesBelowPar",2006
2,2,"Harrison Frazar",29,6,"ConsecutiveHolesBelowPar",2006
2,2,"Lucas Glover",31,6,"ConsecutiveHolesBelowPar",2006
2,2,"Lee Janzen",28,6,"ConsecutiveHolesBelowPar",2006
2,2,"Thomas Levet",18,6,"ConsecutiveHolesBelowPar",2006
2,2,"Corey Pavin",23,6,"ConsecutiveHolesBelowPar",2006
2,2,"Justin Rose",28,6,"ConsecutiveHolesBelowPar",2006
2,2,"Jeff Sluman",29,6,"ConsecutiveHolesBelowPar",2006
12,12,"Arjun Atwal",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"Eric Axley",29,5,"ConsecutiveHolesBelowPar",2006
12,12,"Bob Burns",9,5,"ConsecutiveHolesBelowPar",2006
12,12,"Mark Calcavecchia",27,5,"ConsecutiveHolesBelowPar",2006
12,12,"Daniel Chopra",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"Ben Curtis",26,5,"ConsecutiveHolesBelowPar",2006
12,12,"Robert Damron",31,5,"ConsecutiveHolesBelowPar",2006
12,12,"Jay Delsing",14,5,"ConsecutiveHolesBelowPar",2006
12,12,"Bubba Dickerson",32,5,"ConsecutiveHolesBelowPar",2006
12,12,"Luke Donald",18,5,"ConsecutiveHolesBelowPar",2006
12,12,"Joe Durant",28,5,"ConsecutiveHolesBelowPar",2006
12,12,"David Duval",24,5,"ConsecutiveHolesBelowPar",2006
12,12,"Steve Flesch",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"Mathias Gronberg",30,5,"ConsecutiveHolesBelowPar",2006
12,12,"Tim Herron",27,5,"ConsecutiveHolesBelowPar",2006
12,12,"Zach Johnson",27,5,"ConsecutiveHolesBelowPar",2006
12,12,"Jonathan Kaye",32,5,"ConsecutiveHolesBelowPar",2006
12,12,"Justin Leonard",26,5,"ConsecutiveHolesBelowPar",2006
12,12,"Frank Lickliter II",29,5,"ConsecutiveHolesBelowPar",2006
12,12,"Peter Lonard",22,5,"ConsecutiveHolesBelowPar",2006
12,12,"Hunter Mahan",29,5,"ConsecutiveHolesBelowPar",2006
12,12,"Troy Matteson",32,5,"ConsecutiveHolesBelowPar",2006
12,12,"Bob May",21,5,"ConsecutiveHolesBelowPar",2006
12,12,"Phil Mickelson",19,5,"ConsecutiveHolesBelowPar",2006
12,12,"Sean OHair",30,5,"ConsecutiveHolesBelowPar",2006
12,12,"Arron Oberholser",23,5,"ConsecutiveHolesBelowPar",2006
12,12,"Joe Ogilvie",29,5,"ConsecutiveHolesBelowPar",2006
12,12,"Geoff Ogilvy",20,5,"ConsecutiveHolesBelowPar",2006
12,12,"Jose Maria Olazabal",18,5,"ConsecutiveHolesBelowPar",2006
12,12,"Jeff Overton",28,5,"ConsecutiveHolesBelowPar",2006
12,12,"Tom Pernice Jr",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"DA Points",28,5,"ConsecutiveHolesBelowPar",2006
12,12,"Brett Quigley",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"Chris Riley",27,5,"ConsecutiveHolesBelowPar",2006
12,12,"Rory Sabbatini",24,5,"ConsecutiveHolesBelowPar",2006
12,12,"Adam Scott",19,5,"ConsecutiveHolesBelowPar",2006
12,12,"Wes Short Jr",33,5,"ConsecutiveHolesBelowPar",2006
12,12,"Kyle Thompson",1,5,"ConsecutiveHolesBelowPar",2006
12,12,"Nicholas Thompson",32,5,"ConsecutiveHolesBelowPar",2006
12,12,"David Toms",22,5,"ConsecutiveHolesBelowPar",2006
12,12,"Kirk Triplett",18,5,"ConsecutiveHolesBelowPar",2006
12,12,"Vance Veazey",20,5,"ConsecutiveHolesBelowPar",2006
12,12,"Charles Warren",27,5,"ConsecutiveHolesBelowPar",2006
12,12,"Mike Weir",24,5,"ConsecutiveHolesBelowPar",2006
12,12,"Dean Wilson",34,5,"ConsecutiveHolesBelowPar",2006
12,12,"Tiger Woods",15,5,"ConsecutiveHolesBelowPar",2006
12,12,"Azuma Yano",1,5,"ConsecutiveHolesBelowPar",2006
59,59,"Michael Allen",25,4,"ConsecutiveHolesBelowPar",2006
59,59,"Robert Allenby",22,4,"ConsecutiveHolesBelowPar",2006
59,59,"Billy Andrade",24,4,"ConsecutiveHolesBelowPar",2006
59,59,"Stuart Appleby",23,4,"ConsecutiveHolesBelowPar",2006
59,59,"Woody Austin",31,4,"ConsecutiveHolesBelowPar",2006
59,59,"Paul Azinger",30,4,"ConsecutiveHolesBelowPar",2006
59,59,"Aaron Baddeley",25,4,"ConsecutiveHolesBelowPar",2006
59,59,"Briny Baird",25,4,"ConsecutiveHolesBelowPar",2006
59,59,"Craig Barlow",22,4,"ConsecutiveHolesBelowPar",2006
59,59,"Doug Barron",28,4,"ConsecutiveHolesBelowPar",2006
59,59,"Brian Bateman",26,4,"ConsecutiveHolesBelowPar",2006
