"Approach200225yardsRTP_RANKTHISWEEK_2014","Approach200225yardsRTP_RANKLASTWEEK_2014","Approach200225yardsRTP_PLAYERNAME_2014","Approach200225yardsRTP_ROUNDS_2014","Approach200225yardsRTP_AVGRTP_2014","stat_name","year"
1,1,"Rory McIlroy",66,-0.234,"Approach200225yardsRTP",2014
2,2,"Sergio Garcia",61,-0.139,"Approach200225yardsRTP",2014
3,3,"Graham DeLaet",80,-0.133,"Approach200225yardsRTP",2014
4,4,"Brooks Koepka",56,-0.122,"Approach200225yardsRTP",2014
5,5,"Jordan Spieth",102,-0.112,"Approach200225yardsRTP",2014
6,6,"Harris English",95,-0.106,"Approach200225yardsRTP",2014
7,7,"Ryan Palmer",85,-0.104,"Approach200225yardsRTP",2014
8,8,"Bo Van Pelt",83,-0.099,"Approach200225yardsRTP",2014
9,9,"Patrick Reed",92,-0.096,"Approach200225yardsRTP",2014
10,10,"Adam Scott",68,-0.093,"Approach200225yardsRTP",2014
11,11,"Hudson Swafford",75,-0.085,"Approach200225yardsRTP",2014
12,12,"Phil Mickelson",71,-0.082,"Approach200225yardsRTP",2014
13,13,"Dustin Johnson",58,-0.078,"Approach200225yardsRTP",2014
13,13,"Louis Oosthuizen",50,-0.078,"Approach200225yardsRTP",2014
15,15,"Keegan Bradley",89,-0.076,"Approach200225yardsRTP",2014
16,16,"Jimmy Walker",98,-0.059,"Approach200225yardsRTP",2014
17,17,"Morgan Hoffmann",103,-0.057,"Approach200225yardsRTP",2014
17,17,"Billy Horschel",92,-0.057,"Approach200225yardsRTP",2014
17,17,"Zach Johnson",97,-0.057,"Approach200225yardsRTP",2014
20,20,"Charl Schwartzel",64,-0.056,"Approach200225yardsRTP",2014
21,21,"Seung Yul Noh",92,-0.054,"Approach200225yardsRTP",2014
22,22,"Nick Watney",80,-0.05,"Approach200225yardsRTP",2014
23,23,"Jason Dufner",57,-0.046,"Approach200225yardsRTP",2014
24,24,"Ben Martin",80,-0.043,"Approach200225yardsRTP",2014
24,24,"Kevin Streelman",79,-0.043,"Approach200225yardsRTP",2014
24,24,"Josh Teater",90,-0.043,"Approach200225yardsRTP",2014
27,27,"Brian Harman",111,-0.042,"Approach200225yardsRTP",2014
28,28,"Charlie Beljan",76,-0.04,"Approach200225yardsRTP",2014
29,29,"Ryo Ishikawa",75,-0.038,"Approach200225yardsRTP",2014
30,30,"Jason Kokrak",65,-0.036,"Approach200225yardsRTP",2014
30,30,"John Senden",99,-0.036,"Approach200225yardsRTP",2014
32,32,"Stewart Cink",91,-0.033,"Approach200225yardsRTP",2014
33,33,"Scott Brown",100,-0.032,"Approach200225yardsRTP",2014
34,34,"Justin Rose",70,-0.031,"Approach200225yardsRTP",2014
35,35,"Matt Jones",83,-0.029,"Approach200225yardsRTP",2014
36,36,"Kevin Stadler",90,-0.028,"Approach200225yardsRTP",2014
37,37,"Chad Campbell",57,-0.027,"Approach200225yardsRTP",2014
38,38,"Jamie Lovemark",64,-0.026,"Approach200225yardsRTP",2014
39,39,"Bud Cauley",56,-0.025,"Approach200225yardsRTP",2014
40,40,"Bubba Watson",76,-0.02,"Approach200225yardsRTP",2014
41,41,"Chris Kirk",105,-0.019,"Approach200225yardsRTP",2014
41,41,"Michael Putnam",106,-0.019,"Approach200225yardsRTP",2014
43,43,"Jeff Overton",80,-0.018,"Approach200225yardsRTP",2014
44,44,"Brad Fritsch",50,-0.014,"Approach200225yardsRTP",2014
44,44,"Bill Haas",107,-0.014,"Approach200225yardsRTP",2014
44,44,"Gary Woodland",93,-0.014,"Approach200225yardsRTP",2014
47,47,"Andrew Loupe",65,-0.013,"Approach200225yardsRTP",2014
48,48,"Martin Flores",85,-0.01,"Approach200225yardsRTP",2014
48,48,"Troy Merritt",62,-0.01,"Approach200225yardsRTP",2014
50,50,"Derek Ernst",80,-0.009,"Approach200225yardsRTP",2014
50,50,"Charley Hoffman",93,-0.009,"Approach200225yardsRTP",2014
50,50,"YE Yang",79,-0.009,"Approach200225yardsRTP",2014
53,53,"Will Ma Kenzie",82,-0.007,"Approach200225yardsRTP",2014
54,54,"Briny Baird",50,0,"Approach200225yardsRTP",2014
54,54,"Matt Every",85,0,"Approach200225yardsRTP",2014
54,54,"Lucas Glover",68,0,"Approach200225yardsRTP",2014
54,54,"Robert Streb",75,0,"Approach200225yardsRTP",2014
58,58,"William McGirt",96,0.007,"Approach200225yardsRTP",2014
59,59,"Retief Goosen",94,0.008,"Approach200225yardsRTP",2014
60,60,"Davis Love III",74,0.01,"Approach200225yardsRTP",2014
61,61,"Henrik Stenson",56,0.011,"Approach200225yardsRTP",2014
62,62,"Martin Laird",66,0.012,"Approach200225yardsRTP",2014
63,63,"Brian Stuard",91,0.014,"Approach200225yardsRTP",2014
64,64,"Jim Furyk",84,0.015,"Approach200225yardsRTP",2014
