"OnePuttPercentageRound1_RANKTHISWEEK_2009","OnePuttPercentageRound1_RANKLASTWEEK_2009","OnePuttPercentageRound1_PLAYERNAME_2009","OnePuttPercentageRound1_ROUNDS_2009","OnePuttPercentageRound1_Pct_2009","OnePuttPercentageRound1_OF1PUTTS_2009","OnePuttPercentageRound1_OFHOLES_2009","stat_name","year"
1,1,"Ian Poulter",59,45.83,132,288,"OnePuttPercentageRound1",2009
2,2,"Parker McLachlin",71,45.56,205,450,"OnePuttPercentageRound1",2009
3,3,"Brad Faxon",59,43.72,181,414,"OnePuttPercentageRound1",2009
4,4,"Joe Ogilvie",85,43.25,218,504,"OnePuttPercentageRound1",2009
4,4,"Charlie Wi",92,43.25,218,504,"OnePuttPercentageRound1",2009
6,6,"Bob Estes",78,43.24,179,414,"OnePuttPercentageRound1",2009
7,7,"Aaron Baddeley",66,43.18,171,396,"OnePuttPercentageRound1",2009
8,8,"Luke Donald",79,43.06,155,360,"OnePuttPercentageRound1",2009
9,9,"Mike Weir",85,43,178,414,"OnePuttPercentageRound1",2009
10,10,"Pat Perez",74,42.86,162,378,"OnePuttPercentageRound1",2009
11,11,"Jerry Kelly",90,42.74,200,468,"OnePuttPercentageRound1",2009
12,12,"Padraig Harrington",66,42.4,145,342,"OnePuttPercentageRound1",2009
13,13,"Vaughn Taylor",88,42.06,212,504,"OnePuttPercentageRound1",2009
14,14,"Ryuji Imada",85,42,189,450,"OnePuttPercentageRound1",2009
15,15,"Retief Goosen",74,41.81,143,342,"OnePuttPercentageRound1",2009
16,16,"Brian Gay",96,41.77,203,486,"OnePuttPercentageRound1",2009
17,17,"Bob Heintz",59,41.67,150,360,"OnePuttPercentageRound1",2009
17,17,"Johnson Wagner",81,41.67,195,468,"OnePuttPercentageRound1",2009
19,19,"Justin Leonard",95,41.56,187,450,"OnePuttPercentageRound1",2009
20,20,"Daniel Chopra",89,41.47,209,504,"OnePuttPercentageRound1",2009
21,21,"Tom Pernice Jr",82,41.45,194,468,"OnePuttPercentageRound1",2009
22,22,"Paul Goydos",79,41.33,186,450,"OnePuttPercentageRound1",2009
23,23,"Anthony Kim",76,41.27,156,378,"OnePuttPercentageRound1",2009
24,24,"Tim Herron",87,41.15,200,486,"OnePuttPercentageRound1",2009
25,25,"Tiger Woods",64,40.97,118,288,"OnePuttPercentageRound1",2009
26,26,"Steve Lowery",83,40.95,199,486,"OnePuttPercentageRound1",2009
27,27,"Nathan Green",104,40.93,221,540,"OnePuttPercentageRound1",2009
28,28,"Rod Pampling",72,40.91,162,396,"OnePuttPercentageRound1",2009
29,29,"Phil Mickelson",66,40.85,125,306,"OnePuttPercentageRound1",2009
30,30,"YE Yang",83,40.82,169,414,"OnePuttPercentageRound1",2009
31,31,"Scott McCarron",91,40.81,191,468,"OnePuttPercentageRound1",2009
32,32,"Ben Crane",93,40.74,198,486,"OnePuttPercentageRound1",2009
33,33,"Sergio Garcia",59,40.63,117,288,"OnePuttPercentageRound1",2009
34,34,"Webb Simpson",94,40.56,219,540,"OnePuttPercentageRound1",2009
35,35,"Matt Kuchar",82,40.51,175,432,"OnePuttPercentageRound1",2009
36,36,"Angel Cabrera",55,40.28,116,288,"OnePuttPercentageRound1",2009
36,36,"Michael Letzig",96,40.28,203,504,"OnePuttPercentageRound1",2009
36,36,"Hunter Mahan",94,40.28,174,432,"OnePuttPercentageRound1",2009
39,39,"Justin Rose",71,40.21,152,378,"OnePuttPercentageRound1",2009
40,40,"Tim Petrovic",97,40.14,224,558,"OnePuttPercentageRound1",2009
41,41,"John Rollins",92,40.12,195,486,"OnePuttPercentageRound1",2009
42,42,"Lucas Glover",93,39.96,187,468,"OnePuttPercentageRound1",2009
42,42,"George McNeill",82,39.96,187,468,"OnePuttPercentageRound1",2009
44,44,"Mark Wilson",99,39.88,201,504,"OnePuttPercentageRound1",2009
45,45,"Brian Davis",103,39.76,229,576,"OnePuttPercentageRound1",2009
46,46,"Kevin Na",91,39.74,186,468,"OnePuttPercentageRound1",2009
46,46,"Kevin Sutherland",96,39.74,186,468,"OnePuttPercentageRound1",2009
48,48,"Stewart Cink",79,39.68,150,378,"OnePuttPercentageRound1",2009
48,48,"Steve Stricker",81,39.68,150,378,"OnePuttPercentageRound1",2009
50,50,"Jim Furyk",86,39.65,157,396,"OnePuttPercentageRound1",2009
51,51,"Bubba Watson",73,39.61,164,414,"OnePuttPercentageRound1",2009
52,52,"Chris DiMarco",97,39.46,206,522,"OnePuttPercentageRound1",2009
53,53,"Stephen Ames",77,39.39,156,396,"OnePuttPercentageRound1",2009
53,53,"David Duval",56,39.39,156,396,"OnePuttPercentageRound1",2009
55,55,"Kenny Perry",92,39.37,163,414,"OnePuttPercentageRound1",2009
56,56,"Ken Duke",87,39.27,205,522,"OnePuttPercentageRound1",2009
56,56,"Dean Wilson",81,39.27,205,522,"OnePuttPercentageRound1",2009
58,58,"Geoff Ogilvy",78,39.18,134,342,"OnePuttPercentageRound1",2009
58,58,"Andres Romero",58,39.18,134,342,"OnePuttPercentageRound1",2009
60,60,"Tim Clark",81,39.15,148,378,"OnePuttPercentageRound1",2009
61,61,"Woody Austin",84,39.12,169,432,"OnePuttPercentageRound1",2009
61,61,"Dustin Johnson",85,39.12,169,432,"OnePuttPercentageRound1",2009
63,63,"James Nitties",86,39.09,190,486,"OnePuttPercentageRound1",2009
64,64,"Matt Bettencourt",98,39.07,218,558,"OnePuttPercentageRound1",2009
65,65,"Steve Marino",98,38.89,203,522,"OnePuttPercentageRound1",2009
65,65,"Sean OHair",80,38.89,154,396,"OnePuttPercentageRound1",2009
65,65,"Kirk Triplett",60,38.89,140,360,"OnePuttPercentageRound1",2009
