"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2014","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2014","TotalMoneyOfficialandUnofficial_PLAYERNAME_2014","TotalMoneyOfficialandUnofficial_EVENTS_2014","TotalMoneyOfficialandUnofficial_MONEY_2014","stat_name","year"
1,1,"Rory McIlroy",19,8395096,"TotalMoneyOfficialandUnofficial",2014
2,2,"Bubba Watson",23,6549478,"TotalMoneyOfficialandUnofficial",2014
3,3,"Jim Furyk",23,6122395,"TotalMoneyOfficialandUnofficial",2014
4,4,"Jimmy Walker",29,5887016,"TotalMoneyOfficialandUnofficial",2014
5,5,"Matt Kuchar",29,5685515,"TotalMoneyOfficialandUnofficial",2014
6,6,"Jason Day",18,5188741,"TotalMoneyOfficialandUnofficial",2014
7,7,"Adam Scott",19,5188588,"TotalMoneyOfficialandUnofficial",2014
8,8,"Billy Horschel",30,5061453,"TotalMoneyOfficialandUnofficial",2014
9,9,"Sergio Garcia",17,4939606,"TotalMoneyOfficialandUnofficial",2014
10,10,"Chris Kirk",28,4854777,"TotalMoneyOfficialandUnofficial",2014
11,11,"Rickie Fowler",27,4806117,"TotalMoneyOfficialandUnofficial",2014
12,12,"Martin Kaymer",20,4532537,"TotalMoneyOfficialandUnofficial",2014
13,13,"Jordan Spieth",29,4448248,"TotalMoneyOfficialandUnofficial",2014
14,14,"Dustin Johnson",19,4424180,"TotalMoneyOfficialandUnofficial",2014
15,15,"Zach Johnson",29,4405917,"TotalMoneyOfficialandUnofficial",2014
16,16,"Justin Rose",21,4226768,"TotalMoneyOfficialandUnofficial",2014
17,17,"Patrick Reed",29,4026076,"TotalMoneyOfficialandUnofficial",2014
18,18,"Webb Simpson",27,3689601,"TotalMoneyOfficialandUnofficial",2014
19,19,"Harris English",30,3412322,"TotalMoneyOfficialandUnofficial",2014
20,20,"Brendon Todd",29,3396747,"TotalMoneyOfficialandUnofficial",2014
21,21,"Hunter Mahan",28,3268816,"TotalMoneyOfficialandUnofficial",2014
22,22,"Kevin Na",27,3153107,"TotalMoneyOfficialandUnofficial",2014
23,23,"Ryan Moore",24,3098263,"TotalMoneyOfficialandUnofficial",2014
24,24,"Bill Haas",30,3024854,"TotalMoneyOfficialandUnofficial",2014
25,25,"Keegan Bradley",28,2937138,"TotalMoneyOfficialandUnofficial",2014
26,26,"Ryan Palmer",23,2924300,"TotalMoneyOfficialandUnofficial",2014
27,27,"John Senden",27,2856685,"TotalMoneyOfficialandUnofficial",2014
28,28,"Hideki Matsuyama",24,2837477,"TotalMoneyOfficialandUnofficial",2014
29,29,"Gary Woodland",25,2734153,"TotalMoneyOfficialandUnofficial",2014
30,30,"Graham DeLaet",25,2696518,"TotalMoneyOfficialandUnofficial",2014
31,31,"Russell Henley",30,2670493,"TotalMoneyOfficialandUnofficial",2014
32,32,"Marc Leishman",24,2558657,"TotalMoneyOfficialandUnofficial",2014
33,33,"Matt Every",26,2540370,"TotalMoneyOfficialandUnofficial",2014
34,34,"Brian Harman",32,2414334,"TotalMoneyOfficialandUnofficial",2014
35,35,"JB Holmes",24,2365204,"TotalMoneyOfficialandUnofficial",2014
36,36,"Graeme McDowell",20,2322387,"TotalMoneyOfficialandUnofficial",2014
37,37,"Kevin Streelman",25,2305494,"TotalMoneyOfficialandUnofficial",2014
38,38,"Kevin Stadler",26,2300307,"TotalMoneyOfficialandUnofficial",2014
39,39,"Cameron Tringale",31,2169723,"TotalMoneyOfficialandUnofficial",2014
40,40,"Phil Mickelson",22,2158019,"TotalMoneyOfficialandUnofficial",2014
41,41,"Jason Dufner",21,2145824,"TotalMoneyOfficialandUnofficial",2014
